tag,cond,algo,profile,rep,delay_ms,t_sim_s,eta_pct,eta_tick_pct,t_settle_ms,sigma_ss_pct,n_req,n_fail,rtt_mean_ms,rtt_p50_ms,rtt_p99_ms,timeout_s,wall_s
A_po_P1_r1,A,po,P1,1,0,10,98.1358,98.1372,,1.35613,20000,0,0,0,0,0.5,792.972
A_po_P1_r2,A,po,P1,2,0,10,98.1358,98.1372,,1.35613,20000,0,0,0,0,0.5,1076.57
A_po_P1_r3,A,po,P1,3,0,10,98.1358,98.1372,,1.35613,20000,0,0,0,0,0.5,1127
A_po_P1_r4,A,po,P1,4,0,10,98.1358,98.1372,,1.35613,20000,0,0,0,0,0.5,722.563
A_po_P1_r5,A,po,P1,5,0,10,98.1358,98.1372,,1.35613,20000,0,0,0,0,0.5,717.256
A_po_P2_r1,A,po,P2,1,0,10,96.8147,96.8166,0,4.54339,20000,0,0,0,0,0.5,844.969
A_po_P2_r2,A,po,P2,2,0,10,96.8147,96.8166,0,4.54339,20000,0,0,0,0,0.5,1184.72
A_po_P2_r3,A,po,P2,3,0,10,96.8147,96.8166,0,4.54339,20000,0,0,0,0,0.5,1157.26
A_po_P2_r4,A,po,P2,4,0,10,96.8147,96.8166,0,4.54339,20000,0,0,0,0,0.5,768.636
A_po_P2_r5,A,po,P2,5,0,10,96.8147,96.8166,0,4.54339,20000,0,0,0,0,0.5,761.581
A_po_P3_r1,A,po,P3,1,0,10,97.9834,97.9849,0,1.33447,20000,0,0,0,0,0.5,1808.94
A_po_P3_r2,A,po,P3,2,0,10,97.9834,97.9849,0,1.33447,20000,0,0,0,0,0.5,1318.71
A_po_P3_r3,A,po,P3,3,0,10,97.9834,97.9849,0,1.33447,20000,0,0,0,0,0.5,846.999
A_po_P3_r4,A,po,P3,4,0,10,97.9834,97.9849,0,1.33447,20000,0,0,0,0,0.5,730.749
A_po_P3_r5,A,po,P3,5,0,10,97.9834,97.9849,0,1.33447,20000,0,0,0,0,0.5,755.53
A_pso_P1_r1,A,pso,P1,1,0,10,97.4225,97.4237,,0.0452936,20000,0,0,0,0,0.5,813.999
A_pso_P1_r2,A,pso,P1,2,0,10,97.4352,97.4364,,0.0409073,20000,0,0,0,0,0.5,1135.72
A_pso_P1_r3,A,pso,P1,3,0,10,97.4273,97.4286,,0.0396933,20000,0,0,0,0,0.5,1131.25
A_pso_P1_r4,A,pso,P1,4,0,10,97.4467,97.4479,,0.0404543,20000,0,0,0,0,0.5,740.789
A_pso_P1_r5,A,pso,P1,5,0,10,97.4545,97.4558,,0.0455184,20000,0,0,0,0,0.5,731.365
A_pso_P2_r1,A,pso,P2,1,0,10,94.5284,94.5303,1.5,19.5759,20000,0,0,0,0,0.5,1910.36
A_pso_P2_r2,A,pso,P2,2,0,10,94.5584,94.5611,0.5,21.9152,20000,0,0,0,0,0.5,1400.08
A_pso_P2_r3,A,pso,P2,3,0,10,94.4742,94.4765,0,19.5173,20000,0,0,0,0,0.5,893.801
A_pso_P2_r4,A,pso,P2,4,0,10,94.5836,94.5859,0,19.4262,20000,0,0,0,0,0.5,772.319
A_pso_P2_r5,A,pso,P2,5,0,10,94.5229,94.5254,0,20.5742,20000,0,0,0,0,0.5,795.956
A_pso_P3_r1,A,pso,P3,1,0,10,95.4798,95.481,0.5,0.0525621,20000,0,0,0,0,0.5,1910.87
A_pso_P3_r2,A,pso,P3,2,0,10,95.4668,95.4681,0,0.04459,20000,0,0,0,0,0.5,1324.31
A_pso_P3_r3,A,pso,P3,3,0,10,95.5025,95.5038,1,0.0521656,20000,0,0,0,0,0.5,849.514
A_pso_P3_r4,A,pso,P3,4,0,10,95.4981,95.4994,0,0.0457497,20000,0,0,0,0,0.5,744.665
A_pso_P3_r5,A,pso,P3,5,0,10,95.5163,95.5176,0,0.0525621,20000,0,0,0,0,0.5,746.271
B_po_P1_r1,B,po,P1,1,0,10,98.2802,98.2815,,4.05544,161,0,61.7663,57.1113,141.539,0.5,644.739
B_po_P1_r2,B,po,P1,2,0,10,98.4352,98.4365,,8.62908,148,2,60.9385,57.4416,124.076,0.5,602.701
B_po_P1_r3,B,po,P1,3,0,10,98.2561,98.2574,,3.53395,178,0,55.7502,54.0741,96.0572,0.5,524.551
B_po_P1_r4,B,po,P1,4,0,10,88.9297,88.9305,,14.9069,177,0,56.3073,53.7695,95.4117,0.5,518.417
B_po_P1_r5,B,po,P1,5,0,10,90.6905,90.6913,,3.94524,179,0,55.4043,53.4781,92.3081,0.5,528.214
B_po_P2_r1,B,po,P2,1,0,10,97.3976,97.3995,0,4.52675,166,0,60.0304,56.647,97.6947,0.5,620.852
B_po_P2_r2,B,po,P2,2,0,10,97.4202,97.4221,0,4.75316,168,0,59.066,56.0574,108.09,0.5,602.338
B_po_P2_r3,B,po,P2,3,0,10,90.1725,90.174,45.5,3.54416,181,0,54.8516,54.1131,78.374,0.5,542.762
B_po_P2_r4,B,po,P2,4,0,10,90.297,90.2985,0,3.65572,176,0,56.5222,54.0119,96.7289,0.5,554.296
B_po_P2_r5,B,po,P2,5,0,10,97.4836,97.4855,0,3.36355,175,0,56.7167,54.3373,91.314,0.5,555.875
B_po_P3_r1,B,po,P3,1,0,10,87.5877,87.5886,0,4.26333,175,0,56.8032,54.3721,105.06,0.5,554.959
B_po_P3_r2,B,po,P3,2,0,10,97.9334,97.9349,0,4.35341,176,0,56.4917,54.0966,102.814,0.5,534.204
B_po_P3_r3,B,po,P3,3,0,10,98.0195,98.021,0,4.28466,178,0,55.9792,55.3681,95.4877,0.5,539.719
B_po_P3_r4,B,po,P3,4,0,10,89.6507,89.6517,0,4.44559,181,0,54.9136,52.8293,88.1663,0.5,543.891
B_po_P3_r5,B,po,P3,5,0,10,89.8729,89.8738,0,4.60799,182,0,54.466,52.6641,93.8839,0.5,544.41
B_pso_P1_r1,B,pso,P1,1,0,10,93.4938,93.4948,,3.54791,165,0,60.3262,56.3007,108.249,0.5,614.301
B_pso_P1_r2,B,pso,P1,2,0,10,95.1488,95.1499,,2.57475,171,0,58.1144,54.5096,118.957,0.5,608.611
B_pso_P1_r3,B,pso,P1,3,0,10,93.7232,93.7243,,2.04247,178,0,55.8861,53.0871,97.3459,0.5,534.134
B_pso_P1_r4,B,pso,P1,4,0,10,95.0421,95.0432,,2.26412,177,0,56.3633,53.5254,101.48,0.5,540.839
B_pso_P1_r5,B,pso,P1,5,0,10,94.5133,94.5143,,2.38869,184,0,53.8562,53.1898,89.0017,0.5,540.322
B_pso_P2_r1,B,pso,P2,1,0,10,93.2579,93.2596,0,17.203,161,0,61.8478,56.7008,126.078,0.5,698.386
