algo,cond,profile,n,eta_mean,eta_std,t_settle_mean,t_settle_std,sigma_ss_mean,rtt_mean,n_req,n_fail,eta_ci95
po,A,P1,5,98.1358,0.0000,,,1.3561,0.0000,100000,0,0.0000
po,A,P2,5,96.8147,0.0000,0.0000,0.0000,4.5434,0.0000,100000,0,0.0000
po,A,P3,5,97.9834,0.0000,0.0000,0.0000,1.3345,0.0000,100000,0,0.0000
po,B,P1,5,94.9183,4.7050,,,7.0141,58.0333,843,2,5.8421
po,B,P2,5,94.5542,3.9434,9.1000,20.3482,3.9687,57.4373,866,0,4.8964
po,B,P3,5,92.6128,4.9768,0.0000,0.0000,4.3910,55.7307,892,0,6.1795
po,C,P1,5,93.5486,7.1460,,,7.2158,31.8082,1258,24,8.8729
po,C,P2,5,90.5752,4.6312,0.4000,0.8944,2.9721,41.4313,863,34,5.7504
po,C,P3,5,92.9943,5.5746,617.4000,1380.5484,5.4270,44.9342,775,37,6.9218
po,D,P1,5,95.0445,0.0000,,,3.3197,28.0000,1755,0,0.0000
po,D,P2,5,93.8349,0.0000,0.0000,0.0000,3.7418,28.0000,1755,0,0.0000
po,D,P3,5,97.9950,0.0000,81.0000,0.0000,3.3973,28.0000,1755,0,0.0000
pso,A,P1,5,97.4372,0.0133,,,0.0424,0.0000,100000,0,0.0165
pso,A,P2,5,94.5335,0.0412,0.4000,0.6519,20.2018,0.0000,100000,0,0.0511
pso,A,P3,5,95.4927,0.0195,0.3000,0.4472,0.0495,0.0000,100000,0,0.0242
pso,B,P1,5,94.3842,0.7523,,,2.5636,56.9093,875,0,0.9341
pso,B,P2,5,92.9433,0.3170,0.0000,0.0000,8.6368,57.6998,864,0,0.3937
pso,B,P3,5,91.9262,0.7420,91.8000,40.5441,6.3908,56.4793,881,0,0.9213
pso,C,P1,5,89.8210,9.6882,,,7.4109,33.2589,1172,23,12.0295
pso,C,P2,5,91.0577,4.8761,108.4000,236.0136,3.7436,36.8256,899,35,6.0544
pso,C,P3,5,90.6690,6.0231,516.3000,964.8686,4.4002,40.6342,881,31,7.4786
pso,D,P1,5,95.7868,0.4527,,,0.9982,28.0000,1755,0,0.5621
pso,D,P2,5,94.3089,0.6034,0.0000,0.0000,2.1990,28.0000,1755,0,0.7492
pso,D,P3,5,93.9625,0.3541,22.4000,12.1727,2.8903,28.0000,1755,0,0.4397
