t_s,G_Wm2
0.000,1000.0
0.050,1000.0
0.100,1000.0
0.150,1000.0
0.200,1000.0
0.250,1000.0
0.300,1000.0
0.350,1000.0
0.400,1000.0
0.450,1000.0
0.500,1000.0
0.550,1000.0
0.600,1000.0
0.650,1000.0
0.700,1000.0
0.750,1000.0
0.800,1000.0
0.850,1000.0
0.900,1000.0
0.950,1000.0
1.000,1000.0
1.050,1000.0
1.100,1000.0
1.150,1000.0
1.200,1000.0
1.250,1000.0
1.300,1000.0
1.350,1000.0
1.400,1000.0
1.450,1000.0
1.500,1000.0
1.550,1000.0
1.600,1000.0
1.650,1000.0
1.700,1000.0
1.750,1000.0
1.800,1000.0
1.850,1000.0
1.900,1000.0
1.950,1000.0
2.000,1000.0
2.050,995.0
2.100,990.0
2.150,985.0
2.200,980.0
2.250,975.0
2.300,970.0
2.350,965.0
2.400,960.0
2.450,955.0
2.500,950.0
2.550,945.0
2.600,940.0
2.650,935.0
2.700,930.0
2.750,925.0
2.800,920.0
2.850,915.0
2.900,910.0
2.950,905.0
3.000,900.0
3.050,895.0
3.100,890.0
3.150,885.0
3.200,880.0
3.250,875.0
3.300,870.0
3.350,865.0
3.400,860.0
3.450,855.0
3.500,850.0
3.550,845.0
3.600,840.0
3.650,835.0
3.700,830.0
3.750,825.0
3.800,820.0
3.850,815.0
3.900,810.0
3.950,805.0
4.000,800.0
4.050,790.0
4.100,780.0
4.150,770.0
4.200,760.0
4.250,750.0
4.300,740.0
4.350,730.0
4.400,720.0
4.450,710.0
4.500,700.0
4.550,690.0
4.600,680.0
4.650,670.0
4.700,660.0
4.750,650.0
4.800,640.0
4.850,630.0
4.900,620.0
4.950,610.0
5.000,600.0
5.050,590.0
5.100,580.0
5.150,570.0
5.200,560.0
5.250,550.0
5.300,540.0
5.350,530.0
5.400,520.0
5.450,510.0
5.500,500.0
5.550,490.0
5.600,480.0
5.650,470.0
5.700,460.0
5.750,450.0
5.800,440.0
5.850,430.0
5.900,420.0
5.950,410.0
6.000,400.0
6.050,407.5
6.100,415.0
6.150,422.5
6.200,430.0
6.250,437.5
6.300,445.0
6.350,452.5
6.400,460.0
6.450,467.5
6.500,475.0
6.550,482.5
6.600,490.0
6.650,497.5
6.700,505.0
6.750,512.5
6.800,520.0
6.850,527.5
6.900,535.0
6.950,542.5
7.000,550.0
7.050,557.5
7.100,565.0
7.150,572.5
7.200,580.0
7.250,587.5
7.300,595.0
7.350,602.5
7.400,610.0
7.450,617.5
7.500,625.0
7.550,632.5
7.600,640.0
7.650,647.5
7.700,655.0
7.750,662.5
7.800,670.0
7.850,677.5
7.900,685.0
7.950,692.5
8.000,700.0
8.050,707.5
8.100,715.0
8.150,722.5
8.200,730.0
8.250,737.5
8.300,745.0
8.350,752.5
8.400,760.0
8.450,767.5
8.500,775.0
8.550,782.5
8.600,790.0
8.650,797.5
8.700,805.0
8.750,812.5
8.800,820.0
8.850,827.5
8.900,835.0
8.950,842.5
9.000,850.0
9.050,857.5
9.100,865.0
9.150,872.5
9.200,880.0
9.250,887.5
9.300,895.0
9.350,902.5
9.400,910.0
9.450,917.5
9.500,925.0
9.550,932.5
9.600,940.0
9.650,947.5
9.700,955.0
9.750,962.5
9.800,970.0
9.850,977.5
9.900,985.0
9.950,992.5
10.000,1000.0
