t_s,G_Wm2
0.000,1000.0
0.050,1000.0
0.100,1000.0
0.150,1000.0
0.200,1000.0
0.250,1000.0
0.300,1000.0
0.350,1000.0
0.400,1000.0
0.450,1000.0
0.500,1000.0
0.550,1000.0
0.600,1000.0
0.650,1000.0
0.700,1000.0
0.750,1000.0
0.800,1000.0
0.850,1000.0
0.900,1000.0
0.950,1000.0
1.000,1000.0
1.050,1000.0
1.100,1000.0
1.150,1000.0
1.200,1000.0
1.250,1000.0
1.300,1000.0
1.350,1000.0
1.400,1000.0
1.450,1000.0
1.500,1000.0
1.550,1000.0
1.600,1000.0
1.650,1000.0
1.700,1000.0
1.750,1000.0
1.800,1000.0
1.850,1000.0
1.900,1000.0
1.950,1000.0
2.000,400.0
2.050,400.0
2.100,400.0
2.150,400.0
2.200,400.0
2.250,400.0
2.300,400.0
2.350,400.0
2.400,400.0
2.450,400.0
2.500,400.0
2.550,400.0
2.600,400.0
2.650,400.0
2.700,400.0
2.750,400.0
2.800,400.0
2.850,400.0
2.900,400.0
2.950,400.0
3.000,400.0
3.050,400.0
3.100,400.0
3.150,400.0
3.200,400.0
3.250,400.0
3.300,400.0
3.350,400.0
3.400,400.0
3.450,400.0
3.500,400.0
3.550,400.0
3.600,400.0
3.650,400.0
3.700,400.0
3.750,400.0
3.800,400.0
3.850,400.0
3.900,400.0
3.950,400.0
4.000,400.0
4.050,400.0
4.100,400.0
4.150,400.0
4.200,400.0
4.250,400.0
4.300,400.0
4.350,400.0
4.400,400.0
4.450,400.0
4.500,400.0
4.550,400.0
4.600,400.0
4.650,400.0
4.700,400.0
4.750,400.0
4.800,400.0
4.850,400.0
4.900,400.0
4.950,400.0
5.000,400.0
5.050,400.0
5.100,400.0
5.150,400.0
5.200,400.0
5.250,400.0
5.300,400.0
5.350,400.0
5.400,400.0
5.450,400.0
5.500,400.0
5.550,400.0
5.600,400.0
5.650,400.0
5.700,400.0
5.750,400.0
5.800,400.0
5.850,400.0
5.900,400.0
5.950,400.0
6.000,400.0
6.050,400.0
6.100,400.0
6.150,400.0
6.200,400.0
6.250,400.0
6.300,400.0
6.350,400.0
6.400,400.0
6.450,400.0
6.500,400.0
6.550,400.0
6.600,400.0
6.650,400.0
6.700,400.0
6.750,400.0
6.800,400.0
6.850,400.0
6.900,400.0
6.950,400.0
7.000,400.0
7.050,400.0
7.100,400.0
7.150,400.0
7.200,400.0
7.250,400.0
7.300,400.0
7.350,400.0
7.400,400.0
7.450,400.0
7.500,400.0
7.550,400.0
7.600,400.0
7.650,400.0
7.700,400.0
7.750,400.0
7.800,400.0
7.850,400.0
7.900,400.0
7.950,400.0
8.000,400.0
8.050,400.0
8.100,400.0
8.150,400.0
8.200,400.0
8.250,400.0
8.300,400.0
8.350,400.0
8.400,400.0
8.450,400.0
8.500,400.0
8.550,400.0
8.600,400.0
8.650,400.0
8.700,400.0
8.750,400.0
8.800,400.0
8.850,400.0
8.900,400.0
8.950,400.0
9.000,400.0
9.050,400.0
9.100,400.0
9.150,400.0
9.200,400.0
9.250,400.0
9.300,400.0
9.350,400.0
9.400,400.0
9.450,400.0
9.500,400.0
9.550,400.0
9.600,400.0
9.650,400.0
9.700,400.0
9.750,400.0
9.800,400.0
9.850,400.0
9.900,400.0
9.950,400.0
10.000,400.0
