t_s,G_Wm2
0.000,1000.0
0.050,985.0
0.100,970.0
0.150,955.0
0.200,940.0
0.250,925.0
0.300,910.0
0.350,895.0
0.400,880.0
0.450,865.0
0.500,850.0
0.550,835.0
0.600,820.0
0.650,805.0
0.700,790.0
0.750,775.0
0.800,760.0
0.850,745.0
0.900,730.0
0.950,715.0
1.000,700.0
1.050,685.0
1.100,670.0
1.150,655.0
1.200,640.0
1.250,625.0
1.300,610.0
1.350,595.0
1.400,580.0
1.450,565.0
1.500,550.0
1.550,535.0
1.600,520.0
1.650,505.0
1.700,490.0
1.750,475.0
1.800,460.0
1.850,445.0
1.900,430.0
1.950,415.0
2.000,800.0
2.050,800.0
2.100,800.0
2.150,800.0
2.200,800.0
2.250,800.0
2.300,800.0
2.350,800.0
2.400,800.0
2.450,800.0
2.500,800.0
2.550,800.0
2.600,800.0
2.650,800.0
2.700,800.0
2.750,800.0
2.800,800.0
2.850,800.0
2.900,800.0
2.950,800.0
3.000,800.0
3.050,800.0
3.100,800.0
3.150,800.0
3.200,800.0
3.250,800.0
3.300,800.0
3.350,800.0
3.400,800.0
3.450,800.0
3.500,800.0
3.550,800.0
3.600,800.0
3.650,800.0
3.700,800.0
3.750,800.0
3.800,800.0
3.850,800.0
3.900,800.0
3.950,800.0
4.000,800.0
4.050,785.0
4.100,770.0
4.150,755.0
4.200,740.0
4.250,725.0
4.300,710.0
4.350,695.0
4.400,680.0
4.450,665.0
4.500,650.0
4.550,635.0
4.600,620.0
4.650,605.0
4.700,590.0
4.750,575.0
4.800,560.0
4.850,545.0
4.900,530.0
4.950,515.0
5.000,500.0
5.050,485.0
5.100,470.0
5.150,455.0
5.200,440.0
5.250,425.0
5.300,410.0
5.350,395.0
5.400,380.0
5.450,365.0
5.500,350.0
5.550,335.0
5.600,320.0
5.650,305.0
5.700,290.0
5.750,275.0
5.800,260.0
5.850,245.0
5.900,230.0
5.950,215.0
6.000,600.0
6.050,600.0
6.100,600.0
6.150,600.0
6.200,600.0
6.250,600.0
6.300,600.0
6.350,600.0
6.400,600.0
6.450,600.0
6.500,600.0
6.550,600.0
6.600,600.0
6.650,600.0
6.700,600.0
6.750,600.0
6.800,600.0
6.850,600.0
6.900,600.0
6.950,600.0
7.000,600.0
7.050,600.0
7.100,600.0
7.150,600.0
7.200,600.0
7.250,600.0
7.300,600.0
7.350,600.0
7.400,600.0
7.450,600.0
7.500,600.0
7.550,600.0
7.600,600.0
7.650,600.0
7.700,600.0
7.750,600.0
7.800,600.0
7.850,600.0
7.900,600.0
7.950,600.0
8.000,600.0
8.050,610.0
8.100,620.0
8.150,630.0
8.200,640.0
8.250,650.0
8.300,660.0
8.350,670.0
8.400,680.0
8.450,690.0
8.500,700.0
8.550,710.0
8.600,720.0
8.650,730.0
8.700,740.0
8.750,750.0
8.800,760.0
8.850,770.0
8.900,780.0
8.950,790.0
9.000,800.0
9.050,810.0
9.100,820.0
9.150,830.0
9.200,840.0
9.250,850.0
9.300,860.0
9.350,870.0
9.400,880.0
9.450,890.0
9.500,900.0
9.550,910.0
9.600,920.0
9.650,930.0
9.700,940.0
9.750,950.0
9.800,960.0
9.850,970.0
9.900,980.0
9.950,990.0
10.000,1000.0
