ok,rtt_ms,t_us,t_loc_us,heap,k,vpv,ipv,vref,vref_port
1,31.698699996923096,55.0,784.0,183464.0,0,17.095693,2.079147,16.1,16.1
1,46.01449999609031,39.0,747.0,183464.0,1,12.327788,1.066111,15.1,15.100000000000001
1,75.79679999616928,29.0,759.0,183460.0,2,18.506162,4.651022,14.1,14.100000000000001
1,24.46100000088336,30.0,779.0,183664.0,3,16.853086,3.917986,15.1,15.100000000000001
1,30.553999997209758,29.0,577.0,183484.0,4,16.349,4.74029,16.1,16.1
1,46.93350000161445,38.0,888.0,183672.0,5,18.526828,1.010954,15.1,15.100000000000001
1,48.92870000185212,44.0,842.0,183668.0,6,18.859234,1.134342,14.1,14.100000000000001
1,63.314300001366064,38.0,769.0,183448.0,7,17.837244,1.702622,13.1,13.100000000000001
1,20.13549999537645,42.0,839.0,183664.0,8,18.905431,3.165845,12.1,12.100000000000001
1,21.2041999984649,21.0,715.0,183440.0,9,14.397695,2.690749,13.1,13.100000000000001
1,15.877099998760968,56.0,845.0,183660.0,10,12.226557,1.497133,12.1,12.100000000000001
1,74.8648000007961,38.0,946.0,183500.0,11,17.364995,3.588758,11.1,11.100000000000001
1,47.93500000232598,29.0,794.0,183424.0,12,16.923081,2.53471,12.1,12.100000000000001
1,27.562099996430334,31.0,782.0,183644.0,13,19.977679,4.923341,13.1,13.100000000000001
1,39.47409999818774,42.0,831.0,183652.0,14,17.484336,3.601837,12.1,12.100000000000001
1,22.41620000131661,21.0,741.0,183464.0,15,17.507574,2.555686,13.1,13.100000000000001
1,75.2275999984704,29.0,795.0,183484.0,16,13.080772,3.885953,14.1,14.100000000000001
1,75.48769999993965,35.0,812.0,183656.0,17,16.202835,2.240968,13.1,13.100000000000001
1,23.424400002113543,29.0,633.0,183464.0,18,15.886683,4.557951,12.1,12.100000000000001
1,23.015600003418513,21.0,655.0,183440.0,19,19.472348,2.431181,13.1,13.100000000000001
1,89.55570000398438,29.0,775.0,183420.0,20,16.572239,2.287478,12.1,12.100000000000001
1,50.55469999933848,38.0,790.0,183504.0,21,16.7544,2.351645,11.1,11.100000000000001
1,34.89640000043437,50.0,818.0,183656.0,22,15.132952,4.561097,10.1,10.100000000000001
1,37.0282000003499,30.0,794.0,183644.0,23,13.817261,3.492749,11.1,11.100000000000001
1,76.8926000018837,29.0,779.0,183460.0,24,12.672123,4.330577,12.1,12.100000000000001
1,15.45579999947222,31.0,791.0,183668.0,25,18.296786,1.957478,11.1,11.100000000000001
1,66.052000001946,34.0,824.0,183488.0,26,19.011874,1.234272,12.1,12.100000000000001
1,32.38209999835817,34.0,784.0,183664.0,27,14.688936,1.601118,13.1,13.100000000000001
1,21.284999995259568,29.0,732.0,183468.0,28,15.602715,4.185297,14.1,14.100000000000001
1,46.26020000432618,38.0,960.0,183500.0,29,13.845138,1.208085,13.1,13.100000000000001
1,34.68830000201706,54.0,1035.0,183512.0,30,15.236415,1.794052,12.1,12.100000000000001
1,25.374899996677414,39.0,801.0,183460.0,31,12.726024,3.32133,11.1,11.100000000000001
1,72.33490000362508,45.0,848.0,183652.0,32,14.389569,3.68798,10.1,10.100000000000001
1,24.79759999550879,20.0,738.0,183484.0,33,13.596124,4.768452,9.1,9.100000000000001
1,25.531300001603086,41.0,859.0,183668.0,34,14.920881,1.421981,10.1,10.100000000000001
1,34.09240000473801,38.0,788.0,183472.0,35,17.032865,4.708618,11.1,11.100000000000001
1,15.34669999819016,28.0,787.0,183460.0,36,15.523017,4.818362,10.1,10.100000000000001
1,16.190299997106194,38.0,812.0,183668.0,37,15.999167,2.700914,11.1,11.100000000000001
1,42.28999999759253,29.0,802.0,183464.0,38,16.961708,4.980386,12.1,12.100000000000001
1,55.020399995555636,38.0,785.0,183676.0,39,19.591549,2.840181,11.1,11.100000000000001
1,28.524100001959596,28.0,798.0,183444.0,40,18.061831,2.989691,12.1,12.100000000000001
1,47.589900001185015,21.0,691.0,183676.0,41,16.234497,4.143143,13.1,13.100000000000001
1,55.03830000088783,29.0,625.0,183456.0,42,15.317247,3.937934,12.1,12.100000000000001
1,17.276400001719594,30.0,789.0,183660.0,43,17.689143,4.728239,11.1,11.100000000000001
1,40.00099999393569,29.0,626.0,183468.0,44,12.919461,3.91606,12.1,12.100000000000001
1,16.81749999988824,37.0,790.0,183668.0,45,19.419391,4.871705,13.1,13.100000000000001
1,34.64949999761302,29.0,579.0,183444.0,46,12.11765,4.45456,12.1,12.100000000000001
1,46.990099996037316,38.0,723.0,183484.0,47,19.84956,4.828841,11.1,11.100000000000001
1,33.66390000155661,54.0,856.0,183676.0,48,13.190112,4.890515,12.1,12.100000000000001
1,72.55050000094343,46.0,781.0,183652.0,49,19.119484,4.289495,13.1,13.100000000000001
1,19.28100000077393,28.0,756.0,183456.0,50,15.839903,1.929492,12.1,12.100000000000001
1,40.990099994814955,29.0,773.0,183652.0,51,18.415045,4.694121,11.1,11.100000000000001
1,31.856100002187304,28.0,632.0,183448.0,52,14.129042,3.155738,12.1,12.100000000000001
1,16.748599999118596,38.0,826.0,183672.0,53,15.542023,4.724069,13.1,13.100000000000001
1,25.107800000114366,29.0,634.0,183444.0,54,12.324086,3.928025,12.1,12.100000000000001
1,21.212700004980434,26.0,777.0,183640.0,55,16.914986,1.113461,13.1,13.100000000000001
1,17.806700001528952,28.0,856.0,183428.0,56,17.753758,1.063967,14.1,14.100000000000001
1,79.52099999965867,34.0,950.0,183512.0,57,18.063608,3.051035,15.1,15.100000000000001
1,17.12059999408666,49.0,855.0,183664.0,58,19.432834,1.26433,14.1,14.100000000000001
1,17.02790000126697,39.0,826.0,183664.0,59,18.730538,1.26676,15.1,15.100000000000001
1,49.92900000070222,49.0,806.0,183652.0,60,14.75448,2.721195,16.1,16.1
1,24.51390000351239,21.0,773.0,183424.0,61,19.728497,3.248927,17.1,17.1
1,18.092300000716932,44.0,836.0,183672.0,62,14.070917,1.966703,16.1,16.1
1,77.46309999492951,20.0,735.0,183472.0,63,19.104947,1.903478,15.1,15.100000000000001
1,17.136099995695986,54.0,830.0,183660.0,64,12.996438,2.153323,16.1,16.1
1,26.14779999566963,21.0,749.0,183464.0,65,16.688985,3.216362,17.1,17.1
1,15.811899997061118,54.0,855.0,183664.0,66,18.477686,3.241904,18.1,18.1
1,25.768699997570366,21.0,657.0,183464.0,67,14.30737,2.651585,17.1,17.1
1,33.927099997526966,54.0,821.0,183660.0,68,18.544968,3.506026,16.1,16.1
1,35.24180000385968,21.0,588.0,183460.0,69,19.672621,2.477618,17.1,17.1
1,34.23140000086278,29.0,635.0,183464.0,70,16.420892,3.375697,18.1,18.1
1,21.242599999823142,21.0,665.0,183464.0,71,18.78633,1.581894,17.1,17.1
1,16.70919999742182,28.0,792.0,183632.0,72,15.252083,4.639836,16.1,16.1
1,24.10539999982575,21.0,589.0,183472.0,73,12.344535,4.290825,17.1,17.1
1,16.298599999572616,29.0,835.0,183664.0,74,15.323072,4.319216,18.1,18.1
1,47.44860000209883,34.0,859.0,183656.0,75,12.079636,2.460185,17.1,17.1
1,39.4083999999566,29.0,586.0,183464.0,76,12.62904,3.610458,16.1,16.1
1,17.25569999689469,21.0,747.0,183648.0,77,14.190793,3.810608,15.1,15.100000000000001
1,37.99340000114171,28.0,784.0,183436.0,78,19.550411,1.507268,16.1,16.1
1,16.303199998219498,21.0,757.0,183660.0,79,18.918226,1.237857,15.1,15.100000000000001
1,15.858999999181833,29.0,779.0,183456.0,80,15.046164,2.719096,14.1,14.100000000000001
1,20.561700002872385,20.0,752.0,183664.0,81,15.910796,4.905849,13.1,13.100000000000001
1,37.253500006045215,51.0,874.0,183460.0,82,18.20553,2.235429,14.1,14.100000000000001
1,98.80629999679513,20.0,574.0,183472.0,83,14.158694,4.452481,15.1,15.100000000000001
1,21.721699995396193,28.0,799.0,183464.0,84,19.050457,3.042826,14.1,14.100000000000001
1,28.07059999759076,20.0,742.0,183668.0,85,14.754366,4.979669,13.1,13.100000000000001
1,51.21190000500064,29.0,823.0,183464.0,86,14.527548,1.73085,14.1,14.100000000000001
1,24.32530000078259,21.0,763.0,183436.0,87,19.040785,4.249342,15.1,15.100000000000001
1,79.07739999791374,29.0,634.0,183456.0,88,17.343115,4.833655,16.1,16.1
1,24.099700000078883,21.0,739.0,183412.0,89,19.405717,3.992994,15.1,15.100000000000001
1,34.103999998478685,29.0,625.0,183468.0,90,18.885611,1.988587,16.1,16.1
1,43.17740000260528,38.0,961.0,183496.0,91,13.129972,3.680247,17.1,17.1
1,39.356599998427555,29.0,661.0,183468.0,92,17.716948,1.668212,16.1,16.1
1,47.62810000102036,20.0,717.0,183444.0,93,15.164458,4.641023,15.1,15.100000000000001
1,27.73029999661958,29.0,812.0,183660.0,94,16.491206,3.313344,16.1,16.1
1,22.996300001977943,20.0,769.0,183664.0,95,13.553038,3.104089,15.1,15.100000000000001
1,51.29859999578912,43.0,853.0,183664.0,96,16.187478,1.355743,16.1,16.1
1,29.063200003292877,21.0,724.0,183660.0,97,19.855542,3.285582,17.1,17.1
1,18.704200003412552,29.0,786.0,183672.0,98,12.051271,4.090597,16.1,16.1
1,31.188499997369945,20.0,591.0,183460.0,99,19.826126,3.35948,15.1,15.100000000000001
