ok,rtt_ms,t_us,t_loc_us,heap,k,vpv,ipv,vref,vref_port
1,36.75279999879422,21,649,179140,0,17.095693,2.079147,10.4,10.4
1,48.31559999729507,39,833,179176,1,12.327788,1.066111,14.0,14.0
1,32.10810000018682,21,708,179136,2,18.506162,4.651022,17.6,17.6
1,35.86190000351053,27,700,179168,3,16.853086,3.917986,21.2,21.2
1,50.02080000122078,60,963,179224,4,16.349,4.74029,10.4,
1,37.04049999942072,21,665,179168,5,18.526828,1.010954,14.0,
1,72.20509999751812,21,698,179188,6,18.859234,1.134342,14.0,
1,39.64770000311546,21,806,179164,7,17.837244,1.702622,14.14689,
1,35.25839999929303,39,1013,179208,8,18.905431,3.165845,17.6,
1,58.095699998375494,35,694,179164,9,14.397695,2.690749,14.0,
1,57.07619999884628,39,1013,179212,10,12.226557,1.497133,15.8,
1,48.10379999980796,39,970,179204,11,17.364995,3.588758,14.0,
1,64.88620000163792,21,857,179188,12,16.923081,2.53471,12.52999,
1,39.659399997617584,21,782,179168,13,19.977679,4.923341,14.0,
1,37.40570000081789,60,1064,179192,14,17.484336,3.601837,10.4,
1,62.806399997498374,21,647,179144,15,17.507574,2.555686,15.8653,
1,44.56480000226293,21,618,179152,16,13.080772,3.885953,13.37437,
1,67.96659999963595,21,805,179160,17,16.202835,2.240968,11.72153,
1,46.46779999893624,21,627,179156,18,15.886683,4.557951,16.53361,
1,27.059199994255323,35,807,179168,19,19.472348,2.431181,10.57656,
1,58.922200005326886,42,1019,179208,20,16.572239,2.287478,12.2653,
1,43.32350000186125,21,682,179184,21,16.7544,2.351645,13.28166,
1,27.32839999953285,21,705,179164,22,15.132952,4.561097,12.61717,
1,3073.4464000051958,21,589,179188,23,13.817261,3.492749,20.13361,
1,91.38779999921098,36,823,178920,24,12.672123,4.330577,14.10606,
1,44.84599999705097,21,683,178952,25,18.296786,1.957478,15.8653,
1,57.833700004266575,39,1009,178956,26,19.011874,1.234272,12.66845,
1,72.46560000203317,30,901,178944,27,14.688936,1.601118,12.76851,
1,102.75539999565808,38,1010,179008,28,15.602715,4.185297,16.53361,
1,106.73400000086986,59,971,179004,29,13.845138,1.208085,10.50606,
1,41.15720000118017,21,704,178952,30,15.236415,1.794052,15.81603,
