ok,rtt_ms,t_us,t_loc_us,heap,k,vpv,ipv,vref,vref_port
1,73.46770000003744,9,1515,182328,0,17.095693,2.079147,16.1,16.1
1,78.21039999907953,10,1629,182348,1,12.327788,1.066111,15.1,15.100000000000001
1,72.63079999938782,10,1650,182340,2,18.506162,4.651022,14.1,14.100000000000001
1,73.67169999997714,9,1650,182356,3,16.853086,3.917986,15.1,15.100000000000001
1,85.36169999933918,9,1543,182356,4,16.349,4.74029,16.1,16.1
1,68.61910000043281,10,1609,181964,5,18.526828,1.010954,15.1,15.100000000000001
1,109.27339999943797,8,1666,182328,6,18.859234,1.134342,14.1,14.100000000000001
1,91.44250000099419,10,1664,181952,7,17.837244,1.702622,13.1,13.100000000000001
1,89.18899999844143,9,1598,182328,8,18.905431,3.165845,12.1,12.100000000000001
1,74.67450000149256,10,1623,182344,9,14.397695,2.690749,13.1,13.100000000000001
1,66.95410000065749,10,1682,182364,10,12.226557,1.497133,12.1,12.100000000000001
1,67.66409999909229,9,1612,182348,11,17.364995,3.588758,11.1,11.100000000000001
1,65.28240000079677,10,1588,182368,12,16.923081,2.53471,12.1,12.100000000000001
1,67.63450000107696,10,1680,182380,13,19.977679,4.923341,13.1,13.100000000000001
1,61.78410000029544,10,1669,182332,14,17.484336,3.601837,12.1,12.100000000000001
1,68.54329999987385,9,1576,182348,15,17.507574,2.555686,13.1,13.100000000000001
1,73.99329999861948,9,1578,182340,16,13.080772,3.885953,14.1,14.100000000000001
1,75.02580000073067,10,1564,182348,17,16.202835,2.240968,13.1,13.100000000000001
1,68.59950000034587,9,1663,182328,18,15.886683,4.557951,12.1,12.100000000000001
1,66.7014000009658,10,1648,182344,19,19.472348,2.431181,13.1,13.100000000000001
1,65.5029999998078,10,1603,182328,20,16.572239,2.287478,12.1,12.100000000000001
1,73.74850000087463,0,1608,182336,21,16.7544,2.351645,11.1,11.100000000000001
1,84.00869999968563,10,1601,182324,22,15.132952,4.561097,10.1,10.100000000000001
1,75.18969999910041,10,1563,182348,23,13.817261,3.492749,11.1,11.100000000000001
