ok,rtt_ms,t_us,t_loc_us,heap,k,vpv,ipv,vref,vref_port
1,67.15199999962351,13,1614,182352,0,17.095693,2.079147,10.4,10.4
1,64.48869999985618,13,1619,182344,1,12.327788,1.066111,14.0,14.0
1,102.87139999854844,13,1633,182360,2,18.506162,4.651022,17.6,17.6
1,86.57539999876462,1,670,182316,3,16.853086,3.917986,21.2,21.2
1,67.01620000058028,92,1557,181996,4,16.349,4.74029,10.4,
1,66.99050000133866,12,1540,182344,5,18.526828,1.010954,14.0,
1,67.87939999958326,13,1583,182372,6,18.859234,1.134342,14.0,
1,77.43070000105945,12,1541,182344,7,17.837244,1.702622,14.0,
1,67.53449999996519,12,1642,182348,8,18.905431,3.165845,19.56436,
1,63.532100000884384,90,1774,182352,9,14.397695,2.690749,12.81269,
1,65.9533999987616,12,1561,182348,10,12.226557,1.497133,15.8,
1,67.28710000061255,13,1553,182328,11,17.364995,3.588758,14.0,
1,68.42090000100143,11,1689,182344,12,16.923081,2.53471,17.33919,
1,72.87460000043211,1,1638,182316,13,19.977679,4.923341,15.96436,
1,76.01140000042506,91,1742,182324,14,17.484336,3.601837,16.41269,
1,66.9525999983307,12,1558,182352,15,17.507574,2.555686,19.4,
1,66.91419999879145,11,869,182348,16,13.080772,3.885953,17.6,
1,64.83619999926304,12,1702,182352,17,16.202835,2.240968,19.00878,
1,66.09870000102092,12,1595,182348,18,15.886683,4.557951,18.33714,
1,74.45489999918209,90,1672,182328,19,19.472348,2.431181,19.74759,
1,61.09169999945152,12,1591,182348,20,16.572239,2.287478,16.86774,
1,64.5161000011285,11,1560,182360,21,16.7544,2.351645,14.84501,
1,69.65649999983725,12,885,182348,22,15.132952,4.561097,15.40878,
1,91.32399999907648,12,1663,182352,23,13.817261,3.492749,21.93714,
1,79.68269999946642,90,1815,182324,24,12.672123,4.330577,18.1101,
1,77.59550000082527,11,1610,182352,25,18.296786,1.957478,13.96745,
1,68.19160000122793,12,1269,182348,26,19.011874,1.234272,13.42359,
1,65.73949999983597,11,1662,182352,27,14.688936,1.601118,17.14473,
1,66.38790000033623,11,1617,182352,28,15.602715,4.185297,18.33714,
1,65.72020000021439,82,949,182344,29,13.845138,1.208085,14.5101,
1,67.07670000105281,12,1663,182360,30,15.236415,1.794052,17.56745,
1,66.60589999955846,12,1594,182352,31,12.726024,3.32133,17.02359,
1,71.20779999968363,12,1620,182344,32,14.389569,3.68798,18.34765,
1,59.96140000024752,11,1701,182340,33,13.596124,4.768452,17.98738,
1,67.57160000051954,90,1619,182340,34,14.920881,1.421981,18.1101,
1,67.33089999943331,13,912,182360,35,17.032865,4.708618,16.29744,
1,65.53949999943143,13,1700,182352,36,15.523017,4.818362,18.89137,
1,65.68850000076054,11,1613,182348,37,15.999167,2.700914,15.21864,
1,69.87729999855219,12,919,182348,38,16.961708,4.980386,18.99728,
1,64.84830000044894,90,1742,182344,39,19.591549,2.840181,19.81328,
1,65.04350000068371,12,1596,182348,40,18.061831,2.989691,16.16554,
1,70.58850000066741,11,906,182380,41,16.234497,4.143143,15.29137,
1,65.2286999993521,11,1656,182368,42,15.317247,3.937934,17.17715,
1,65.46170000001439,11,1576,182344,43,17.689143,4.728239,20.63278,
1,67.54560000081256,88,969,182356,44,12.919461,3.91606,19.85749,
1,88.46170000106213,13,1610,182328,45,19.419391,4.871705,16.9103,
1,80.22920000075828,32,1574,182364,46,12.11765,4.45456,13.2088,
1,65.45459999870218,13,1640,182352,47,19.84956,4.828841,18.72963,
1,65.81509999887203,12,1584,182360,48,13.190112,4.890515,22.26189,
1,69.64379999953962,92,1810,182348,49,19.119484,4.289495,17.33919,
1,62.922199998865835,59,1710,182348,50,15.839903,1.929492,17.33919,
1,64.56179999986489,12,1580,182352,51,18.415045,4.694121,10.4,
1,66.4956999989954,13,1585,182344,52,14.129042,3.155738,14.0,
1,66.54819999857864,13,1687,182352,53,15.542023,4.724069,17.6,
1,72.02619999952731,8,1592,182328,54,12.324086,3.928025,21.2,
1,63.517399999909685,91,1799,182328,55,16.914986,1.113461,17.33919,
1,77.99510000040755,12,1698,182344,56,17.753758,1.063967,12.70318,
1,72.48799999979383,12,903,182348,57,18.063608,3.051035,16.53637,
1,68.49370000054478,12,1534,182324,58,19.432834,1.26433,17.14804,
1,64.13369999972929,12,1576,182356,59,18.730538,1.26676,17.6,
1,66.98050000159128,84,870,182360,60,14.75448,2.721195,17.33919,
1,65.57959999918239,11,1698,182348,61,19.728497,3.248927,14.99727,
1,67.28479999947012,11,1595,182348,62,14.070917,1.966703,14.77279,
1,66.85979999929259,12,889,182356,63,19.104947,1.903478,17.07345,
1,64.96949999927892,12,1701,182352,64,12.996438,2.153323,15.65673,
1,65.45220000043628,91,1668,182348,65,16.688985,3.216362,17.33919,
1,70.53549999909592,1,698,182324,66,18.477686,3.241904,17.30538,
1,68.05779999922379,12,1625,182340,67,14.30737,2.651585,16.6925,
1,113.89760000020033,12,1683,182344,68,18.544968,3.506026,17.87463,
1,67.36349999846425,12,1647,182340,69,19.672621,2.477618,14.71766,
1,68.57230000059644,90,1744,182336,70,16.420892,3.375697,17.33919,
1,62.34729999960109,11,1572,182376,71,18.78633,1.581894,13.70538,
1,65.56640000053449,13,1629,182352,72,15.252083,4.639836,16.63465,
1,66.7739000000438,12,1700,182364,73,12.344535,4.290825,18.02085,
