Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.0002,18.9829,18.9829,2,37.9657,34.9614,24.1598,2.3209,0.3
0.0004,13.5502,13.5502,2,27.1004,34.9614,24.1392,2.0017,0.329167
0.0006,16.2066,16.2066,1.47385,23.8861,34.9614,24.1016,1.47385,0.370833
0.0008,14.1774,14.1774,2,28.3549,34.9614,24.1685,2.45698,0.4125
0.001,14.6045,14.6045,1.27752,18.6576,34.9614,24.0892,1.27752,0.370833
0.0012,18.7925,18.7925,1.92592,36.1927,34.9614,24.1325,1.92592,0.329167
0.0014,16.3469,16.3469,2,32.6938,34.9614,24.1404,2.03415,0.2875
0.0016,15.9539,15.9539,1.76261,28.1204,34.9614,24.1218,1.76261,0.329167
0.0018,18.4562,18.4562,1.6858,31.1133,34.9614,24.1162,1.6858,0.2875
0.002,18.5862,18.5862,1.8943,35.208,34.9614,24.131,1.8943,0.245833
0.0022,19.4381,19.4381,1.6018,31.136,34.9614,24.1106,1.6018,0.204167
0.0024,18.2718,18.2718,2,36.5437,34.9614,24.1397,2.01989,0.245833
0.0026,16.4189,16.4189,1.90759,31.3206,34.9614,24.132,1.90759,0.2875
0.0028,19.2913,19.2913,1.48548,28.6568,34.9614,24.1029,1.48548,0.245833
0.003,19.6833,19.6833,1.73449,34.1405,34.9614,24.1198,1.73449,0.204167
0.0032,17.898,17.898,2,35.796,34.9614,24.1387,2.00452,0.245833
0.0034,16.6826,16.6826,1.85999,31.0295,34.9614,24.1288,1.85999,0.2875
0.0036,19.2339,19.2339,1.55516,29.9119,34.9614,24.1079,1.55516,0.245833
0.0038,19.6209,19.6209,1.72909,33.9263,34.9614,24.1191,1.72909,0.204167
0.004,17.936,17.936,2,35.8721,34.9614,24.1381,2.00154,0.245833
0.0042,16.6699,16.6699,1.86813,31.1414,34.9614,24.1292,1.86813,0.2875
0.0044,19.2328,19.2328,1.54674,29.7482,34.9614,24.1073,1.54674,0.245833
0.0046,19.6292,19.6292,1.72875,33.9338,34.9614,24.12,1.72875,0.204167
0.0048,17.9303,17.9303,2,35.8605,34.9614,24.1388,2.00141,0.245833
0.005,16.6691,16.6691,1.86599,31.1044,34.9614,24.1295,1.86599,0.2875
0.0052,19.2294,19.2294,1.54832,29.7733,34.9614,24.1074,1.54832,0.245833
0.0054,19.6282,19.6282,1.72937,33.9444,34.9614,24.12,1.72937,0.204167
0.0056,17.9356,17.9356,1.99885,35.8507,34.9614,24.1387,1.99885,0.245833
0.0058,16.6695,16.6695,1.86959,31.1651,34.9614,24.1298,1.86959,0.2875
0.006,19.2218,19.2218,1.54697,29.7355,34.9614,24.1074,1.54697,0.245833
0.0062,19.6362,19.6362,1.72791,33.9296,34.9614,24.1199,1.72791,0.204167
0.0064,17.9285,17.9285,2,35.8569,34.9614,24.1391,2.00352,0.245833
0.0066,16.6751,16.6751,1.86298,31.0654,34.9614,24.1294,1.86298,0.2875
0.0068,19.241,19.241,1.54964,29.8166,34.9614,24.1075,1.54964,0.245833
0.007,19.6266,19.6266,1.72884,33.9313,34.9614,24.12,1.72884,0.204167
0.0072,17.936,17.936,2,35.8719,34.9614,24.1389,2.00199,0.245833
0.0074,16.6753,16.6753,1.8671,31.1345,34.9614,24.1296,1.8671,0.2875
0.0076,19.2286,19.2286,1.54784,29.7629,34.9614,24.1074,1.54784,0.245833
0.0078,19.6326,19.6326,1.7269,33.9035,34.9614,24.1198,1.7269,0.204167
0.008,17.9303,17.9303,2,35.8606,34.9614,24.139,2.00319,0.245833
0.0082,16.6747,16.6747,1.86437,31.0879,34.9614,24.1294,1.86437,0.2875
0.0084,19.2303,19.2303,1.54934,29.7944,34.9614,24.1075,1.54934,0.245833
0.0086,19.6235,19.6235,1.7313,33.9742,34.9614,24.1202,1.7313,0.204167
0.0088,17.9288,17.9288,2,35.8576,34.9614,24.1388,2.00078,0.245833
0.009,16.6779,16.6779,1.8646,31.0976,34.9614,24.1294,1.8646,0.2875
0.0092,19.2294,19.2294,1.55195,29.843,34.9614,24.1077,1.55195,0.245833
0.0094,19.6233,19.6233,1.73073,33.9626,34.9614,24.1201,1.73073,0.204167
0.0096,17.9323,17.9323,2,35.8646,34.9614,24.1388,2.00042,0.245833
0.0098,16.6655,16.6655,1.86953,31.1567,34.9614,24.1298,1.86953,0.2875
0.01,19.2274,19.2274,1.54721,29.7489,34.9614,24.1074,1.54721,0.245833
0.0102,19.6325,19.6325,1.72859,33.9366,34.9614,24.12,1.72859,0.204167
0.0104,17.9254,17.9254,2,35.8509,34.9614,24.1383,2.0028,0.245833
0.0106,16.6881,16.6881,1.86255,31.0823,34.9614,24.1293,1.86255,0.2875
0.0108,19.2315,19.2315,1.55274,29.8616,34.9614,24.1077,1.55274,0.245833
0.011,19.6229,19.6229,1.73033,33.9541,34.9614,24.1193,1.73033,0.204167
0.0112,17.9342,17.9342,2,35.8684,34.9614,24.1382,2.0001,0.245833
0.0114,16.6757,16.6757,1.86822,31.154,34.9614,24.1296,1.86822,0.2875
0.0116,19.2265,19.2265,1.54857,29.7735,34.9614,24.1075,1.54857,0.245833
0.0118,19.6295,19.6295,1.73072,33.9732,34.9614,24.1198,1.73072,0.204167
0.012,17.9238,17.9238,2,35.8475,34.9614,24.1385,2.00187,0.245833
0.0122,16.6705,16.6705,1.86274,31.0529,34.9614,24.1289,1.86274,0.2875
0.0124,19.2376,19.2376,1.5491,29.8009,34.9614,24.1073,1.5491,0.245833
0.0126,19.6307,19.6307,1.72837,33.9292,34.9614,24.1196,1.72837,0.204167
0.0128,17.9289,17.9289,2,35.8577,34.9614,24.1386,2.00262,0.245833
0.013,16.6651,16.6651,1.86511,31.0823,34.9614,24.1292,1.86511,0.2875
0.0132,19.239,19.239,1.54756,29.7736,34.9614,24.1073,1.54756,0.245833
0.0134,19.6261,19.6261,1.73189,33.9902,34.9614,24.1197,1.73189,0.204167
0.0136,17.9157,17.9157,2,35.8313,34.9614,24.1385,2.00283,0.245833
0.0138,16.6775,16.6775,1.8653,31.1085,34.9614,24.1293,1.8653,0.2875
0.014,19.2288,19.2288,1.54984,29.8015,34.9614,24.1074,1.54984,0.245833
0.0142,19.628,19.628,1.7295,33.9465,34.9614,24.1197,1.7295,0.204167
0.0144,17.9248,17.9248,2,35.8496,34.9614,24.1386,2.0045,0.245833
0.0146,16.6715,16.6715,1.86286,31.0566,34.9614,24.1291,1.86286,0.2875
0.0148,19.2372,19.2372,1.54929,29.8039,34.9614,24.1072,1.54929,0.245833
0.015,19.6277,19.6277,1.72944,33.945,34.9614,24.1192,1.72944,0.204167
0.0152,17.9377,17.9377,2,35.8755,34.9614,24.1376,2.00186,0.245833
0.0154,16.6637,16.6637,1.86776,31.1239,34.9614,24.1294,1.86776,0.2875
0.0156,19.2361,19.2361,1.54518,29.7232,34.9614,24.1071,1.54518,0.245833
0.0158,19.6286,19.6286,1.73162,33.9894,34.9614,24.1196,1.73162,0.204167
0.016,17.9218,17.9218,2,35.8436,34.9614,24.1386,2.00076,0.245833
0.0162,16.6735,16.6735,1.86669,31.1242,34.9614,24.1291,1.86669,0.2875
0.0164,19.2325,19.2325,1.54889,29.7891,34.9614,24.1072,1.54889,0.245833
0.0166,19.6282,19.6282,1.73025,33.9618,34.9614,24.1191,1.73025,0.204167
0.0168,17.9286,17.9286,2,35.8571,34.9614,24.1386,2.00318,0.245833
0.017,16.6644,16.6644,1.86697,31.1119,34.9614,24.1292,1.86697,0.2875
0.0172,19.2314,19.2314,1.5478,29.7662,34.9614,24.1073,1.5478,0.245833
0.0174,19.6321,19.6321,1.72819,33.928,34.9614,24.1196,1.72819,0.204167
0.0176,17.9363,17.9363,2,35.8726,34.9614,24.1385,2.00036,0.245833
0.0178,16.6752,16.6752,1.86681,31.1296,34.9614,24.1292,1.86681,0.2875
0.018,19.23,19.23,1.54988,29.8041,34.9614,24.1068,1.54988,0.245833
0.0182,19.6313,19.6313,1.72725,33.9083,34.9614,24.1199,1.72725,0.204167
0.0184,17.9408,17.9408,2,35.8815,34.9614,24.1388,2.00132,0.245833
0.0186,16.6603,16.6603,1.86813,31.1237,34.9614,24.1298,1.86813,0.2875
0.0188,19.2291,19.2291,1.54593,29.7267,34.9614,24.1073,1.54593,0.245833
0.019,19.6363,19.6363,1.72876,33.9465,34.9614,24.1199,1.72876,0.204167
0.0192,17.9291,17.9291,2,35.8582,34.9614,24.1388,2.00092,0.245833
0.0194,16.6684,16.6684,1.86582,31.1001,34.9614,24.1296,1.86582,0.2875
0.0196,19.2321,19.2321,1.54776,29.7666,34.9614,24.1074,1.54776,0.245833
0.0198,19.6281,19.6281,1.72947,33.9461,34.9614,24.12,1.72947,0.204167
0.02,17.9314,17.9314,1.99963,35.856,34.9614,24.1387,1.99963,0.245833
0.0202,16.6845,16.6845,1.86483,31.1138,34.9614,24.1295,1.86483,0.2875
0.0204,19.2203,19.2203,1.55324,29.8537,34.9614,24.1078,1.55324,0.245833
0.0206,19.6192,19.6192,1.73037,33.9486,34.9614,24.1201,1.73037,0.204167
0.0208,17.9265,17.9265,2,35.853,34.9614,24.1388,2.00019,0.245833
0.021,16.6848,16.6848,1.86475,31.113,34.9614,24.1295,1.86475,0.2875
0.0212,19.2206,19.2206,1.55224,29.835,34.9614,24.1077,1.55224,0.245833
0.0214,19.63,19.63,1.72758,33.9124,34.9614,24.1199,1.72758,0.204167
0.0216,17.9281,17.9281,2,35.8562,34.9614,24.1391,2.0043,0.245833
0.0218,16.6777,16.6777,1.86389,31.0854,34.9614,24.1294,1.86389,0.2875
0.022,19.2309,19.2309,1.55004,29.8086,34.9614,24.1076,1.55004,0.245833
0.0222,19.6288,19.6288,1.72952,33.9485,34.9614,24.12,1.72952,0.204167
0.0224,17.9302,17.9302,2,35.8604,34.9614,24.1388,2.00033,0.245833
0.0226,16.675,16.675,1.86747,31.14,34.9614,24.1298,1.86747,0.2875
0.0228,19.2255,19.2255,1.54915,29.7831,34.9614,24.1075,1.54915,0.245833
0.023,19.6295,19.6295,1.7282,33.9236,34.9614,24.1199,1.7282,0.204167
0.0232,17.933,17.933,2,35.8661,34.9614,24.139,2.00224,0.245833
0.0234,16.6715,16.6715,1.86715,31.1281,34.9614,24.1296,1.86715,0.2875
0.0236,19.2285,19.2285,1.54867,29.7787,34.9614,24.1075,1.54867,0.245833
0.0238,19.632,19.632,1.72767,33.9176,34.9614,24.1199,1.72767,0.204167
0.024,17.9306,17.9306,2,35.8613,34.9614,24.1389,2.00138,0.245833
0.0242,16.6689,16.6689,1.86659,31.1139,34.9614,24.1296,1.86659,0.2875
0.0244,19.2306,19.2306,1.54814,29.7717,34.9614,24.1074,1.54814,0.245833
0.0246,19.6279,19.6279,1.73075,33.9711,34.9614,24.1201,1.73075,0.204167
0.0248,17.9331,17.9331,1.99877,35.8442,34.9614,24.1387,1.99877,0.245833
0.025,16.6764,16.6764,1.869,31.1683,34.9614,24.1298,1.869,0.2875
0.0252,19.2229,19.2229,1.54753,29.7481,34.9614,24.1074,1.54753,0.245833
0.0254,19.6347,19.6347,1.72708,33.9108,34.9614,24.1199,1.72708,0.204167
0.0256,17.9375,17.9375,2,35.875,34.9614,24.1388,2.0012,0.245833
0.0258,16.6609,16.6609,1.86566,31.0835,34.9614,24.1295,1.86566,0.2875
0.026,19.2404,19.2404,1.54617,29.7489,34.9614,24.1073,1.54617,0.245833
0.0262,19.6293,19.6293,1.72975,33.9538,34.9614,24.12,1.72975,0.204167
0.0264,17.9276,17.9276,2,35.8552,34.9614,24.139,2.00185,0.245833
0.0266,16.6692,16.6692,1.86616,31.1075,34.9614,24.1296,1.86616,0.2875
0.0268,19.2322,19.2322,1.54687,29.7497,34.9614,24.1074,1.54687,0.245833
0.027,19.6319,19.6319,1.7292,33.9475,34.9614,24.12,1.7292,0.204167
0.0272,17.9224,17.9224,2,35.8448,34.9614,24.139,2.00397,0.245833
0.0274,16.6724,16.6724,1.86501,31.0942,34.9614,24.1295,1.86501,0.2875
0.0276,19.234,19.234,1.54905,29.7945,34.9614,24.1075,1.54905,0.245833
0.0278,19.6259,19.6259,1.73051,33.9627,34.9614,24.1201,1.73051,0.204167
0.028,17.9197,17.9197,2,35.8394,34.9614,24.139,2.00204,0.245833
