# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 25.470,12.125,911.900,51.698,25000
sample_index,rtt_ms
0,15.483
1,23.605
2,17.893
3,15.797
4,16.346
5,25.706
6,31.268
7,42.584
8,17.131
9,15.784
10,13.789
11,16.065
12,15.014
13,14.335
14,25.221
15,14.299
16,13.609
17,15.267
18,50.007
19,31.361
20,36.953
21,32.006
22,23.300
23,14.341
24,18.864
25,39.070
26,37.314
27,15.056
28,21.192
29,17.606
30,34.521
31,19.074
32,31.957
33,14.443
34,17.473
35,24.833
36,46.995
37,18.077
38,23.782
39,23.422
40,21.131
41,17.026
42,22.771
43,35.720
44,15.058
45,20.581
46,18.016
47,26.888
48,27.597
49,15.009
50,13.733
51,50.918
52,16.279
53,36.345
54,23.939
55,14.654
56,25.604
57,16.716
58,19.942
59,38.357
60,15.693
61,14.218
62,13.257
63,22.450
64,27.202
65,13.445
66,24.540
67,20.706
68,19.141
69,26.367
70,40.550
71,17.558
72,29.614
73,12.749
74,46.242
75,19.650
76,12.741
77,14.251
78,19.781
79,39.761
80,33.408
81,30.195
82,16.401
83,49.282
84,23.818
85,21.409
86,23.001
87,32.240
88,25.031
89,17.498
90,19.691
91,27.889
92,15.025
93,13.392
94,31.423
95,21.006
96,20.380
97,27.591
98,23.662
99,12.684
100,33.752
101,14.247
102,12.743
103,14.025
104,18.744
105,16.140
106,26.654
107,20.201
108,14.441
109,14.799
110,33.044
111,23.234
112,24.515
113,25.471
114,16.338
115,30.549
116,23.275
117,13.795
118,15.365
119,24.277
120,19.136
121,16.198
122,35.287
123,20.119
124,26.092
125,25.494
126,17.526
127,13.520
128,36.202
129,18.574
130,14.240
131,54.973
132,45.537
133,20.140
134,16.564
135,13.406
136,31.250
137,21.038
138,14.171
139,36.484
140,34.347
141,31.146
142,13.514
143,25.506
144,73.476
145,21.289
146,22.700
147,18.248
148,40.739
149,21.300
150,16.544
151,23.055
152,31.230
153,14.588
154,25.832
155,32.707
156,49.308
157,34.289
158,12.800
159,38.248
160,15.080
161,15.447
162,20.833
163,18.839
164,20.270
165,21.697
166,16.994
167,28.802
168,27.637
169,14.957
170,13.415
171,34.061
172,21.250
173,32.159
174,20.774
175,52.476
176,19.014
177,14.252
178,14.957
179,35.799
180,34.531
181,37.857
182,20.984
183,14.949
184,28.354
185,19.357
186,28.270
187,25.357
188,17.842
189,12.758
190,13.133
191,19.575
192,14.708
193,31.260
194,38.585
195,12.977
196,14.770
197,39.764
198,14.709
199,14.789
200,17.137
201,14.552
202,16.865
203,23.850
204,20.091
205,15.790
206,16.582
207,30.264
208,25.329
209,22.633
210,22.817
211,29.914
212,22.784
213,15.009
214,52.000
215,29.899
216,49.461
217,13.703
218,12.391
219,36.250
220,19.797
221,34.443
222,31.045
223,13.099
224,25.076
225,39.312
226,13.329
227,44.861
228,14.725
229,35.729
230,16.537
231,30.958
232,41.387
233,16.270
234,39.066
235,30.674
236,14.476
237,43.642
238,13.429
239,12.440
240,20.530
241,19.709
242,13.731
243,25.816
244,31.582
245,16.090
