# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 22.570,7.742,47.777,46.327,172
sample_index,rtt_ms
0,44.925
1,13.748
2,34.006
3,13.467
4,34.755
5,20.904
6,37.885
7,29.567
8,15.934
9,18.917
10,16.223
11,28.713
12,20.672
13,16.897
14,12.955
15,30.274
16,15.038
17,17.471
18,15.994
19,17.315
20,29.081
21,18.852
22,16.995
23,18.034
24,26.543
25,16.761
26,14.633
27,16.017
28,18.734
29,30.717
30,14.200
31,32.946
32,17.830
33,38.995
34,15.765
35,38.049
36,25.757
37,17.718
38,27.620
39,17.492
40,23.485
41,14.850
42,34.546
43,26.210
44,29.405
45,15.284
46,20.394
47,16.331
48,16.518
49,27.301
50,21.275
51,18.341
52,16.320
53,25.501
54,18.365
55,17.401
56,37.867
57,26.307
58,16.686
59,22.353
60,15.713
61,25.139
62,32.416
63,18.596
64,16.707
65,24.948
66,13.859
67,19.847
68,18.789
69,15.456
70,21.809
71,15.618
72,20.114
73,17.585
74,14.295
75,26.356
76,17.863
77,19.751
78,17.110
79,17.229
80,25.789
81,18.682
82,14.493
83,17.466
84,15.088
85,30.621
86,18.155
87,18.448
88,15.609
89,15.486
90,45.966
91,20.562
92,34.932
93,27.478
94,34.018
95,18.464
96,14.856
97,29.358
98,20.360
99,18.120
100,15.790
101,26.854
102,15.121
103,17.831
104,16.782
105,17.179
106,28.790
107,21.939
108,15.452
109,35.840
110,25.293
111,16.947
112,16.109
113,16.187
114,15.906
115,28.575
116,22.038
117,18.575
118,18.552
119,27.545
120,39.732
121,28.711
122,25.749
123,18.119
124,17.503
125,42.923
126,26.518
127,17.803
128,18.000
129,17.418
130,14.172
131,29.355
132,18.461
133,19.586
134,47.777
135,20.318
136,47.211
137,26.075
138,14.261
139,19.880
140,20.344
141,15.602
142,26.723
143,33.866
144,22.204
145,15.419
146,33.364
147,36.424
148,19.412
149,25.321
150,20.183
151,20.258
152,18.136
153,16.806
154,23.491
155,21.903
156,39.255
157,25.278
158,16.114
159,31.790
160,29.783
161,25.567
162,18.549
163,16.548
164,20.115
165,23.953
166,34.029
167,17.204
168,17.585
169,22.837
170,34.092
171,16.698
