# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 32.008,11.904,104.325,58.467,10000
sample_index,rtt_ms
0,34.788
1,16.459
2,38.373
3,28.886
4,42.717
5,24.403
6,44.776
7,22.599
8,29.141
9,35.847
10,22.803
11,15.059
12,32.764
13,35.485
14,39.328
15,33.171
16,55.184
17,13.611
18,32.424
19,53.420
20,35.977
21,36.658
22,40.056
23,49.460
24,41.237
25,49.587
26,21.536
27,35.136
28,29.890
29,51.006
30,36.769
31,22.525
32,37.150
33,22.559
34,47.309
35,30.154
36,25.040
37,30.197
38,33.924
39,29.796
40,25.293
41,51.247
42,37.040
43,49.268
44,18.389
45,30.564
46,31.677
47,12.722
48,25.139
49,28.258
50,30.946
51,14.447
52,36.574
53,16.821
54,15.168
55,38.002
56,18.608
57,28.518
58,29.286
59,28.366
60,49.115
61,14.810
62,28.553
63,28.190
64,14.464
65,15.216
66,42.233
67,12.954
68,15.956
69,50.080
70,39.663
71,45.913
72,12.730
73,34.712
74,28.126
75,31.581
76,23.745
77,37.453
78,22.940
79,37.453
80,25.770
81,13.798
82,41.647
83,12.997
84,27.587
85,32.894
86,12.698
87,22.899
88,40.644
89,35.174
90,51.061
91,27.726
92,12.586
93,36.810
94,31.940
95,24.058
96,35.684
97,37.197
98,31.627
99,13.970
100,35.478
101,29.896
102,30.348
103,21.879
104,37.904
105,39.636
106,30.492
107,31.792
108,47.740
109,15.171
110,36.475
111,49.884
112,67.407
113,22.330
114,38.353
115,39.140
116,22.513
117,41.407
118,34.376
119,23.860
120,40.892
121,13.119
122,13.956
123,37.320
124,38.075
125,35.083
126,38.561
127,34.311
128,24.779
129,13.877
130,45.266
131,30.909
132,15.206
133,43.069
134,15.430
135,16.919
136,48.361
137,36.356
138,38.930
139,44.513
140,24.858
141,24.659
142,12.485
143,32.398
144,15.104
145,33.286
146,29.496
147,28.238
148,23.750
149,36.711
150,23.540
151,14.760
152,24.650
153,13.958
154,36.123
155,27.690
156,14.955
157,13.100
158,41.013
159,26.068
160,46.441
161,23.898
162,38.010
163,32.928
164,13.061
165,46.808
166,39.531
167,56.370
168,34.772
169,43.068
170,12.638
171,44.668
172,18.353
173,15.785
174,27.854
175,22.247
176,22.634
177,13.871
178,64.335
179,13.574
180,41.468
181,27.792
182,51.359
183,12.856
184,30.782
185,38.764
186,12.715
187,33.226
188,52.468
189,22.595
190,36.383
191,14.836
192,33.167
193,65.891
194,25.659
195,51.930
196,13.826
197,42.237
198,24.493
199,48.585
200,24.199
201,36.742
202,37.500
203,38.534
204,49.233
205,13.519
206,46.355
207,38.081
208,46.494
209,30.841
210,43.830
211,28.595
212,50.523
213,13.997
214,34.917
215,31.258
216,37.859
217,37.427
218,38.634
219,50.188
220,40.435
221,24.015
222,32.527
223,12.790
224,48.287
225,40.811
226,25.743
227,31.794
228,48.206
229,41.843
230,52.230
231,12.571
232,38.309
233,13.534
234,35.480
235,23.305
236,37.782
237,25.178
238,13.902
239,12.605
240,46.582
241,30.340
242,19.379
243,40.631
244,37.389
245,35.832
246,27.849
247,14.936
248,35.038
249,12.852
250,27.590
251,27.533
252,35.874
253,48.908
254,37.857
255,13.382
256,26.546
257,16.241
258,38.308
259,55.303
260,17.673
261,48.210
262,38.552
263,38.641
264,12.968
265,38.117
266,25.139
267,40.107
268,29.660
269,12.121
270,27.057
271,30.064
272,13.012
273,26.342
274,25.244
275,28.273
276,19.409
277,24.818
278,37.761
279,43.707
280,15.727
281,33.342
282,36.364
283,37.567
284,30.590
285,14.914
286,36.209
287,58.459
288,30.020
289,33.751
290,16.441
291,45.106
292,33.931
293,27.531
294,13.433
295,27.997
296,17.839
297,46.402
298,33.735
299,21.238
300,22.309
301,24.814
302,31.250
303,17.283
304,32.656
305,25.069
306,35.105
307,44.285
308,12.548
309,12.053
310,52.455
311,35.201
312,43.721
313,26.912
314,52.867
315,29.487
316,36.679
317,22.995
318,55.483
319,37.171
320,58.670
321,32.436
322,51.248
323,18.910
324,44.865
325,15.560
326,14.390
327,16.287
328,38.109
329,62.445
330,29.704
331,42.660
332,25.728
333,49.229
334,22.577
335,14.521
336,23.503
337,12.901
338,23.939
339,37.958
340,36.549
341,43.413
342,31.291
343,50.704
344,28.573
345,12.586
346,36.865
347,31.212
348,25.817
349,24.302
350,36.313
351,15.975
352,42.612
353,14.378
354,48.772
355,34.065
356,47.547
357,24.363
358,26.630
359,38.026
360,22.649
361,37.712
362,23.287
363,26.399
364,43.313
365,13.563
366,21.106
367,46.299
368,39.386
369,17.077
370,32.359
371,37.445
372,14.875
373,28.258
374,40.002
375,15.474
376,42.553
377,36.130
378,55.673
379,24.632
380,50.879
381,16.379
382,12.831
383,16.946
384,40.269
385,19.177
386,39.853
387,15.638
388,45.423
389,12.417
390,31.033
391,45.566
392,23.462
393,55.090
394,13.591
395,22.372
396,42.301
397,34.031
398,27.294
399,29.737
400,12.673
401,36.990
402,30.687
403,52.615
404,37.513
405,43.805
406,29.979
407,23.442
408,52.502
409,54.851
410,34.487
411,50.918
412,23.623
413,25.114
414,36.637
415,37.158
416,15.492
417,38.324
418,17.269
419,30.941
420,38.662
421,47.272
422,13.901
423,28.325
424,38.491
425,37.678
426,31.687
427,25.029
428,101.812
429,49.185
430,26.382
431,51.338
432,22.095
433,40.158
434,31.761
435,24.423
436,25.862
437,36.529
438,50.296
439,23.040
440,14.399
441,41.656
442,27.921
443,49.370
444,26.131
445,35.147
446,25.852
447,34.499
448,46.828
449,28.867
450,52.944
451,23.082
452,55.338
453,36.013
454,49.504
455,17.661
456,24.306
457,38.524
458,17.075
459,42.697
460,14.380
461,37.737
462,37.848
463,24.594
464,16.273
465,20.957
466,15.355
467,32.694
468,51.571
469,12.873
470,42.931
471,27.397
472,53.525
473,16.637
474,26.808
475,38.552
476,22.464
477,45.336
478,29.646
479,24.589
480,38.816
481,32.983
482,36.511
483,22.941
484,41.551
485,34.619
486,50.291
487,26.439
488,52.698
489,36.687
490,35.894
491,37.823
492,43.727
493,31.920
494,16.481
495,41.451
496,47.690
497,41.109
498,13.109
499,13.948
500,46.566
501,35.478
502,34.003
503,38.281
504,29.150
505,31.918
506,25.504
507,33.522
508,37.165
509,27.810
510,15.743
511,23.184
512,37.044
513,36.659
514,14.442
515,38.499
516,28.878
517,38.731
518,38.370
519,40.060
520,12.943
521,30.293
522,34.019
523,26.125
524,21.476
525,39.521
526,36.763
527,37.334
528,36.271
529,54.273
530,13.289
531,37.596
532,32.113
533,50.515
534,25.590
535,12.695
536,43.342
537,26.270
538,53.753
539,38.404
540,16.482
541,43.294
542,22.759
543,39.811
544,23.301
545,22.455
546,38.202
547,36.738
548,23.488
549,37.813
550,37.175
551,39.626
552,35.652
553,39.877
554,37.042
555,37.386
556,22.359
557,41.869
558,16.406
559,14.520
560,24.542
561,36.922
562,29.183
563,29.865
564,47.408
565,28.509
566,21.822
567,36.812
568,36.570
569,30.263
570,13.086
571,24.039
572,44.847
573,34.035
574,55.897
575,12.856
576,25.296
577,29.044
578,14.263
579,42.986
580,34.832
581,39.914
582,38.585
583,30.555
584,29.168
585,53.080
586,14.186
587,33.867
588,47.448
589,23.489
590,30.401
591,29.527
592,51.431
593,35.570
594,56.178
595,12.495
596,28.521
597,22.726
598,19.526
599,17.397
600,29.355
601,35.486
602,51.513
603,24.668
604,53.225
605,30.276
606,56.711
607,40.041
608,49.347
609,38.054
610,40.858
611,33.728
612,32.763
613,23.488
614,51.970
615,17.999
616,59.067
617,35.251
618,50.553
619,23.795
620,13.722
621,46.189
622,39.893
623,31.662
624,23.718
625,52.406
626,13.707
627,46.589
628,14.446
629,44.350
630,36.478
631,24.827
632,35.655
633,25.215
634,46.366
635,13.224
636,21.466
637,42.287
638,37.114
639,43.864
640,46.149
641,24.124
642,13.794
643,26.418
644,24.316
645,32.326
646,46.795
647,30.881
648,14.144
649,34.007
650,32.157
651,50.467
652,37.441
653,39.000
654,38.714
655,47.735
656,37.876
657,42.547
658,32.982
659,32.141
660,45.513
661,79.850
662,27.028
663,32.304
664,28.737
665,46.379
666,32.121
667,36.280
668,12.483
669,13.261
670,23.655
671,39.480
672,29.149
673,30.581
674,29.545
675,16.799
676,33.033
677,13.708
678,47.928
679,38.437
680,54.032
681,37.829
682,46.912
683,13.920
684,42.478
685,41.453
686,28.191
687,23.755
688,13.229
689,13.891
690,32.159
691,37.216
692,62.084
693,25.628
694,44.608
695,14.680
696,23.520
697,34.264
698,29.637
699,14.184
700,29.559
701,25.370
702,49.856
703,25.830
704,13.809
705,43.219
706,41.238
707,43.434
708,29.715
709,13.705
710,34.342
711,44.156
712,40.832
713,25.561
714,52.111
715,23.079
716,13.901
717,49.136
718,14.123
719,30.005
720,33.916
721,43.555
722,35.515
723,27.266
724,25.842
725,12.559
726,31.062
727,55.095
728,51.580
729,38.302
730,48.188
731,16.515
732,48.420
733,25.848
734,36.848
735,38.400
736,12.925
737,45.425
738,25.505
739,12.482
740,47.981
741,14.050
742,34.031
743,31.360
744,37.190
745,54.194
746,30.489
747,39.935
748,39.496
749,28.407
750,31.291
751,47.184
752,26.518
753,14.978
754,25.605
755,13.169
756,33.525
757,40.768
758,14.261
759,12.463
760,13.948
761,42.291
762,14.392
763,43.020
764,25.309
765,52.184
766,23.260
767,40.009
768,35.264
769,36.698
770,26.907
771,15.717
772,22.417
773,42.329
774,12.609
775,12.382
776,24.076
777,23.016
778,35.759
779,46.566
780,30.197
781,22.474
782,38.867
783,39.453
784,54.222
785,37.713
786,39.986
787,27.065
788,41.150
789,13.701
790,44.725
791,49.582
792,15.816
793,46.556
794,13.714
795,32.263
796,40.000
797,34.599
798,28.207
799,32.010
800,52.352
801,17.555
802,28.644
803,27.084
804,13.201
805,25.943
806,39.572
807,28.239
808,13.293
809,24.597
810,27.406
811,51.534
812,38.755
813,48.309
814,35.928
815,42.314
816,12.592
817,46.461
818,39.134
819,14.157
820,41.813
821,23.505
822,23.156
823,33.889
824,48.307
825,14.736
826,33.701
827,28.527
828,29.933
829,14.833
830,32.663
831,18.510
832,54.984
833,26.656
834,26.292
835,50.339
836,38.511
837,30.012
838,16.543
839,33.755
840,40.609
841,37.053
842,28.270
843,30.858
844,20.046
845,40.359
846,37.052
847,52.059
848,22.875
849,39.268
850,27.303
851,38.226
852,29.456
853,55.040
854,33.868
855,47.191
856,28.250
857,13.563
858,34.516
859,33.484
860,14.664
861,54.560
862,42.714
863,14.834
864,14.561
865,13.296
866,35.560
867,37.589
868,48.322
869,19.111
870,12.796
871,41.717
872,14.319
873,28.607
874,39.824
875,39.783
876,53.424
877,38.007
878,23.978
879,43.284
880,31.459
881,17.708
882,42.251
883,37.256
884,39.457
885,49.871
886,40.918
887,47.421
888,17.440
889,37.420
890,36.540
891,40.161
892,12.889
893,29.688
894,38.037
895,13.443
896,25.955
897,34.421
898,30.906
899,32.392
900,34.123
901,26.306
902,37.817
903,36.311
904,49.954
905,26.237
906,38.238
907,24.058
908,46.684
909,37.854
910,32.931
911,39.554
912,33.835
913,29.380
914,49.670
915,25.804
916,23.207
917,36.672
918,39.028
919,28.896
920,31.772
921,51.492
922,18.561
923,42.987
924,15.484
925,26.518
926,14.499
927,43.569
928,22.769
929,32.492
930,29.646
931,12.641
932,37.688
933,35.048
934,48.372
935,39.197
936,45.484
937,12.609
938,45.264
939,26.494
940,51.505
941,38.915
942,15.586
943,29.575
944,35.778
945,17.327
946,39.437
947,39.038
948,38.686
949,23.951
950,22.346
951,39.388
952,38.608
953,51.430
954,40.072
955,29.951
956,22.981
957,23.355
958,24.842
959,37.018
960,44.654
961,24.504
962,40.720
963,35.344
964,46.921
965,31.057
966,52.499
967,15.572
968,31.395
969,50.940
970,35.643
971,38.125
972,23.916
973,16.829
974,42.106
975,25.370
976,35.488
977,35.341
978,28.035
979,36.007
980,23.519
981,30.118
982,30.849
983,48.638
984,14.546
985,38.143
986,52.648
987,38.084
988,30.571
989,22.436
990,39.115
991,26.226
992,36.304
993,35.304
994,41.786
995,28.805
996,13.003
997,25.382
998,43.256
999,13.925
1000,33.157
1001,29.574
1002,85.329
1003,47.518
1004,18.031
1005,15.730
1006,40.967
1007,12.436
1008,42.089
1009,38.647
1010,35.600
1011,54.696
1012,36.637
1013,28.223
1014,15.529
1015,13.712
1016,41.219
1017,36.434
1018,22.945
1019,23.504
1020,36.549
1021,15.656
1022,18.032
1023,30.546
1024,41.138
1025,29.821
1026,44.267
1027,32.978
1028,16.375
1029,29.444
1030,37.670
1031,45.407
1032,28.114
1033,50.347
1034,25.453
1035,38.271
1036,40.518
1037,51.159
1038,12.955
1039,30.462
1040,38.982
1041,21.970
1042,38.172
1043,12.039
1044,32.573
1045,40.616
1046,36.078
1047,46.088
1048,16.158
1049,43.181
1050,14.578
1051,14.688
1052,53.557
1053,12.795
1054,49.942
1055,13.794
1056,28.190
1057,37.477
1058,13.001
1059,36.139
1060,20.506
1061,12.913
1062,13.640
1063,12.233
1064,34.840
1065,28.732
1066,48.263
1067,13.361
1068,35.435
1069,18.372
1070,40.142
1071,48.191
1072,36.620
1073,37.967
1074,37.118
1075,38.241
1076,23.192
1077,14.905
1078,50.843
1079,34.483
1080,48.258
1081,29.994
1082,34.713
1083,24.003
1084,43.411
1085,33.142
1086,52.229
1087,25.269
1088,13.321
1089,37.017
1090,12.591
1091,25.823
1092,39.073
1093,54.186
1094,51.082
1095,13.895
1096,48.016
1097,33.632
1098,48.986
1099,24.706
1100,25.186
1101,40.155
1102,33.621
1103,36.690
1104,14.987
1105,41.913
1106,51.235
1107,19.451
1108,51.467
1109,34.252
1110,38.439
1111,14.468
1112,45.096
1113,29.166
1114,52.553
1115,25.660
1116,47.693
1117,16.756
1118,34.565
1119,50.700
1120,23.124
1121,38.636
1122,34.733
1123,16.340
1124,43.641
1125,13.419
1126,47.136
1127,37.205
1128,12.136
1129,48.230
1130,23.689
1131,44.802
1132,31.770
1133,12.799
1134,30.424
1135,16.263
1136,53.208
1137,23.217
1138,79.057
1139,13.543
1140,35.012
1141,41.639
1142,45.026
1143,13.121
1144,15.198
1145,26.450
1146,27.827
1147,28.290
1148,52.788
1149,23.339
1150,13.464
1151,24.310
1152,30.947
1153,17.016
1154,26.288
1155,28.322
1156,29.385
1157,31.780
1158,40.642
1159,37.142
1160,24.387
1161,50.665
1162,37.144
1163,38.424
1164,38.604
