# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 24.763,10.729,65.783,55.069,172
sample_index,rtt_ms
0,47.194
1,14.743
2,25.573
3,15.143
4,36.729
5,27.849
6,14.245
7,19.995
8,15.651
9,16.902
10,28.278
11,19.876
12,15.923
13,17.837
14,35.233
15,13.769
16,19.476
17,14.986
18,33.711
19,14.679
20,19.491
21,13.651
22,22.778
23,49.320
24,15.052
25,52.101
26,14.820
27,17.806
28,16.648
29,18.275
30,29.031
31,18.949
32,16.537
33,53.180
34,15.892
35,54.240
36,33.898
37,18.035
38,33.625
39,36.968
40,22.589
41,22.339
42,17.167
43,27.234
44,19.048
45,19.922
46,16.751
47,15.230
48,27.731
49,16.366
50,16.853
51,16.190
52,14.656
53,28.570
54,45.596
55,47.949
56,16.365
57,21.178
58,15.929
59,16.786
60,65.783
61,15.226
62,36.903
63,19.499
64,16.547
65,16.711
66,14.391
67,54.468
68,50.477
69,26.958
70,19.099
71,18.586
72,14.999
73,25.331
74,14.538
75,19.230
76,34.761
77,26.928
78,31.515
79,26.450
80,43.873
81,20.636
82,16.048
83,38.515
84,36.822
85,20.462
86,17.158
87,16.146
88,28.284
89,40.459
90,15.815
91,38.514
92,31.621
93,29.674
94,29.968
95,19.963
96,20.163
97,15.731
98,15.038
99,27.672
100,20.315
101,17.695
102,20.005
103,29.553
104,22.867
105,19.771
106,14.679
107,15.747
108,43.875
109,31.728
110,19.189
111,24.626
112,14.853
113,22.753
114,22.936
115,15.640
116,32.465
117,22.640
118,31.493
119,29.954
120,15.765
121,19.674
122,30.452
123,26.830
124,15.781
125,21.869
126,17.089
127,18.758
128,30.552
129,23.824
130,35.379
131,41.477
132,24.396
133,26.591
134,16.836
135,36.667
136,20.476
137,39.320
138,56.540
139,29.516
140,27.955
141,17.319
142,23.470
143,18.237
144,17.649
145,32.675
146,23.663
147,16.964
148,41.144
149,16.823
150,36.500
151,38.559
152,15.463
153,36.935
154,16.781
155,25.642
156,18.431
157,15.706
158,16.928
159,38.584
160,16.343
161,17.251
162,15.041
163,43.096
164,14.074
165,17.971
166,14.080
167,15.707
168,27.504
169,17.629
170,15.411
171,15.579
