Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.029,17.0552,17.0552,1.94536,33.1785,34.9614,24.0972,1.94536,0.3
0.058,16.3646,16.3646,1.94911,31.8964,34.9614,24.0938,1.94911,0.329167
0.087,15.352,15.352,1.96619,30.1848,34.9614,24.0894,1.96619,0.370833
0.116,16.3356,16.3356,1.95637,31.9584,34.9614,24.0941,1.95637,0.329167
0.145,17.3585,17.3585,1.9385,33.6495,34.9614,24.0984,1.9385,0.2875
0.174,18.3564,18.3564,1.89557,34.7958,34.9614,24.1012,1.89557,0.245833
0.203,19.3493,19.3493,1.78615,34.5607,34.9614,24.1001,1.78615,0.204167
0.232,18.3564,18.3564,1.89557,34.7958,34.9614,24.1012,1.89557,0.245833
0.261,17.3532,17.3532,1.94013,33.6674,34.9614,24.0985,1.94013,0.2875
0.29,18.3573,18.3573,1.9025,34.9249,35.0839,24.1016,1.9025,0.245833
0.319,19.3525,19.3525,1.80884,35.0057,35.4068,24.1014,1.80884,0.204167
0.348,20.3223,20.3223,1.5419,31.3348,35.7297,24.0905,1.5419,0.1625
0.377,19.3571,19.3571,1.84165,35.649,36.0526,24.1032,1.84165,0.204167
0.406,18.3672,18.3672,1.97553,36.285,36.3756,24.1055,1.97553,0.245833
0.435,17.3654,17.3654,2.03924,35.4122,36.6985,24.1035,2.03924,0.2875
0.464,18.3722,18.3722,2.01197,36.9642,37.0214,24.1074,2.01197,0.245833
0.493,19.3662,19.3662,1.90689,36.9292,37.3443,24.1069,1.90689,0.204167
0.522,18.3771,18.3771,2.04835,37.6427,37.6672,24.1094,2.04835,0.245833
0.551,17.3771,17.3771,2.11373,36.7304,37.9902,24.1073,2.11373,0.2875
0.58,18.382,18.382,2.08468,38.3205,38.3131,24.1113,2.08468,0.245833
0.609,19.3752,19.3752,1.97161,38.2004,38.636,24.1105,1.97161,0.204167
0.638,18.3869,18.3869,2.12095,38.9976,38.9589,24.1132,2.12095,0.245833
0.667,17.3872,17.3872,2.18952,38.0696,39.2818,24.1111,2.18952,0.2875
0.696,18.3918,18.3918,2.15716,39.674,39.6048,24.1152,2.15716,0.245833
0.725,19.3842,19.3842,2.0358,39.4623,39.9277,24.1141,2.0358,0.204167
0.754,18.3967,18.3967,2.19331,40.3497,40.2506,24.1171,2.19331,0.245833
0.783,17.4046,17.4046,2.2645,39.4126,40.5735,24.1149,2.2645,0.2875
0.812,18.4016,18.4016,2.22941,41.0246,40.8964,24.119,2.22941,0.245833
0.841,19.3931,19.3931,2.09945,40.7147,41.2194,24.1177,2.09945,0.204167
0.87,18.4064,18.4064,2.26544,41.6987,41.5423,24.121,2.26544,0.245833
0.899,17.407,17.407,2.34059,40.7426,41.8652,24.1188,2.34059,0.2875
0.928,18.4113,18.4113,2.30141,42.3721,42.1881,24.1229,2.30141,0.245833
0.957,19.4019,19.4019,2.16254,41.9574,42.511,24.1212,2.16254,0.204167
0.986,18.4162,18.4162,2.33733,43.0446,42.8339,24.1248,2.33733,0.245833
1.015,17.4118,17.4118,2.41369,42.0266,43.1569,24.1225,2.41369,0.2875
1.044,18.421,18.421,2.37317,43.7162,43.4798,24.1267,2.37317,0.245833
1.073,19.4106,19.4106,2.22507,43.19,43.8027,24.1247,2.22507,0.204167
1.102,18.4259,18.4259,2.40895,44.387,44.1256,24.1286,2.40895,0.245833
1.131,17.4268,17.4268,2.49129,43.4151,44.4485,24.1264,2.49129,0.2875
1.16,18.4307,18.4307,2.44467,45.0569,44.7715,24.1305,2.44467,0.245833
1.189,19.4193,19.4193,2.28703,44.4124,45.0944,24.1282,2.28703,0.204167
1.218,18.4355,18.4355,2.48032,45.7259,45.4173,24.1324,2.48032,0.245833
1.247,17.4366,17.4366,2.56649,44.7509,45.7402,24.1302,2.56649,0.2875
1.276,18.4403,18.4403,2.5159,46.3939,46.0631,24.1343,2.5159,0.245833
1.305,19.4278,19.4278,2.34839,45.6242,46.3861,24.1316,2.34839,0.204167
1.334,18.4451,18.4451,2.55141,47.061,46.709,24.1362,2.55141,0.245833
1.363,17.4465,17.4465,2.64159,46.0864,47.0319,24.1341,2.64159,0.2875
1.392,18.4499,18.4499,2.58685,47.7271,47.3548,24.1381,2.58685,0.245833
1.421,19.4363,19.4363,2.40916,46.8252,47.6777,24.135,2.40916,0.204167
1.45,18.4547,18.4547,2.62221,48.3922,48.0006,24.14,2.62221,0.245833
1.479,17.4563,17.4563,2.71658,47.4215,48.3236,24.1379,2.71658,0.2875
1.508,18.4595,18.4595,2.65751,49.0562,48.6465,24.1419,2.65751,0.245833
