# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 26.519,12.004,103.377,55.967,10000
sample_index,rtt_ms
0,31.699
1,13.750
2,13.577
3,12.247
4,28.165
5,14.698
6,14.327
7,48.768
8,13.855
9,32.405
10,27.976
11,13.520
12,12.833
13,14.821
14,41.567
15,17.124
16,25.602
17,34.886
18,13.333
19,14.549
20,35.180
21,13.404
22,34.586
23,22.966
24,17.268
25,12.630
26,15.316
27,41.725
28,21.171
29,17.346
30,27.010
31,14.113
32,12.560
33,15.120
34,46.742
35,13.704
36,13.595
37,24.493
38,13.677
39,29.895
40,36.933
41,13.515
42,19.389
43,25.001
44,14.358
45,23.592
46,13.045
47,24.131
48,17.400
49,45.818
50,13.426
51,14.666
52,19.074
53,24.668
54,13.348
55,13.230
56,15.294
57,25.331
58,14.139
59,31.216
60,47.852
61,40.187
62,50.875
63,12.387
64,13.029
65,30.285
66,28.281
67,24.794
68,39.777
69,14.303
70,24.809
71,14.510
72,13.140
73,47.091
74,26.640
75,14.894
76,28.344
77,13.350
78,35.355
79,23.850
80,32.702
81,12.581
82,38.146
83,12.681
84,12.814
85,12.546
86,40.425
87,15.290
88,45.961
89,12.825
90,32.240
91,27.905
92,13.821
93,15.168
94,15.232
95,29.324
96,14.022
97,17.520
98,12.612
99,25.276
100,12.349
101,15.972
102,43.477
103,25.766
104,91.341
105,32.223
106,43.623
107,17.127
108,13.772
109,45.354
110,15.011
111,19.777
112,42.131
113,54.935
114,53.775
115,35.468
116,17.182
117,36.489
118,12.937
119,12.962
120,19.119
121,29.181
122,32.726
123,41.286
124,34.993
125,30.341
126,13.131
127,15.831
128,26.795
129,12.945
130,31.214
131,35.751
132,36.372
133,40.741
134,14.016
135,22.339
136,27.613
137,24.936
138,14.739
139,28.502
140,38.663
141,41.825
142,14.949
143,27.793
144,36.033
145,37.073
146,13.677
147,26.504
148,13.601
149,13.815
150,40.364
151,12.203
152,13.791
153,12.809
154,39.255
155,44.243
156,36.692
157,17.470
158,36.717
159,24.395
160,13.103
161,27.113
162,51.227
163,15.851
164,40.046
165,29.031
166,22.625
167,53.886
168,22.479
169,35.938
170,37.082
171,47.355
172,28.082
173,51.838
174,36.927
175,18.878
176,40.397
177,41.020
178,26.847
179,36.600
180,40.120
181,36.417
182,43.005
183,30.430
184,22.973
185,28.294
186,30.276
187,43.228
188,12.781
189,14.331
190,39.285
191,17.506
192,14.723
193,58.841
194,40.730
195,31.806
196,36.366
197,38.290
198,12.236
199,15.552
200,28.422
201,13.881
202,53.877
203,13.190
204,23.843
205,27.172
206,13.334
207,14.577
208,17.541
209,27.811
210,28.406
211,18.486
212,28.716
213,16.797
214,28.363
215,30.755
216,13.472
217,35.285
218,36.327
219,15.249
220,29.423
221,23.558
222,17.429
223,12.837
224,42.778
225,30.955
226,16.160
227,27.511
228,25.173
229,35.546
230,37.200
231,25.477
232,25.607
233,27.605
234,43.893
235,13.658
236,36.908
237,27.138
238,22.596
239,29.014
240,13.794
241,12.824
242,14.830
243,26.407
244,15.140
245,35.025
246,35.794
247,12.808
248,38.709
249,21.188
250,30.190
251,42.572
252,13.574
253,38.026
254,35.919
255,16.910
256,17.531
257,46.468
258,12.987
259,45.290
260,17.224
261,13.810
262,13.564
263,25.191
264,33.499
265,48.426
266,31.713
267,39.047
268,20.553
269,28.202
270,35.758
271,14.994
272,27.731
273,46.174
274,16.594
275,14.680
276,16.210
277,27.240
278,14.551
279,13.403
280,13.680
281,30.254
282,13.621
283,13.547
284,19.690
285,32.306
286,13.847
287,15.994
288,34.731
289,25.622
290,39.982
291,33.221
292,40.834
293,13.301
294,36.073
295,14.322
296,35.331
297,34.097
298,13.983
299,16.322
300,53.545
301,19.949
302,36.168
303,27.613
304,50.613
305,24.061
306,32.775
307,45.809
308,35.376
309,26.962
310,37.448
311,14.899
312,20.811
313,17.136
314,24.349
315,29.577
316,15.887
317,35.354
318,28.903
319,24.052
320,26.558
321,35.156
322,50.677
323,34.520
324,18.939
325,23.058
326,13.243
327,18.351
328,35.679
329,29.763
330,45.530
331,25.731
332,13.604
333,13.212
334,17.177
335,16.541
336,12.339
337,34.489
338,25.806
339,26.855
340,35.307
341,43.736
342,31.604
343,34.698
344,16.571
345,26.376
346,29.175
347,16.719
348,24.014
349,12.331
350,13.277
351,16.279
352,18.726
353,15.880
354,16.932
355,13.273
356,42.192
357,13.139
358,14.311
359,33.608
360,13.128
361,16.637
362,31.007
363,15.367
364,27.469
365,28.671
366,12.544
367,34.037
368,41.566
369,33.299
370,27.239
371,14.300
372,23.593
373,18.622
374,20.426
375,15.593
376,33.404
377,25.677
378,33.847
379,13.250
380,25.302
381,17.188
382,25.795
383,27.328
384,15.969
385,16.025
386,31.636
387,30.880
388,14.680
389,32.885
390,38.824
391,30.064
392,36.654
393,13.581
394,21.168
395,14.989
396,32.061
397,25.046
398,14.689
399,16.846
400,29.660
401,15.947
402,15.634
403,17.596
404,36.738
405,65.010
406,14.111
407,36.322
408,26.928
409,19.832
410,30.400
411,16.305
412,37.041
413,27.647
414,14.282
415,25.584
416,39.838
417,35.670
418,16.201
419,14.274
420,14.224
421,29.424
422,25.764
423,13.808
424,30.923
425,31.000
426,15.553
427,40.334
428,12.150
429,38.045
430,25.737
431,13.983
432,14.149
433,36.134
434,16.721
435,12.603
436,17.528
437,48.544
438,38.538
439,38.808
440,13.861
441,29.465
442,39.798
443,14.524
444,44.552
445,17.462
446,46.293
447,13.643
448,32.821
449,28.307
450,33.217
451,36.978
452,30.231
453,25.878
454,35.194
455,12.439
456,13.050
457,13.186
458,44.956
459,12.781
460,43.955
461,14.838
462,15.490
463,12.763
464,31.607
465,12.245
466,33.321
467,27.982
468,16.460
469,39.608
470,12.622
471,14.938
472,20.238
473,19.130
474,12.439
475,15.071
476,40.704
477,24.044
478,23.821
479,23.276
480,14.995
481,43.047
482,15.968
483,25.937
484,50.258
485,14.188
486,33.380
487,33.189
488,13.387
489,16.648
490,24.977
491,17.589
492,16.873
493,35.084
494,50.231
495,17.186
496,35.077
497,47.476
498,12.800
499,32.185
500,20.812
501,22.236
502,12.056
503,40.936
504,28.790
505,50.913
506,42.357
507,15.673
508,15.423
509,14.173
510,28.244
511,22.079
512,38.457
513,39.687
514,12.867
515,12.699
516,40.962
517,14.746
518,28.418
519,37.618
520,25.209
521,15.621
522,21.530
523,13.785
524,23.087
525,58.664
526,32.658
527,40.671
528,28.905
529,17.127
530,37.321
531,41.218
532,32.384
533,18.089
534,30.106
535,36.442
536,43.303
537,28.144
538,48.291
539,15.844
540,16.986
541,22.590
542,21.933
543,25.422
544,39.490
545,36.896
546,21.079
547,39.954
548,26.695
549,12.747
550,23.957
551,16.051
552,37.418
553,72.834
554,43.981
555,31.541
556,13.765
557,18.404
558,25.535
559,19.912
560,15.781
561,38.717
562,12.525
563,49.009
564,12.776
565,17.554
566,37.830
567,12.400
568,13.774
569,33.201
570,19.131
571,39.799
572,29.860
573,31.661
574,38.983
575,34.875
576,25.079
577,51.517
578,26.978
579,18.337
580,14.777
581,49.742
582,19.138
583,45.071
584,16.283
585,29.486
586,28.021
587,12.472
588,14.077
589,13.879
590,27.839
591,17.274
592,13.738
593,17.137
594,40.188
595,27.163
596,22.359
597,14.803
598,40.306
599,23.137
600,15.296
601,41.284
602,25.375
603,52.094
604,12.744
605,14.105
606,56.430
607,25.958
608,33.388
609,38.431
610,13.921
611,16.757
612,30.046
613,13.644
614,36.686
615,25.885
616,36.803
617,13.549
618,12.238
619,50.292
620,20.591
621,15.127
622,13.906
623,17.154
624,26.659
625,14.932
626,49.080
627,54.773
628,13.804
629,16.569
630,41.238
631,13.757
632,40.229
633,27.041
634,15.981
635,17.734
636,33.161
637,43.659
638,31.534
639,15.271
640,46.793
641,41.463
642,13.930
643,29.091
644,40.587
645,23.784
646,23.474
647,14.382
648,15.037
649,46.876
650,28.934
651,24.731
652,24.955
653,13.755
654,14.917
655,18.010
656,29.681
657,16.247
658,27.260
659,13.007
660,34.887
661,15.562
662,39.625
663,37.853
664,38.532
665,12.509
666,49.711
667,34.789
668,21.184
669,29.493
670,21.897
671,49.337
672,23.487
673,37.675
674,25.963
675,19.575
676,35.585
677,16.600
678,28.695
679,36.202
680,13.750
681,31.495
682,40.053
683,40.457
684,36.505
685,25.710
686,38.383
687,34.807
688,50.742
689,24.518
690,51.092
691,19.645
692,18.988
693,32.794
694,31.653
