# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 22.749,10.190,195.032,50.361,25000
sample_index,rtt_ms
0,19.359
1,13.672
2,49.792
3,15.046
4,15.731
5,15.861
6,19.160
7,22.677
8,46.903
9,14.159
10,29.436
11,38.450
12,33.348
13,13.496
14,22.774
15,14.956
16,16.367
17,25.913
18,26.493
19,52.057
20,39.346
21,17.594
22,24.139
23,14.606
24,12.843
25,14.890
26,18.405
27,17.922
28,47.875
29,16.160
30,26.915
31,37.510
32,14.092
33,37.576
34,20.513
35,15.659
36,24.483
37,28.955
38,13.855
39,16.830
40,41.674
41,14.222
42,13.695
43,40.346
44,32.888
45,25.709
46,14.075
47,14.575
48,13.308
49,48.148
50,14.382
51,14.960
52,19.133
53,36.167
54,36.347
55,14.011
56,33.217
57,26.997
58,40.016
59,19.035
60,16.697
61,16.062
62,14.776
63,23.168
64,14.242
65,15.035
66,28.541
67,15.756
68,15.631
69,36.111
70,15.979
71,15.017
72,35.524
73,14.594
74,16.327
75,14.491
76,25.209
77,18.538
78,30.300
79,17.899
80,13.349
81,12.980
82,26.008
83,15.398
84,15.170
85,26.939
86,16.729
87,13.009
88,16.139
89,26.853
90,13.896
91,35.862
92,32.624
93,33.991
94,28.386
95,24.787
96,14.963
97,24.743
98,30.959
99,15.167
100,43.109
101,52.285
102,37.509
103,13.310
104,27.901
105,33.646
106,12.336
107,25.024
108,14.073
109,29.454
110,27.042
111,16.892
112,13.918
113,24.691
114,17.410
115,14.353
116,14.289
117,23.940
118,14.585
119,29.697
120,22.103
121,23.538
122,17.205
123,16.127
124,13.324
125,14.943
126,14.549
127,20.595
128,28.727
129,36.510
130,13.059
131,16.032
132,12.769
133,21.270
134,13.735
135,17.436
136,43.686
137,14.133
138,13.555
139,24.539
140,15.011
141,13.703
142,14.561
143,37.482
144,12.982
145,12.857
146,26.293
147,14.799
148,12.421
149,16.780
150,44.307
151,16.325
152,31.786
153,15.753
154,12.887
155,26.838
156,14.467
157,26.313
158,23.408
159,28.820
160,16.308
161,25.899
162,17.572
163,19.043
164,29.753
165,15.706
166,13.155
167,21.693
168,39.629
169,35.641
170,30.832
171,15.559
172,33.227
173,13.311
174,21.327
175,12.649
176,19.865
177,20.849
178,29.898
179,46.824
180,14.326
181,23.071
182,13.533
183,26.259
184,26.772
185,26.316
186,13.448
187,28.840
188,31.470
189,50.112
190,18.757
191,37.087
192,37.680
193,19.343
194,28.480
195,13.494
196,14.392
197,38.643
198,34.105
199,12.677
200,18.752
201,13.148
202,14.051
203,35.651
204,16.456
205,16.104
206,37.271
207,20.672
208,13.411
209,35.081
210,18.442
211,12.938
212,13.044
213,21.960
214,13.635
215,48.462
216,15.803
217,16.358
218,17.561
219,24.346
220,12.545
221,14.579
222,33.491
223,16.972
224,12.772
225,23.091
226,19.294
227,13.961
228,12.950
229,25.110
230,15.090
231,13.961
232,13.257
233,20.357
234,16.607
235,13.956
236,21.640
237,16.978
238,13.115
239,19.169
240,20.945
241,14.242
242,12.837
243,26.693
244,16.648
245,16.945
246,15.617
247,22.730
248,38.426
249,39.407
250,26.887
251,41.853
252,18.766
253,13.832
