# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 27.587,11.575,109.714,55.546,24997
sample_index,rtt_ms
0,17.115
1,14.658
2,12.847
3,39.618
4,14.042
5,47.002
6,27.688
7,15.292
8,35.269
9,13.368
10,14.466
11,37.171
12,15.080
13,33.937
14,22.565
15,27.621
16,19.243
17,22.851
18,14.474
19,28.652
20,24.230
21,29.469
22,13.730
23,36.915
24,14.728
25,33.702
26,22.275
27,13.449
28,12.571
29,14.746
30,17.934
31,26.365
32,17.150
33,31.631
34,13.618
35,32.490
36,20.436
37,34.619
38,15.467
39,21.375
40,13.433
41,13.345
42,40.046
43,15.853
44,42.784
45,12.983
46,13.784
47,15.024
48,29.984
49,14.497
50,13.792
51,26.710
52,17.641
53,14.253
54,16.998
55,33.053
56,14.122
57,13.410
58,26.870
59,15.802
60,49.953
61,19.216
62,26.602
63,25.840
64,14.340
65,13.086
66,13.558
67,19.938
68,14.199
69,12.468
70,38.252
71,36.435
72,13.164
73,22.765
74,18.821
75,25.663
76,14.775
77,19.074
78,25.442
79,16.951
80,16.055
81,20.456
82,13.469
83,48.044
84,19.135
85,38.740
86,15.237
87,13.549
88,35.126
89,13.561
90,13.570
91,34.392
92,13.743
93,14.291
94,31.051
95,27.859
96,13.144
97,15.351
98,14.650
99,12.520
100,26.546
101,15.029
102,14.674
103,41.185
104,12.600
105,16.668
106,35.522
107,14.017
108,15.716
109,13.266
110,47.170
111,17.412
112,14.059
113,21.283
114,15.928
115,12.688
116,15.792
117,21.903
118,14.026
119,14.144
120,23.529
121,13.886
122,15.928
123,13.584
124,38.828
125,17.354
126,16.049
127,42.499
128,16.014
129,44.395
130,12.513
131,19.123
132,25.684
133,14.002
134,34.373
135,40.532
136,13.904
137,14.483
138,21.561
139,18.542
140,21.887
141,37.077
142,12.510
143,15.462
144,15.125
145,32.522
146,12.445
147,32.108
148,32.908
149,13.275
150,40.265
151,39.473
152,16.014
153,41.277
154,12.276
155,14.709
156,25.911
157,13.477
158,34.825
159,22.415
160,37.369
161,13.449
162,23.723
163,12.427
164,13.394
165,32.972
166,15.438
167,12.182
168,13.274
169,40.212
170,13.975
171,13.752
172,30.490
173,28.729
174,17.829
175,19.493
176,14.662
177,13.436
178,22.801
179,14.249
180,14.129
181,14.684
182,27.654
183,14.096
184,14.436
185,35.266
186,12.683
187,12.230
188,44.642
189,51.338
190,26.472
191,14.098
192,15.886
193,15.853
194,39.981
195,14.158
196,13.295
197,31.272
198,12.847
199,15.853
200,50.136
201,15.605
202,35.427
203,24.062
204,40.024
205,21.485
206,12.608
207,23.821
208,27.633
209,15.328
210,12.855
211,38.823
212,14.391
213,15.386
214,13.073
215,26.344
216,15.307
217,12.598
218,24.751
219,18.427
220,14.778
221,43.027
222,22.962
223,16.017
224,30.825
225,17.433
226,33.318
227,19.852
228,17.687
229,29.617
230,18.026
231,39.953
232,47.304
233,38.946
234,25.669
235,14.234
236,24.462
237,15.195
238,15.880
239,13.106
240,25.951
241,35.241
242,45.005
243,13.917
244,14.168
245,42.158
246,43.014
247,28.887
248,35.620
249,39.273
250,13.764
251,13.824
252,13.678
253,40.091
254,13.601
255,13.763
256,22.902
257,14.860
258,29.716
259,29.082
260,33.359
261,13.193
262,18.380
263,14.209
264,12.933
265,23.680
266,17.875
267,29.521
268,14.100
269,24.643
270,13.226
271,46.667
272,17.815
273,23.933
274,40.166
275,13.462
276,15.425
277,33.659
278,31.697
279,14.159
280,42.021
281,36.238
282,23.327
283,16.100
284,16.813
285,12.728
286,39.920
287,12.548
288,13.417
289,24.932
290,13.346
291,14.166
292,15.761
293,31.176
294,12.489
295,33.573
296,23.278
297,14.017
298,15.371
299,37.749
300,13.053
301,14.020
302,12.635
303,30.315
304,14.391
305,13.690
306,12.347
307,21.919
308,38.182
309,13.419
310,22.759
311,12.253
312,17.364
313,25.246
314,14.721
315,15.306
316,14.320
317,50.838
318,14.967
319,14.563
320,21.234
321,31.255
322,15.681
323,27.804
324,33.825
325,39.770
326,30.964
327,47.674
328,13.574
329,15.521
330,42.057
331,13.764
332,26.486
333,25.316
334,16.914
335,14.011
336,13.677
337,29.643
338,34.352
339,32.300
340,14.495
341,12.624
342,26.653
343,17.634
344,24.588
345,49.144
346,14.331
