# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 25.809,11.609,101.171,55.359,10000
sample_index,rtt_ms
0,14.460
1,34.720
2,37.426
3,16.812
4,22.537
5,13.718
6,17.471
7,14.654
8,25.403
9,41.268
10,12.565
11,26.259
12,24.825
13,12.441
14,12.955
15,47.447
16,27.479
17,21.501
18,15.041
19,14.626
20,37.206
21,21.196
22,34.895
23,13.922
24,26.582
25,13.619
26,34.734
27,25.114
28,34.340
29,13.269
30,48.613
31,34.020
32,37.479
33,25.429
34,49.799
35,22.801
36,15.121
37,31.319
38,30.113
39,36.456
40,28.989
41,47.348
42,14.230
43,31.866
44,37.511
45,37.104
46,47.484
47,39.584
48,39.814
49,39.610
50,22.629
51,13.163
52,29.916
53,26.769
54,32.859
55,15.672
56,28.638
57,14.448
58,28.827
59,27.882
60,28.630
61,51.461
62,40.107
63,14.943
64,43.961
65,14.435
66,27.273
67,14.173
68,14.626
69,51.502
70,18.372
71,14.296
72,43.848
73,38.659
74,31.114
75,22.943
76,39.386
77,22.227
78,22.803
79,29.118
80,27.066
81,13.210
82,29.522
83,13.006
84,34.535
85,29.427
86,12.215
87,77.491
88,17.493
89,39.111
90,18.729
91,13.094
92,13.146
93,15.027
94,30.936
95,15.177
96,33.813
97,20.822
98,14.548
99,14.935
100,37.774
101,33.745
102,15.412
103,27.125
104,14.194
105,13.306
106,42.113
107,37.950
108,37.190
109,15.601
110,24.910
111,31.039
112,20.759
113,32.825
114,24.573
115,13.782
116,14.510
117,42.180
118,13.256
119,12.521
120,45.316
121,37.238
122,34.090
123,13.282
124,20.013
125,28.658
126,14.409
127,35.709
128,36.401
129,22.160
130,23.457
131,39.693
132,13.471
133,29.093
134,33.907
135,44.276
136,15.242
137,40.956
138,27.766
139,16.117
140,39.928
141,19.925
142,17.577
143,17.088
144,24.455
145,14.898
146,14.413
147,38.231
148,37.749
149,19.047
150,43.468
151,14.069
152,14.216
153,24.314
154,13.319
155,14.360
156,15.576
157,29.948
158,34.682
159,14.804
160,18.633
161,14.989
162,23.422
163,51.480
164,13.235
165,14.366
166,27.658
167,14.002
168,37.512
169,37.168
170,16.236
171,15.028
172,31.168
173,16.816
174,16.381
175,14.138
176,21.322
177,14.290
178,30.937
179,38.562
180,12.696
181,13.203
182,27.912
183,15.870
184,14.571
185,15.959
186,29.334
187,18.576
