# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 23.995,9.880,53.398,47.162,172
sample_index,rtt_ms
0,13.786
1,14.070
2,36.962
3,23.711
4,49.573
5,17.773
6,40.537
7,39.959
8,16.073
9,39.591
10,30.357
11,15.707
12,44.073
13,32.555
14,12.239
15,18.254
16,28.324
17,14.289
18,42.892
19,22.194
20,43.279
21,16.185
22,15.527
23,18.005
24,43.402
25,33.601
26,12.667
27,16.943
28,28.573
29,29.806
30,17.028
31,17.946
32,27.602
33,19.209
34,35.568
35,29.158
36,15.601
37,46.177
38,15.506
39,38.136
40,18.627
41,41.321
42,44.596
43,15.461
44,17.533
45,16.279
46,26.208
47,19.603
48,15.120
49,17.392
50,26.930
51,18.255
52,18.846
53,16.908
54,12.406
55,25.223
56,17.372
57,19.626
58,15.676
59,15.541
60,28.838
61,32.926
62,19.034
63,42.723
64,27.763
65,13.832
66,14.486
67,42.611
68,18.679
69,25.511
70,44.327
71,19.405
72,16.817
73,16.443
74,34.496
75,16.869
76,23.000
77,17.736
78,13.955
79,45.296
80,15.653
81,18.448
82,35.757
83,15.762
84,40.757
85,40.558
86,16.961
87,21.387
88,26.562
89,28.684
90,14.884
91,18.678
92,16.895
93,18.529
94,28.191
95,19.615
96,40.810
97,14.941
98,28.245
99,27.683
100,15.790
101,38.754
102,13.346
103,20.568
104,15.848
105,28.688
106,44.804
107,15.950
108,16.876
109,40.650
110,30.198
111,16.769
112,15.835
113,37.588
114,18.085
115,15.736
116,16.867
117,15.900
118,27.107
119,18.550
120,18.860
121,15.928
122,15.481
123,23.211
124,16.507
125,18.816
126,33.736
127,28.374
128,17.731
129,16.807
130,17.605
131,28.359
132,35.345
133,17.703
134,18.280
135,25.892
136,15.257
137,19.811
138,14.554
139,14.954
140,25.079
141,15.075
142,21.744
143,14.804
144,16.266
145,23.851
146,14.636
147,21.824
148,14.400
149,15.606
150,27.422
151,16.590
152,41.555
153,13.796
154,34.683
155,39.532
156,53.398
157,13.561
158,29.687
159,16.008
160,25.619
161,13.922
162,19.372
163,37.695
164,23.597
165,34.234
166,26.190
167,17.525
168,26.547
169,17.719
170,18.491
171,24.122
