# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 24.171,10.848,64.874,60.460,172
sample_index,rtt_ms
0,44.617
1,40.149
2,27.523
3,28.842
4,26.652
5,34.448
6,17.554
7,13.644
8,26.318
9,20.572
10,33.614
11,13.033
12,26.405
13,21.751
14,35.632
15,39.641
16,37.269
17,28.603
18,64.874
19,15.250
20,16.590
21,26.488
22,23.166
23,17.156
24,15.784
25,23.813
26,14.420
27,20.867
28,22.704
29,17.182
30,41.686
31,40.782
32,62.653
33,14.506
34,19.530
35,35.627
36,17.975
37,17.637
38,34.666
39,19.086
40,39.192
41,15.897
42,14.915
43,25.541
44,17.607
45,15.432
46,16.494
47,39.981
48,58.265
49,25.480
50,16.674
51,17.615
52,19.387
53,17.664
54,47.623
55,19.016
56,15.330
57,15.804
58,26.522
59,34.111
60,15.202
61,15.572
62,25.592
63,22.655
64,27.852
65,39.253
66,16.567
67,31.035
68,21.727
69,40.186
70,17.500
71,16.851
72,17.410
73,45.637
74,19.595
75,14.047
76,27.544
77,15.584
78,35.484
79,18.005
80,55.422
81,18.787
82,14.961
83,15.903
84,24.691
85,20.934
86,19.738
87,15.894
88,25.319
89,15.631
90,16.163
91,13.302
92,30.324
93,16.188
94,16.219
95,14.576
96,16.100
97,25.970
98,17.968
99,17.932
100,14.942
101,32.341
102,17.102
103,17.375
104,16.473
105,13.989
106,37.176
107,15.074
108,17.926
109,14.826
110,25.741
111,18.145
112,17.789
113,13.895
114,35.904
115,18.078
116,16.998
117,27.779
118,24.969
119,37.457
120,18.346
121,14.725
122,24.556
123,18.301
124,19.491
125,16.344
126,21.055
127,15.008
128,39.915
129,16.645
130,25.666
131,17.419
132,20.432
133,15.958
134,13.086
135,43.312
136,19.499
137,17.040
138,25.635
139,16.129
140,43.427
141,14.967
142,39.519
143,14.859
144,17.416
145,42.286
146,17.764
147,16.911
148,18.949
149,13.661
150,59.565
151,21.122
152,31.157
153,39.965
154,53.290
155,19.395
156,19.775
157,19.000
158,13.355
159,28.507
160,20.835
161,21.609
162,13.798
163,28.086
164,18.509
165,22.836
166,14.373
167,24.932
168,19.429
169,33.905
170,19.191
171,29.910
