# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 29.781,12.594,141.187,61.770,10000
sample_index,rtt_ms
0,20.460
1,23.301
2,14.116
3,16.372
4,45.693
5,26.536
6,38.065
7,22.405
8,18.973
9,34.550
10,34.420
11,13.822
12,35.067
13,44.802
14,32.026
15,36.954
16,34.646
17,34.057
18,17.737
19,23.582
20,39.163
21,27.783
22,38.535
23,38.981
24,15.589
25,13.575
26,13.394
27,32.248
28,14.816
29,15.684
30,13.529
31,34.331
32,29.106
33,45.123
34,12.758
35,33.332
36,37.410
37,12.771
38,34.632
39,31.842
40,30.402
41,47.858
42,30.917
43,37.377
44,23.018
45,34.050
46,50.377
47,23.337
48,16.215
49,28.358
50,29.408
51,40.245
52,39.130
53,45.782
54,14.143
55,20.460
56,31.393
57,28.602
58,25.110
59,14.059
60,17.148
61,42.732
62,31.966
63,49.214
64,12.904
65,12.347
66,16.880
67,15.511
68,22.329
69,34.649
70,36.876
71,26.138
72,40.742
73,31.019
74,27.666
75,31.775
76,18.030
77,36.552
78,38.450
79,27.062
80,36.561
81,12.552
82,14.723
83,31.236
84,14.688
85,28.654
86,29.698
87,31.784
88,19.062
89,67.260
90,38.105
91,29.268
92,14.973
93,17.621
94,31.694
95,28.520
96,12.859
97,39.253
98,14.051
99,30.277
100,21.273
101,32.140
102,40.655
103,19.179
104,16.625
105,28.653
106,30.180
107,51.524
108,12.336
109,22.425
110,25.689
111,40.250
112,13.181
113,15.838
114,40.015
115,13.266
116,15.123
117,17.321
118,28.901
119,13.748
120,17.678
121,50.426
122,48.308
123,14.088
124,16.552
125,34.773
126,40.544
127,16.858
128,57.094
129,18.406
130,14.735
131,30.965
132,14.439
133,29.641
134,33.469
135,32.709
136,33.242
137,26.306
138,26.893
139,12.692
140,32.442
141,27.117
142,37.440
143,27.976
144,35.247
145,51.404
146,24.840
147,26.030
148,29.947
149,33.262
150,45.959
151,23.578
152,17.009
153,29.720
154,24.160
155,16.323
156,46.119
157,38.472
158,29.970
159,30.661
160,39.699
161,13.913
162,31.812
163,28.626
164,17.248
165,35.205
166,32.493
167,42.840
168,47.221
169,12.568
170,14.752
171,35.941
172,16.648
173,17.295
174,31.552
175,15.946
176,14.416
177,41.235
178,15.909
179,43.245
180,36.220
181,41.130
182,29.581
183,30.899
184,35.106
185,12.693
186,19.564
187,47.043
188,33.292
189,38.833
190,14.120
191,50.602
192,42.012
193,25.149
194,38.102
195,16.108
196,42.293
197,44.421
198,13.607
199,13.923
200,34.452
201,25.404
202,39.410
203,48.943
204,13.304
205,12.873
206,38.832
207,36.864
208,43.165
209,38.782
210,25.523
211,35.826
212,47.140
213,14.904
214,43.229
215,37.068
