# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 29.460,12.067,144.450,56.818,10000
sample_index,rtt_ms
0,15.705
1,29.471
2,36.592
3,63.287
4,50.022
5,13.979
6,18.075
7,13.425
8,49.641
9,17.709
10,37.484
11,14.487
12,36.101
13,27.144
14,36.957
15,14.773
16,30.941
17,23.179
18,13.182
19,45.895
20,13.067
21,15.604
22,45.471
23,15.800
24,29.161
25,38.495
26,23.725
27,16.501
28,38.817
29,13.493
30,14.006
31,18.253
32,25.883
33,22.735
34,39.691
35,37.147
36,14.342
37,14.559
38,30.777
39,13.354
40,20.588
41,45.719
42,16.054
43,35.041
44,36.651
45,38.721
46,16.085
47,49.893
48,54.172
49,45.163
50,48.406
51,14.070
52,31.719
53,38.951
54,13.854
55,46.125
56,29.423
57,17.014
58,37.841
59,13.018
60,16.885
61,42.719
62,22.815
63,49.831
64,13.231
65,27.648
66,45.901
67,31.068
68,34.110
69,38.998
70,29.797
71,34.846
72,15.540
73,35.160
74,12.786
75,31.618
76,43.701
77,37.208
78,39.917
79,22.635
80,47.458
81,32.974
82,15.328
83,30.659
84,43.796
85,14.377
86,41.862
87,13.952
88,14.762
89,65.834
90,15.937
91,14.008
92,29.180
93,13.132
94,16.323
95,32.187
96,13.158
97,12.710
98,72.577
99,45.280
100,13.796
101,37.300
102,36.596
103,15.172
104,30.006
105,19.049
106,30.063
107,26.821
108,16.991
109,34.184
110,50.440
111,50.948
112,24.776
113,16.087
114,39.043
115,32.061
116,47.738
117,13.945
118,25.851
119,13.871
120,58.197
121,18.716
122,36.688
123,20.467
124,18.376
125,29.860
126,14.886
127,27.534
128,38.974
129,35.976
130,38.946
131,25.558
132,55.879
133,13.663
134,15.084
135,53.086
136,20.265
137,38.644
138,25.981
139,26.665
140,17.777
141,28.162
142,25.059
143,26.561
144,20.548
145,37.516
146,13.508
147,28.083
148,15.465
149,29.639
150,32.315
151,12.976
152,15.840
153,34.453
154,14.308
155,15.493
156,37.890
157,35.739
158,25.152
159,27.259
160,15.544
161,13.826
162,44.392
163,33.968
164,35.309
165,16.628
166,29.946
167,34.626
168,29.225
169,50.115
170,36.088
171,19.910
172,18.438
173,36.319
174,38.955
175,41.998
176,49.768
177,13.833
178,13.022
179,44.459
180,24.485
181,17.667
182,43.958
183,24.758
184,30.228
185,32.497
186,23.803
187,42.486
188,39.980
189,39.304
190,16.786
191,26.186
192,19.733
193,28.609
194,48.606
195,35.088
196,42.213
197,30.030
198,45.482
199,32.892
200,46.471
201,29.919
202,19.776
203,35.712
204,34.651
205,33.172
206,14.575
207,16.161
208,34.314
209,16.025
210,19.821
211,32.811
212,14.717
213,20.979
214,12.948
215,31.096
216,42.340
217,14.240
218,45.330
219,22.842
220,44.607
221,27.089
222,42.916
223,28.156
224,23.690
225,42.248
226,38.313
227,25.928
228,14.814
229,24.792
230,33.038
231,30.471
232,50.619
233,15.455
234,34.080
235,29.275
236,34.817
237,55.124
238,26.601
239,28.703
240,18.486
241,35.627
242,20.274
243,42.342
244,29.372
245,31.010
246,35.164
247,45.171
248,33.895
249,50.263
250,13.008
251,34.215
252,36.217
253,34.573
254,23.678
255,15.045
256,13.764
257,16.890
258,37.067
259,23.428
260,23.516
261,39.103
262,27.290
263,16.104
264,26.897
265,22.922
266,24.987
267,31.183
268,33.943
269,51.871
270,26.915
271,24.186
272,27.968
273,16.268
274,26.609
275,37.296
276,28.759
277,17.064
278,36.858
279,30.740
280,52.770
281,25.587
282,24.947
283,37.349
284,23.199
285,17.309
286,43.870
287,39.042
288,14.841
289,33.316
290,15.557
291,12.958
292,38.202
293,40.044
294,17.703
295,18.469
296,29.060
297,16.232
298,34.004
299,12.929
300,37.289
301,51.009
302,24.277
303,40.239
304,41.383
305,20.631
306,23.749
307,40.926
308,40.389
309,30.335
310,14.718
311,35.891
312,38.337
313,45.076
314,17.818
315,37.961
316,27.807
317,32.201
318,43.228
319,27.876
320,17.797
321,23.116
322,29.154
323,25.390
324,27.290
325,35.663
326,13.927
327,49.924
328,28.594
329,25.942
330,16.744
331,29.260
332,41.286
333,23.754
334,15.545
335,36.771
336,18.951
337,18.102
338,19.211
339,47.246
340,25.305
341,56.640
342,20.874
343,29.206
344,34.226
345,31.260
346,42.872
347,27.633
348,31.358
349,42.143
350,22.451
351,17.055
352,26.062
353,20.138
354,24.245
355,27.525
356,15.497
357,31.549
358,12.744
359,15.208
360,36.657
361,30.531
362,12.927
363,27.230
364,15.624
365,13.066
366,53.011
367,18.042
368,29.812
369,40.318
370,15.616
371,16.257
372,25.167
373,33.744
374,15.376
375,30.734
376,15.820
377,12.837
378,31.658
379,33.140
380,23.593
381,14.116
382,17.257
383,26.895
384,50.467
385,17.020
386,13.153
387,53.628
388,34.936
389,24.773
390,37.149
391,16.694
392,34.639
393,34.662
394,55.238
395,12.359
396,14.021
397,25.748
398,39.729
399,27.532
400,24.061
401,35.829
402,14.484
403,34.770
404,13.157
405,32.362
406,37.386
407,19.056
408,46.031
409,31.546
410,51.135
411,14.894
412,18.120
413,30.519
414,32.059
415,14.987
416,25.892
417,38.094
418,47.903
419,25.903
420,38.074
421,24.326
422,26.153
423,37.952
424,23.738
425,16.077
426,34.618
427,35.337
428,27.527
429,17.728
430,12.886
431,18.069
432,13.988
433,28.192
434,33.462
435,51.943
436,27.758
437,18.048
438,35.024
439,37.292
440,24.676
441,29.081
442,13.324
443,45.783
444,29.105
445,52.511
446,16.071
447,32.800
448,32.393
449,14.382
450,27.028
451,47.490
452,12.725
453,12.701
454,45.177
455,30.752
456,20.293
457,24.246
458,15.304
459,14.155
460,36.187
461,25.207
462,15.038
463,49.177
464,24.983
465,39.046
466,25.896
467,12.154
468,52.689
469,12.847
470,12.594
471,45.435
472,24.794
473,46.106
474,35.690
475,38.863
476,24.185
477,15.424
478,33.380
479,15.999
480,43.972
481,25.516
482,35.443
483,27.828
484,16.364
485,36.536
486,32.961
487,13.963
488,28.918
489,30.193
490,16.261
491,34.160
492,14.934
493,30.524
494,34.344
495,13.237
496,13.513
497,46.417
498,24.617
499,23.212
500,40.677
501,17.591
502,16.179
503,41.181
504,12.569
505,13.777
506,31.394
507,38.281
508,52.520
509,24.779
510,15.432
511,41.145
512,13.256
513,17.047
514,46.713
515,14.546
516,15.196
517,52.460
518,16.662
519,45.754
520,28.923
521,26.652
522,31.709
523,28.843
524,24.830
525,39.938
526,22.436
527,25.240
528,23.056
529,12.425
530,36.429
531,30.347
532,15.042
533,26.072
534,18.574
535,20.443
536,40.788
537,41.878
538,12.809
539,48.073
540,13.031
541,27.608
542,14.057
543,27.175
544,12.747
545,16.086
546,44.691
547,29.944
548,37.221
549,39.626
550,37.219
551,32.050
552,31.990
553,25.915
554,27.096
555,37.265
556,36.924
557,16.825
558,22.522
559,14.075
560,25.554
561,20.033
562,35.555
563,25.990
564,36.968
565,18.378
566,26.858
567,29.092
568,17.462
569,47.244
570,15.876
571,45.277
572,23.649
573,23.842
574,37.821
575,26.105
576,25.516
577,18.792
578,12.954
579,16.998
580,12.735
581,26.073
582,23.957
583,13.126
584,45.114
585,12.930
586,30.631
587,33.171
588,14.119
589,37.851
590,20.283
591,25.905
592,16.088
593,36.039
594,34.007
595,28.288
596,35.203
597,13.204
598,48.060
599,36.666
600,40.800
601,12.997
602,19.145
603,42.342
604,39.116
605,39.767
606,17.089
607,28.086
608,26.506
609,18.244
610,25.120
611,12.954
612,12.009
613,16.596
614,20.566
615,32.054
616,50.035
617,27.411
618,13.680
619,41.307
620,28.954
621,15.159
622,43.755
623,12.790
624,13.067
625,47.821
626,20.959
627,14.760
628,30.704
629,35.683
630,45.169
631,51.037
632,24.700
633,31.968
634,13.382
635,35.111
636,30.072
637,16.221
638,26.827
639,17.465
640,19.337
641,34.028
642,15.250
643,27.174
644,12.802
645,44.890
646,15.740
647,13.885
648,31.060
649,56.350
650,50.875
651,27.995
652,15.796
653,47.084
654,35.538
655,25.230
656,38.643
657,23.855
658,39.183
659,27.797
660,46.973
661,29.489
662,17.201
663,24.118
664,25.819
665,16.841
666,30.127
667,15.033
668,36.699
669,38.702
670,24.871
671,50.033
672,30.160
673,23.184
674,25.519
675,40.298
676,29.363
677,28.983
678,25.656
679,43.257
680,27.030
681,41.551
682,13.603
683,21.232
684,26.877
685,39.296
686,42.621
687,34.940
688,29.053
689,34.635
690,52.950
691,25.187
692,16.716
693,12.076
694,44.148
695,26.280
696,46.736
697,15.381
698,50.921
699,38.251
700,37.868
701,24.978
702,27.556
703,35.214
704,15.929
705,47.381
706,37.852
707,37.910
708,23.939
709,15.820
710,34.395
711,45.539
712,24.943
713,26.102
714,24.952
715,26.397
716,43.356
717,22.113
718,12.920
719,30.211
720,20.657
721,22.498
722,14.836
723,41.661
724,46.861
725,24.495
726,27.111
727,12.447
728,37.913
729,36.761
730,38.817
731,35.915
732,12.712
733,22.724
734,47.812
735,31.631
736,28.484
737,40.697
738,54.306
739,38.169
740,50.772
741,28.077
742,13.122
743,18.070
744,33.221
745,12.844
746,56.505
747,26.003
748,30.464
749,45.940
750,23.773
751,52.995
752,18.527
753,28.350
754,23.386
755,25.071
756,40.508
757,40.003
758,41.686
759,14.738
760,30.964
761,25.527
762,37.184
763,40.208
764,16.450
765,32.757
766,13.263
767,37.110
768,46.920
769,12.966
770,25.564
771,36.185
772,29.459
773,45.462
774,37.603
775,43.537
776,27.543
777,24.455
778,36.079
779,27.959
780,53.789
781,14.346
782,35.172
783,31.111
784,29.076
785,38.739
786,39.076
787,14.924
788,33.888
789,24.325
790,16.376
791,15.554
792,27.664
793,39.926
794,43.048
795,39.323
796,38.012
797,39.784
798,41.256
799,13.062
800,34.879
801,39.179
802,23.826
803,39.271
804,26.173
805,16.672
806,47.645
807,14.784
808,42.806
809,19.914
810,12.548
811,12.718
812,45.941
813,40.945
814,16.769
815,26.344
816,28.369
817,29.234
818,13.185
819,35.490
820,16.486
821,15.760
822,31.269
823,16.252
824,28.923
825,14.228
826,35.240
827,13.220
828,33.665
829,42.274
830,13.618
831,49.437
832,15.011
833,36.791
834,43.430
835,39.960
836,39.475
837,37.814
838,31.064
839,15.787
840,12.743
841,51.007
842,13.661
843,35.904
844,37.021
845,36.462
846,41.014
847,14.388
848,45.641
849,14.347
850,39.502
851,27.910
852,37.046
853,13.678
854,26.324
855,30.123
856,51.883
857,26.519
858,55.684
859,36.956
860,15.727
861,33.278
862,16.012
863,45.256
864,18.579
865,15.288
866,48.606
867,28.694
868,14.217
869,33.435
870,28.835
871,34.694
872,13.921
873,15.172
874,26.781
875,17.725
876,39.890
877,32.399
878,39.266
879,39.960
880,29.596
881,24.246
882,38.754
883,12.319
884,45.965
885,16.611
886,42.122
887,29.538
888,48.846
889,49.751
890,40.429
891,35.036
892,56.482
893,35.675
894,40.400
895,30.758
896,18.434
897,38.673
898,28.239
899,31.173
900,25.287
901,37.786
902,26.332
903,37.184
904,39.045
905,13.667
906,29.442
907,30.739
908,27.341
909,14.584
910,46.694
911,24.429
912,34.909
913,18.954
914,35.585
915,41.024
916,33.264
917,30.584
918,33.062
919,39.421
920,13.818
921,13.727
922,17.315
923,21.106
924,19.062
925,13.273
926,43.906
927,27.088
928,16.993
929,29.957
930,37.256
931,39.152
932,24.819
933,13.491
934,48.449
935,27.542
936,49.098
937,25.778
938,14.141
939,18.943
940,23.917
941,25.793
942,14.734
943,38.453
944,37.779
945,27.071
946,34.557
947,38.327
948,26.584
949,12.324
950,34.144
951,24.002
952,16.469
953,40.615
954,40.091
955,41.547
956,40.727
957,36.600
958,36.094
959,30.257
960,40.451
961,45.825
962,26.736
963,16.702
964,31.484
965,39.137
966,35.814
967,12.786
968,15.746
969,24.718
970,24.599
971,25.528
972,41.793
973,34.895
974,15.375
975,28.704
976,17.478
977,47.295
978,14.237
979,36.561
980,28.216
981,13.170
982,34.266
983,19.684
984,25.717
985,25.424
986,40.128
987,22.922
988,25.055
989,34.677
990,30.258
991,16.945
992,26.949
993,14.095
994,15.312
995,47.116
996,16.984
997,36.074
998,27.894
999,33.120
1000,14.088
1001,24.757
1002,33.979
1003,49.417
1004,25.933
1005,19.592
1006,13.257
1007,26.952
1008,45.304
1009,12.885
1010,23.513
1011,38.197
1012,27.537
1013,13.613
1014,46.043
1015,27.974
1016,15.644
1017,15.346
1018,40.064
1019,25.509
1020,42.645
1021,55.106
1022,16.238
1023,32.757
1024,53.327
1025,17.203
1026,25.823
1027,23.708
1028,22.455
1029,36.616
1030,12.616
1031,16.834
1032,17.226
1033,29.705
1034,28.463
1035,25.075
1036,24.825
1037,34.769
1038,45.443
1039,31.250
1040,41.668
1041,16.274
1042,14.092
1043,41.905
1044,17.124
1045,48.197
1046,41.678
1047,42.793
1048,28.345
1049,23.382
1050,40.320
1051,14.140
1052,17.938
1053,41.934
1054,17.540
1055,12.812
1056,45.822
1057,15.337
1058,12.948
1059,50.835
1060,30.052
1061,53.750
1062,42.357
1063,40.057
1064,33.546
1065,47.051
1066,30.741
1067,54.512
1068,23.777
1069,13.563
1070,15.295
1071,27.198
1072,21.939
1073,16.990
1074,16.103
1075,20.483
1076,24.925
1077,14.163
1078,28.048
1079,31.280
1080,17.302
1081,40.489
1082,15.293
1083,45.314
1084,16.822
1085,35.483
1086,28.547
1087,31.891
1088,17.982
1089,37.989
1090,33.675
1091,45.103
1092,13.464
1093,14.885
1094,39.544
1095,27.112
1096,57.222
1097,15.447
1098,28.215
1099,37.256
1100,40.491
1101,23.872
1102,27.351
1103,21.339
1104,41.699
1105,19.650
1106,23.773
1107,38.896
1108,25.409
1109,30.610
1110,34.469
1111,26.201
1112,53.608
