# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 24.090,11.586,477.844,54.667,24999
sample_index,rtt_ms
0,17.885
1,51.501
2,13.191
3,13.560
4,14.760
5,34.023
6,13.409
7,15.291
8,46.494
9,15.480
10,15.992
11,12.796
12,24.287
13,13.453
14,19.238
15,37.045
16,13.029
17,15.117
18,49.697
19,15.473
20,18.537
21,26.729
22,15.778
23,17.005
24,43.971
25,30.861
26,15.239
27,41.954
28,14.943
29,13.094
30,26.742
31,14.882
32,15.418
33,47.782
34,17.611
35,34.603
36,27.057
37,12.676
38,15.149
39,14.998
40,26.892
41,32.890
42,40.641
43,13.974
44,28.607
45,24.666
46,16.252
47,24.514
48,44.079
49,13.689
50,16.453
51,16.535
52,24.642
53,14.755
54,15.200
55,53.034
56,37.113
57,26.818
58,28.900
59,49.744
60,13.794
61,15.313
62,42.804
63,14.614
64,15.511
65,13.623
66,28.160
67,14.513
68,14.698
69,33.790
70,14.103
71,32.131
72,32.268
73,16.154
74,13.269
75,42.965
76,12.905
77,14.465
78,14.311
79,26.882
80,13.147
81,28.698
82,24.409
83,14.072
84,17.411
85,31.069
86,15.764
87,15.304
88,14.668
89,32.996
90,12.684
91,14.885
92,31.535
93,17.493
94,17.778
95,61.555
96,25.677
97,70.532
98,56.478
99,36.059
100,29.970
101,27.495
102,18.274
103,44.606
104,13.261
105,13.718
106,34.616
107,17.190
108,19.910
109,31.502
110,37.034
111,35.923
112,13.459
113,13.362
114,16.770
115,32.004
116,17.741
117,13.659
118,34.899
119,16.758
120,14.941
121,38.926
122,42.783
123,14.086
124,26.185
125,18.709
126,18.314
127,32.740
128,12.684
129,13.099
130,13.388
131,32.497
132,15.393
133,13.240
134,34.053
135,14.463
136,14.219
137,15.772
138,30.978
139,29.123
140,16.721
141,28.223
142,14.406
143,18.751
144,29.317
145,13.461
146,13.095
147,19.718
148,32.060
149,14.291
150,16.174
151,31.509
152,22.825
153,38.166
154,26.492
155,15.313
156,13.265
157,33.286
158,14.126
159,16.704
160,14.369
161,34.317
162,15.662
163,13.695
164,37.348
165,14.544
166,13.683
167,19.766
168,23.446
169,16.827
170,13.680
171,32.408
172,15.652
173,34.271
