# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 23.447,9.344,54.512,50.344,172
sample_index,rtt_ms
0,17.877
1,48.888
2,20.946
3,31.000
4,14.822
5,27.630
6,16.548
7,18.875
8,15.635
9,15.262
10,26.767
11,32.814
12,16.400
13,18.247
14,54.512
15,41.011
16,27.357
17,46.587
18,16.514
19,28.149
20,21.655
21,19.504
22,15.404
23,26.245
24,16.180
25,21.639
26,16.784
27,15.464
28,25.311
29,40.379
30,26.443
31,23.746
32,32.069
33,17.592
34,17.289
35,26.166
36,17.529
37,35.593
38,17.084
39,23.922
40,15.477
41,17.684
42,17.465
43,13.699
44,27.440
45,18.649
46,31.666
47,36.998
48,16.329
49,43.785
50,33.585
51,22.419
52,18.991
53,15.439
54,14.665
55,23.045
56,17.929
57,17.675
58,15.506
59,40.531
60,29.132
61,19.699
62,15.652
63,23.949
64,19.310
65,31.529
66,15.612
67,24.899
68,18.711
69,22.091
70,16.759
71,49.736
72,16.503
73,15.561
74,35.681
75,13.801
76,26.522
77,17.551
78,30.673
79,14.310
80,23.307
81,17.603
82,41.245
83,20.283
84,18.506
85,17.608
86,29.884
87,18.506
88,12.532
89,13.698
90,21.412
91,16.016
92,17.225
93,43.917
94,22.377
95,17.909
96,19.540
97,13.438
98,29.882
99,17.849
100,21.469
101,16.125
102,34.094
103,31.045
104,16.403
105,14.419
106,23.712
107,26.226
108,20.423
109,39.825
110,12.862
111,19.088
112,20.434
113,15.933
114,46.609
115,16.783
116,16.306
117,36.966
118,15.332
119,15.247
120,15.341
121,43.746
122,18.032
123,26.041
124,42.575
125,15.619
126,16.749
127,19.078
128,16.479
129,33.749
130,28.864
131,15.927
132,33.197
133,41.777
134,14.295
135,14.102
136,25.780
137,21.787
138,27.515
139,28.261
140,16.282
141,16.395
142,51.833
143,17.971
144,30.642
145,16.508
146,25.725
147,14.979
148,19.059
149,20.082
150,13.455
151,28.003
152,15.434
153,18.952
154,15.401
155,15.922
156,25.301
157,18.015
158,15.506
159,34.802
160,26.416
161,20.978
162,35.650
163,26.999
164,16.407
165,31.679
166,44.815
167,18.684
168,17.427
169,19.946
170,30.169
171,13.931
