# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 24.871,10.848,62.699,55.403,172
sample_index,rtt_ms
0,24.247
1,26.886
2,12.590
3,39.395
4,21.490
5,16.403
6,29.682
7,29.112
8,29.386
9,14.623
10,27.816
11,26.991
12,16.373
13,20.506
14,25.525
15,37.981
16,14.388
17,32.642
18,41.664
19,62.699
20,20.491
21,18.531
22,17.467
23,38.649
24,17.045
25,20.671
26,15.381
27,28.133
28,26.036
29,16.455
30,19.472
31,35.161
32,21.617
33,20.622
34,15.394
35,12.974
36,50.558
37,21.545
38,15.614
39,26.622
40,18.778
41,20.923
42,14.550
43,38.438
44,17.518
45,36.500
46,43.606
47,18.101
48,19.422
49,17.607
50,27.625
51,30.711
52,15.356
53,49.040
54,17.638
55,16.977
56,16.629
57,17.577
58,28.525
59,30.479
60,29.437
61,49.062
62,41.402
63,49.904
64,17.332
65,18.727
66,16.322
67,21.931
68,14.192
69,19.744
70,18.636
71,37.677
72,25.762
73,27.601
74,17.485
75,37.612
76,15.013
77,16.735
78,17.434
79,25.888
80,18.139
81,40.568
82,15.475
83,21.506
84,15.235
85,29.683
86,17.527
87,26.757
88,30.459
89,24.287
90,39.909
91,41.505
92,34.247
93,19.984
94,15.816
95,14.559
96,16.283
97,30.914
98,20.241
99,17.655
100,15.336
101,27.731
102,27.943
103,16.067
104,16.335
105,39.930
106,21.131
107,19.026
108,39.465
109,18.901
110,23.960
111,16.847
112,37.414
113,16.957
114,14.904
115,16.020
116,15.052
117,26.555
118,37.362
119,47.459
120,19.448
121,29.238
122,13.008
123,21.772
124,17.379
125,19.329
126,18.695
127,15.040
128,44.452
129,15.990
130,35.377
131,25.955
132,20.264
133,15.037
134,12.329
135,30.902
136,14.332
137,38.950
138,14.747
139,54.583
140,15.559
141,13.404
142,22.167
143,14.250
144,18.441
145,18.964
146,13.571
147,34.000
148,16.365
149,21.030
150,31.591
151,47.930
152,20.117
153,15.045
154,45.811
155,13.743
156,41.267
157,25.791
158,28.048
159,15.514
160,19.379
161,53.995
162,15.526
163,14.849
164,57.410
165,19.590
166,14.002
167,42.560
168,21.306
169,23.062
170,12.931
171,25.892
