# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 27.440,11.267,116.904,53.395,10000
sample_index,rtt_ms
0,13.929
1,18.962
2,15.455
3,26.800
4,12.984
5,37.355
6,36.493
7,17.972
8,31.962
9,38.737
10,45.326
11,13.933
12,37.762
13,30.767
14,30.346
15,24.294
16,21.799
17,16.562
18,12.580
19,45.241
20,26.741
21,26.916
22,15.394
23,35.173
24,40.220
25,14.463
26,31.964
27,39.298
28,13.732
29,35.833
30,25.592
31,17.144
32,18.327
33,44.609
34,15.254
35,33.394
36,30.815
37,29.265
38,22.635
39,65.026
40,12.907
41,40.532
42,13.434
43,35.861
44,25.198
45,36.102
46,13.975
47,34.789
48,12.700
49,37.664
50,34.341
51,12.896
52,39.776
53,14.785
54,33.436
55,38.448
56,26.766
57,35.713
58,34.532
59,50.125
60,13.866
61,40.953
62,29.979
63,37.430
64,27.380
65,34.559
66,46.060
67,27.662
68,55.286
69,14.384
70,51.688
71,31.017
72,30.485
73,35.668
74,27.107
75,23.395
76,48.827
77,29.728
78,34.768
79,27.847
80,15.485
81,15.457
82,34.911
83,22.980
84,13.347
85,40.135
86,28.313
87,23.852
88,26.358
89,37.755
90,35.040
91,16.241
92,38.554
93,26.242
94,32.888
95,19.468
96,41.984
97,18.406
98,42.097
99,12.959
100,17.685
101,33.369
102,26.749
103,16.132
104,38.857
105,22.651
106,22.329
107,27.868
108,14.511
109,18.268
110,50.355
111,14.639
112,18.494
113,15.837
114,30.909
115,12.765
116,41.520
117,37.325
118,15.676
119,44.623
120,41.830
121,28.235
122,41.140
123,24.674
124,20.184
125,15.561
126,47.936
127,15.768
128,35.880
129,25.501
130,24.884
131,18.098
132,47.160
133,42.666
134,29.470
135,47.206
136,28.296
137,52.947
138,27.629
139,45.898
140,33.222
141,46.788
142,13.574
143,18.617
144,39.407
145,31.710
146,23.748
147,31.822
148,17.164
149,14.308
150,43.707
151,26.695
152,41.810
153,40.495
154,34.948
155,31.015
156,47.453
157,16.460
158,34.527
159,33.111
160,36.845
161,24.980
162,49.320
163,41.638
164,37.435
165,37.221
166,38.621
167,24.128
168,46.577
169,43.512
170,35.189
171,36.928
172,15.388
173,28.006
174,42.012
175,25.616
176,34.735
177,47.348
178,38.271
179,31.494
180,35.029
181,26.351
182,37.189
183,25.793
184,25.835
185,37.883
186,42.396
187,36.508
188,40.443
189,16.351
190,42.535
191,33.023
192,12.405
193,28.867
194,25.843
195,45.300
196,23.888
197,16.552
198,14.016
199,41.087
200,33.636
201,47.715
202,12.397
203,26.050
204,25.980
205,42.095
206,12.423
207,38.449
208,34.435
209,18.191
210,31.846
211,37.261
212,35.843
213,35.375
214,20.939
215,40.071
216,13.450
217,57.189
218,21.778
219,33.270
220,14.489
221,25.153
222,34.530
223,39.210
224,46.942
225,14.262
226,23.045
227,27.018
228,36.060
229,17.149
230,40.524
231,23.774
232,44.590
233,35.960
234,13.407
235,32.822
236,19.535
237,17.803
238,13.680
239,18.846
240,29.376
241,15.981
242,13.320
243,44.072
244,34.788
245,19.441
246,20.090
247,35.026
248,48.151
249,34.108
250,34.090
251,28.984
252,25.844
253,39.614
254,18.127
255,25.909
256,38.590
257,49.353
258,15.332
259,32.560
260,23.940
261,39.563
262,41.489
263,30.688
264,20.497
265,13.797
266,24.751
267,16.066
268,35.044
269,13.598
270,33.935
271,32.463
272,14.789
273,32.663
274,31.335
275,16.973
276,41.388
277,39.954
278,22.054
279,42.025
280,23.206
281,42.198
282,40.467
283,39.368
284,49.573
285,43.276
286,53.131
287,26.077
288,18.907
289,24.548
290,26.871
291,52.640
292,20.373
293,17.633
294,31.638
295,13.989
296,34.515
297,28.247
298,34.154
299,13.749
300,27.161
301,15.985
302,22.991
303,26.001
304,20.080
305,26.962
306,48.406
307,13.808
308,13.976
309,34.163
310,17.033
311,31.216
312,37.685
313,24.713
314,15.767
315,17.025
316,29.299
317,33.738
318,24.823
319,26.036
320,13.159
321,12.897
322,17.499
323,27.039
324,12.555
325,14.800
326,20.193
327,27.066
328,27.956
329,44.824
330,17.559
331,21.854
332,15.381
333,17.816
334,40.267
335,17.852
336,22.462
337,14.598
338,38.266
339,22.277
340,21.008
341,39.139
342,21.850
343,28.143
344,47.627
345,23.843
346,14.763
347,16.895
348,27.006
349,12.846
350,38.784
351,47.718
352,15.758
353,49.009
354,24.633
355,13.222
356,33.703
357,15.840
358,38.392
359,19.898
360,13.217
361,33.107
362,41.472
363,19.326
364,15.492
365,37.941
366,33.144
367,18.036
368,22.973
369,27.808
370,51.456
371,15.713
372,16.242
373,20.190
374,26.378
375,26.324
376,24.606
377,31.719
378,15.139
379,22.827
380,67.595
381,13.479
382,26.806
383,16.703
384,34.824
385,37.211
386,24.059
387,25.085
388,31.378
389,43.339
390,36.496
391,23.754
392,40.311
393,13.743
394,65.779
395,57.847
396,42.172
397,31.155
398,40.751
399,53.384
400,38.153
401,39.769
402,40.401
403,41.373
404,28.498
405,23.798
406,24.444
407,23.836
408,48.776
409,37.839
410,26.945
411,36.334
412,23.898
413,13.767
414,28.247
415,27.739
416,27.129
417,34.965
418,39.619
419,30.871
420,23.721
421,29.798
422,33.138
423,18.616
424,33.630
425,43.218
426,38.887
427,15.470
428,14.522
429,15.454
430,47.561
431,22.688
432,32.780
433,32.663
434,39.950
435,37.882
436,40.625
437,29.718
438,15.483
439,17.508
440,17.858
441,54.088
442,50.892
443,12.694
444,37.704
445,31.325
446,26.298
447,35.648
448,27.531
449,27.916
450,16.713
451,48.881
452,38.208
453,17.631
454,37.213
455,29.983
456,74.978
457,17.127
458,14.997
459,52.670
460,33.408
461,32.839
462,37.825
463,42.754
464,47.859
465,24.463
466,13.925
467,46.808
468,16.374
469,19.969
470,42.465
471,36.510
472,38.743
473,39.279
474,46.970
475,17.877
476,38.853
477,17.818
478,35.426
479,23.849
480,16.060
481,41.965
482,15.364
483,27.599
484,42.283
485,33.229
486,32.874
487,13.016
488,26.543
489,42.104
490,29.904
491,15.440
492,26.654
493,30.605
494,33.938
495,15.848
496,35.454
497,25.475
498,34.952
499,15.355
500,32.184
501,40.273
502,17.193
503,50.015
504,41.867
505,29.067
506,42.921
507,33.796
508,15.619
509,45.874
510,25.269
511,16.164
512,15.688
513,37.529
514,41.036
515,40.114
516,37.641
517,41.170
518,34.161
519,37.623
520,30.898
521,28.188
522,16.406
523,17.220
524,48.322
525,31.851
526,13.350
527,26.367
528,15.739
529,16.244
530,31.023
531,22.817
532,15.376
533,28.197
534,29.876
535,51.089
536,17.870
537,37.138
538,27.592
539,17.220
540,44.974
541,30.120
542,34.838
543,24.034
544,33.162
545,26.754
546,35.456
547,25.898
548,25.658
549,33.277
550,20.248
551,17.330
552,29.611
553,14.451
554,48.244
555,42.259
556,36.723
557,35.796
558,30.642
559,42.371
560,24.466
561,34.589
562,56.111
563,15.541
564,38.139
565,25.181
566,16.079
567,18.649
568,35.802
569,20.634
570,42.804
571,12.512
572,22.367
573,21.853
574,15.090
575,35.409
576,37.630
577,19.386
578,32.769
579,24.896
580,32.869
581,17.149
582,28.508
583,14.929
584,18.093
585,40.253
586,39.934
587,23.933
588,40.044
589,19.388
590,31.545
591,20.537
592,25.342
593,50.278
594,14.690
595,19.009
596,39.061
597,14.224
598,38.883
599,14.943
600,32.602
601,16.346
602,44.600
603,23.574
604,35.904
605,13.906
606,34.143
607,40.076
608,41.325
609,17.052
610,36.991
611,38.843
612,28.167
613,13.634
614,16.191
615,48.086
616,42.120
617,42.227
618,34.294
619,36.534
620,36.035
621,26.176
622,21.724
623,13.681
624,18.782
625,33.465
626,46.008
627,43.478
628,38.127
629,44.602
630,20.787
631,19.781
632,29.654
633,37.049
634,22.692
635,14.124
636,33.706
637,42.396
638,30.541
639,40.999
640,37.488
641,35.243
642,30.380
643,40.580
644,39.207
645,46.515
646,26.299
647,41.966
648,28.556
649,16.123
650,51.400
651,40.626
652,21.699
653,24.877
654,16.460
655,36.901
656,49.634
657,16.849
658,38.855
659,38.175
660,44.969
661,45.838
662,15.139
663,29.295
664,34.457
665,39.594
666,36.525
667,16.085
668,31.639
669,35.865
670,16.010
671,31.000
672,44.491
673,44.708
674,28.705
675,42.667
676,51.145
677,15.192
678,48.894
679,46.621
680,16.885
681,37.513
682,46.340
683,13.463
684,53.289
685,31.373
686,16.465
687,25.869
688,13.462
689,12.683
690,12.190
691,27.026
692,28.267
693,42.615
694,35.994
695,25.912
696,32.937
697,18.500
698,42.050
699,33.081
700,17.126
701,44.857
702,17.620
703,44.500
704,24.086
705,14.131
706,26.651
707,27.661
708,53.802
709,16.177
710,33.295
711,22.783
712,18.996
713,40.572
714,13.732
715,35.754
716,38.379
717,22.647
718,28.298
719,38.852
720,16.914
721,29.362
722,31.724
723,64.905
724,24.966
725,43.337
726,14.902
727,37.466
728,37.624
729,27.130
730,42.586
731,20.125
732,16.920
733,43.099
734,38.375
735,47.523
736,35.950
737,38.606
738,25.033
739,15.599
740,40.699
741,34.560
742,36.239
743,18.024
744,29.828
745,32.080
746,15.353
747,36.564
748,38.685
749,38.938
750,40.001
751,38.443
752,31.854
753,33.972
754,51.968
755,32.428
756,48.284
757,17.466
758,49.576
759,60.702
760,36.719
761,42.177
762,31.979
763,25.862
764,40.720
765,14.459
766,30.791
767,41.898
768,37.464
769,44.342
770,36.190
771,14.024
772,33.003
773,39.109
774,43.269
775,21.133
776,46.553
777,42.649
778,53.689
779,18.240
780,36.746
781,25.609
782,32.660
783,16.075
784,31.109
785,24.194
786,36.240
787,18.713
788,37.685
789,24.916
790,47.296
791,31.316
792,31.185
793,30.711
794,16.681
795,33.881
796,35.997
797,32.979
798,48.318
799,14.096
800,30.339
801,27.910
802,30.658
803,31.998
804,38.700
805,40.381
806,33.458
807,36.598
808,39.900
809,39.857
810,14.394
811,37.884
812,37.315
813,25.511
814,34.899
815,24.393
816,26.236
817,20.803
818,34.328
819,41.891
820,26.837
821,23.488
822,41.023
823,17.856
824,29.665
825,43.330
826,38.129
827,20.025
828,33.663
829,48.916
830,28.536
831,39.784
832,16.388
833,12.750
834,35.425
835,15.094
836,27.681
837,27.334
838,14.148
839,41.009
840,22.398
841,36.763
842,46.788
843,13.536
844,25.472
845,17.756
846,24.024
847,15.216
848,15.036
849,43.322
850,32.939
851,50.728
852,30.353
853,37.462
854,20.705
855,33.728
856,41.638
857,31.174
858,26.664
859,39.724
860,15.025
861,48.718
862,16.205
863,26.066
864,25.748
865,33.909
866,25.253
867,22.790
868,27.323
869,16.393
870,24.764
871,13.718
872,35.550
873,29.281
874,14.729
875,18.950
876,18.765
877,22.434
878,15.366
879,13.718
880,21.437
881,21.719
882,32.828
883,20.046
884,19.659
885,12.627
886,16.341
887,42.017
888,13.748
889,35.858
890,39.264
891,36.670
892,17.483
893,39.898
894,42.177
895,31.878
896,31.958
897,41.079
898,33.806
899,14.679
900,39.705
901,15.116
902,15.962
903,40.183
904,14.912
905,13.445
906,12.966
907,28.484
908,29.742
909,33.560
910,15.425
911,14.210
912,14.769
913,48.038
914,40.904
915,24.782
916,13.689
917,33.226
918,26.061
919,38.957
920,26.333
921,20.353
922,13.628
923,14.731
924,44.920
925,14.757
926,41.165
927,34.594
928,40.327
929,27.922
930,35.665
931,54.198
932,18.875
933,12.770
934,49.379
935,14.350
936,22.154
937,17.317
938,24.707
939,12.763
940,16.138
941,36.331
942,18.831
943,31.549
944,39.028
945,13.066
946,15.522
947,16.825
948,23.621
949,22.532
950,17.992
951,22.411
952,31.029
953,33.354
954,43.906
955,60.804
956,37.892
957,34.528
958,37.859
959,17.096
960,19.592
961,38.807
962,14.050
963,37.929
964,32.849
965,52.002
966,13.755
967,32.287
968,38.418
969,43.854
970,38.407
971,25.076
972,14.542
973,24.431
974,16.385
975,15.324
976,15.169
977,28.062
978,12.644
979,13.168
980,14.460
981,30.805
982,12.386
983,15.063
984,27.727
985,25.028
986,47.064
987,28.290
988,36.206
989,28.790
990,18.772
991,28.799
992,22.671
993,53.234
994,29.688
995,37.441
996,13.470
997,37.115
998,38.158
999,16.844
1000,37.552
1001,35.231
1002,30.116
1003,30.168
1004,15.419
1005,14.897
1006,24.644
1007,13.733
1008,17.846
1009,46.731
1010,34.988
1011,16.664
1012,28.917
1013,44.439
1014,45.278
1015,30.637
1016,16.627
1017,16.038
1018,40.668
1019,41.317
1020,33.819
1021,48.016
1022,37.012
1023,50.704
1024,31.059
1025,20.064
1026,41.622
1027,14.923
1028,27.478
1029,17.683
1030,14.808
1031,17.782
1032,25.652
1033,34.673
1034,26.607
1035,21.991
1036,38.625
1037,53.426
1038,22.240
1039,14.186
1040,13.814
1041,16.250
1042,35.548
1043,40.183
1044,26.224
1045,33.260
1046,40.000
1047,26.251
1048,31.242
1049,34.748
1050,25.667
1051,28.116
1052,30.836
1053,28.947
1054,12.881
1055,42.324
1056,32.699
1057,49.685
1058,13.040
1059,34.761
1060,39.428
1061,22.944
1062,24.144
1063,29.666
1064,40.051
1065,43.956
1066,27.259
1067,46.851
1068,30.583
1069,48.834
1070,26.846
1071,43.991
1072,13.982
1073,14.535
1074,31.355
1075,26.878
1076,14.807
1077,34.960
1078,33.214
1079,32.828
1080,39.998
1081,26.746
1082,51.367
1083,36.945
1084,17.501
1085,32.643
1086,30.489
1087,34.691
1088,14.790
1089,36.526
1090,16.065
1091,31.407
1092,45.220
1093,16.865
1094,34.045
1095,27.557
1096,38.909
1097,33.394
1098,13.814
1099,33.966
1100,28.568
1101,37.056
1102,47.284
1103,14.487
1104,18.167
1105,13.927
1106,29.123
1107,16.036
1108,18.068
1109,16.675
1110,30.051
1111,20.926
1112,42.475
1113,42.240
1114,40.815
1115,16.235
1116,36.196
1117,23.510
1118,15.446
1119,13.635
1120,46.619
1121,29.672
1122,53.065
1123,36.751
1124,21.428
1125,27.773
1126,22.594
1127,15.900
1128,39.010
1129,14.112
1130,13.857
1131,16.945
1132,46.382
1133,14.225
1134,15.268
1135,28.734
1136,17.743
1137,15.043
1138,31.463
1139,26.473
1140,44.625
1141,17.372
1142,38.069
1143,42.325
1144,38.115
1145,34.104
1146,14.988
1147,57.039
1148,41.094
1149,29.510
1150,17.687
1151,16.454
1152,16.525
1153,20.149
1154,18.552
1155,34.363
1156,14.717
1157,36.849
1158,18.811
1159,13.952
1160,18.936
1161,40.914
1162,13.960
1163,21.579
1164,18.148
1165,27.024
1166,15.085
1167,23.286
1168,24.596
1169,37.685
1170,14.224
1171,31.565
1172,39.516
1173,27.401
1174,40.861
1175,18.836
1176,19.706
1177,12.781
1178,24.186
1179,37.546
1180,26.572
1181,12.903
1182,17.877
1183,42.959
1184,14.381
1185,17.815
1186,27.065
1187,16.225
1188,15.061
1189,22.163
1190,14.084
1191,16.153
1192,20.456
1193,39.395
1194,34.577
1195,26.597
1196,36.731
1197,14.766
1198,28.862
1199,25.144
1200,44.022
1201,26.879
1202,37.826
1203,51.836
1204,12.634
1205,27.013
1206,15.221
1207,14.512
1208,33.289
1209,39.714
1210,53.907
1211,12.830
1212,38.594
1213,28.132
1214,39.190
1215,50.517
1216,25.827
1217,23.606
1218,29.886
1219,26.813
1220,24.547
1221,30.488
1222,15.799
1223,31.941
1224,31.090
1225,39.830
1226,37.665
1227,43.054
1228,24.570
1229,12.613
1230,16.732
1231,46.704
1232,35.094
1233,45.995
1234,26.354
1235,46.702
1236,22.505
1237,14.025
1238,34.990
1239,39.270
1240,42.179
1241,38.549
1242,15.478
1243,33.070
1244,37.591
1245,26.599
1246,36.521
1247,22.754
1248,16.318
1249,18.423
1250,27.943
1251,37.611
1252,40.513
1253,14.623
1254,15.340
1255,48.036
1256,27.502
1257,14.877
1258,49.996
1259,19.365
1260,33.413
1261,15.838
1262,16.097
1263,32.706
1264,22.282
1265,33.919
1266,37.192
1267,23.744
1268,16.868
1269,42.682
1270,27.607
1271,23.397
1272,26.556
1273,37.588
1274,51.256
1275,35.052
1276,28.119
1277,37.538
1278,44.814
1279,38.897
1280,44.167
1281,34.911
1282,19.963
1283,28.763
1284,12.403
1285,29.236
1286,14.353
1287,12.646
1288,21.359
1289,29.140
1290,37.920
1291,35.994
1292,27.238
1293,18.840
1294,45.207
1295,23.847
1296,17.922
1297,24.856
1298,27.756
1299,27.967
1300,23.400
1301,36.448
1302,14.737
1303,28.594
1304,12.626
1305,15.960
1306,16.276
1307,24.968
1308,25.891
1309,40.134
1310,25.247
1311,15.107
1312,36.233
