# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 26.527,12.788,484.459,55.904,25000
sample_index,rtt_ms
0,15.245
1,15.894
2,15.488
3,49.413
4,26.270
5,30.770
6,34.431
7,33.358
8,17.003
9,32.168
10,29.266
11,17.784
12,14.703
13,12.727
14,27.253
15,14.108
16,29.096
17,33.173
18,13.211
19,15.163
20,26.678
21,14.170
22,25.281
23,22.217
24,26.054
25,13.321
26,14.724
27,28.985
28,12.573
29,34.828
30,27.005
31,32.119
32,53.691
33,35.663
34,17.267
35,36.237
36,15.105
37,46.944
38,13.829
39,18.492
40,25.598
41,24.625
42,33.397
43,23.517
44,14.294
45,12.501
46,13.138
47,35.662
48,13.305
49,15.545
50,35.582
51,15.668
52,13.158
53,26.924
54,15.473
55,13.050
56,33.274
57,39.982
58,14.725
59,28.938
60,13.118
61,15.535
62,29.223
63,32.588
64,12.560
65,44.085
66,15.828
67,14.480
68,31.795
69,13.789
70,66.845
71,16.754
72,52.664
73,38.025
74,13.427
75,22.845
76,12.921
77,14.714
78,35.745
79,14.683
80,13.038
81,26.298
82,25.222
83,12.570
84,15.963
85,14.421
86,26.504
87,13.847
88,15.946
89,26.855
90,13.737
91,28.908
92,14.057
93,38.548
94,36.424
95,28.348
96,13.955
97,36.033
98,23.976
99,14.843
100,17.192
101,31.300
102,12.810
103,25.005
104,30.983
105,12.988
106,13.272
107,13.034
108,35.130
109,23.909
110,13.717
111,25.539
112,15.792
113,12.969
114,15.270
115,32.348
116,13.619
117,18.026
118,31.249
119,13.672
120,36.350
121,31.293
122,24.090
123,25.091
124,31.003
125,12.461
126,33.675
127,36.614
128,13.349
129,12.888
130,30.713
131,16.463
132,15.624
133,38.978
134,14.412
135,14.454
136,13.399
137,27.881
138,18.237
139,23.825
140,29.885
141,27.747
142,15.294
143,30.101
144,19.134
145,35.120
146,24.552
147,37.415
148,13.356
149,45.754
150,14.996
151,44.470
152,15.955
153,15.470
154,30.412
155,35.327
156,17.866
157,32.662
158,16.560
159,16.064
160,36.809
161,26.401
162,14.995
163,25.614
164,23.603
165,13.544
166,15.258
167,47.382
168,15.232
169,40.634
170,14.638
171,13.383
172,12.904
173,29.480
174,15.067
175,14.431
176,40.939
177,12.907
178,30.728
179,24.473
180,13.140
181,15.126
182,15.654
183,30.668
184,33.390
185,12.879
186,27.254
187,23.687
188,16.330
189,32.247
190,16.884
191,15.013
192,33.251
193,29.805
194,18.090
195,25.927
196,13.332
197,34.498
198,29.193
199,466.861
200,29.431
201,14.265
202,55.116
203,13.499
204,13.515
205,17.510
206,28.388
207,13.996
208,37.784
209,23.571
