# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 24.023,10.739,116.420,55.769,517
sample_index,rtt_ms
0,16.960
1,14.327
2,23.330
3,17.900
4,28.243
5,38.523
6,38.600
7,24.963
8,24.340
9,35.590
10,29.331
11,29.216
12,15.176
13,20.596
14,35.152
15,24.305
16,18.473
17,38.368
18,17.685
19,40.751
20,15.313
21,53.193
22,15.494
23,14.943
24,16.318
25,15.652
26,30.522
27,38.188
28,41.167
29,27.775
30,20.319
31,24.744
32,14.436
33,22.851
34,15.415
35,39.501
36,17.726
37,22.087
38,18.215
39,116.420
40,17.144
41,18.733
42,34.527
43,16.386
44,20.613
45,15.300
46,33.953
47,15.628
48,18.544
49,16.606
50,14.932
51,30.406
52,21.803
53,21.291
54,25.937
55,25.487
56,18.879
57,30.851
58,18.018
59,27.582
60,19.559
61,39.538
62,13.232
63,43.308
64,16.750
65,16.992
66,13.327
67,55.275
68,19.440
69,17.368
70,24.302
71,14.556
72,17.581
73,18.144
74,20.387
75,28.686
76,18.180
77,19.367
78,15.594
79,13.645
80,31.472
81,18.164
82,18.404
83,15.804
84,24.890
85,14.886
86,29.382
87,14.368
88,26.682
89,17.739
90,16.580
91,17.715
92,26.633
93,17.546
94,17.291
95,19.861
96,13.686
97,27.170
98,16.969
99,16.692
100,18.775
101,17.148
102,53.438
103,38.263
104,22.086
105,23.439
106,18.467
107,13.731
108,26.120
109,19.799
110,22.429
111,15.203
112,27.135
113,15.502
114,15.773
115,15.106
116,31.854
117,36.524
118,16.895
119,16.194
120,27.313
121,33.919
122,58.409
123,29.669
124,18.562
125,16.051
126,23.519
127,18.855
128,14.969
129,40.063
130,50.863
131,18.370
132,43.824
133,16.417
134,21.572
135,16.598
136,44.627
137,37.112
138,17.403
139,39.203
140,13.854
141,20.850
142,19.509
143,46.351
144,19.553
145,16.103
146,15.457
147,31.459
148,15.314
149,20.087
150,16.341
151,15.172
152,30.757
153,17.942
154,19.070
155,49.320
156,14.397
157,19.380
158,19.784
159,17.447
160,25.088
161,15.476
162,16.937
163,48.370
164,46.360
165,18.255
166,18.876
167,38.874
168,37.245
169,16.468
170,25.982
171,16.425
172,17.729
173,20.608
174,15.756
175,31.692
176,17.656
177,15.923
178,18.124
179,35.112
180,26.550
181,33.424
182,19.353
183,55.863
184,37.829
185,27.704
186,21.842
187,15.695
188,37.819
189,25.749
190,18.345
191,17.730
192,22.115
193,30.789
194,28.511
195,34.549
196,14.785
197,28.847
198,22.154
199,20.515
200,14.284
201,29.709
202,18.961
203,23.618
204,30.536
205,26.138
206,16.695
207,15.330
208,16.573
209,15.454
210,27.949
211,39.591
212,16.988
213,27.979
214,15.411
215,19.747
216,16.215
217,15.008
218,30.051
219,16.219
220,17.768
221,18.477
222,15.490
223,23.622
224,39.961
225,27.689
226,34.889
227,14.679
228,39.870
229,37.841
230,17.809
231,19.707
232,41.249
233,25.305
234,18.469
235,15.647
236,53.805
237,15.644
238,36.402
239,16.557
240,25.227
241,28.412
242,29.969
243,15.181
244,21.686
245,18.448
246,20.123
247,14.902
248,14.387
249,26.053
250,17.144
251,17.522
252,14.382
253,14.957
254,25.552
255,16.333
256,25.082
257,14.250
258,24.627
259,14.775
260,17.500
261,19.187
262,16.573
263,22.862
264,16.376
265,16.805
266,20.643
267,15.740
268,32.385
269,36.782
270,50.349
271,13.552
272,18.248
273,40.199
274,28.318
275,60.536
276,26.304
277,16.774
278,19.452
279,17.214
280,44.097
281,40.796
282,14.052
283,33.443
284,18.890
285,14.979
286,27.862
287,29.375
