# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 29.157,11.542,130.511,55.117,50000
sample_index,rtt_ms
0,37.239
1,36.031
2,38.355
3,14.082
4,47.038
5,14.310
6,17.520
7,23.156
8,15.317
9,17.377
10,14.373
11,25.618
12,18.976
13,35.818
14,52.823
15,18.521
16,39.873
17,16.146
18,46.052
19,30.629
20,35.148
21,13.667
22,19.188
23,47.116
24,30.721
25,13.675
26,34.596
27,33.225
28,13.693
29,35.731
30,15.586
31,32.965
32,38.800
33,18.443
34,15.336
35,38.423
36,25.612
37,48.444
38,30.262
39,14.990
40,29.151
41,23.756
42,15.930
43,44.190
44,14.502
45,36.846
46,27.176
47,40.092
48,48.997
49,13.595
50,38.012
51,35.273
52,12.576
53,50.159
54,40.016
55,24.695
56,27.821
57,16.444
58,24.047
59,14.275
60,18.076
61,14.831
62,28.199
63,31.909
64,39.734
65,38.224
66,28.919
67,41.731
68,43.400
69,32.027
70,15.062
71,53.673
72,82.672
73,33.349
74,47.214
75,13.597
76,42.558
77,37.895
78,16.928
79,15.546
80,26.911
81,37.701
82,13.840
83,32.039
84,14.895
85,29.796
86,39.470
87,30.006
88,48.154
89,24.658
90,14.339
91,42.586
92,13.581
93,14.901
94,37.685
95,17.369
96,36.560
97,17.181
98,26.499
99,30.243
100,19.135
101,24.687
102,13.237
103,16.448
104,39.584
105,15.883
106,37.770
107,29.166
108,13.195
109,15.614
110,35.520
111,22.044
112,16.308
113,20.477
114,20.552
115,14.113
116,14.120
117,15.709
118,48.524
119,21.684
120,22.727
121,41.468
122,15.095
123,21.898
124,21.322
125,13.895
126,36.936
127,26.053
128,34.255
129,28.550
130,25.617
131,28.389
132,43.186
133,16.884
134,34.735
135,38.498
136,27.059
137,12.753
138,37.189
139,15.650
140,16.222
141,41.084
142,14.956
143,15.153
144,17.195
145,28.619
146,15.311
147,39.182
148,13.855
149,56.546
150,42.382
151,14.131
152,27.913
153,30.097
154,16.075
155,31.836
156,15.093
157,12.806
158,31.076
159,36.762
160,49.795
161,29.208
162,28.911
163,27.781
164,31.455
165,42.946
166,31.852
167,29.442
168,26.722
169,16.375
170,15.642
171,41.262
172,32.305
173,14.846
174,25.736
175,44.012
176,51.111
177,30.000
178,13.895
179,30.214
180,23.922
181,18.478
182,41.900
183,16.807
184,32.335
185,42.676
186,42.037
187,37.312
188,38.136
189,32.233
190,30.125
191,24.896
