# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 23.160,9.858,91.675,53.714,517
sample_index,rtt_ms
0,18.280
1,25.444
2,38.746
3,16.025
4,38.755
5,26.578
6,33.015
7,17.348
8,14.387
9,36.552
10,20.550
11,18.881
12,32.066
13,17.538
14,40.964
15,15.028
16,30.045
17,20.888
18,29.224
19,16.071
20,24.082
21,18.493
22,19.558
23,18.934
24,31.973
25,18.478
26,35.774
27,39.106
28,16.180
29,17.793
30,17.513
31,16.152
32,27.389
33,24.664
34,16.392
35,17.788
36,21.615
37,19.429
38,44.520
39,91.675
40,19.270
41,21.836
42,35.628
43,32.055
44,26.736
45,17.413
46,39.602
47,19.555
48,37.039
49,21.895
50,37.678
51,47.313
52,15.869
53,18.590
54,30.705
55,16.765
56,21.363
57,15.570
58,15.702
59,25.360
60,18.646
61,17.480
62,14.741
63,16.237
64,25.848
65,35.933
66,14.883
67,18.930
68,23.710
69,14.478
70,21.325
71,15.791
72,16.780
73,28.697
74,21.379
75,14.063
76,19.870
77,27.481
78,41.304
79,16.922
80,12.297
81,48.269
82,18.074
83,50.846
84,14.556
85,47.017
86,40.178
87,34.984
88,16.173
89,14.917
90,27.331
91,21.806
92,14.137
93,15.036
94,43.573
95,19.564
96,12.061
97,17.153
98,54.102
99,36.349
100,29.681
101,41.082
102,14.776
103,29.036
104,28.926
105,18.080
106,15.267
107,33.953
108,24.753
109,16.949
110,15.537
111,25.528
112,20.936
113,16.659
114,16.357
115,14.092
116,49.036
117,15.931
118,15.150
119,25.630
120,36.923
121,27.989
122,15.632
123,45.426
124,14.829
125,14.541
126,24.980
127,21.466
128,37.297
129,25.835
130,20.793
131,19.096
132,19.010
133,15.585
134,25.887
135,18.813
136,19.389
137,18.022
138,34.960
139,15.121
140,19.974
141,14.663
142,17.444
143,25.429
144,15.057
145,30.499
146,14.200
147,29.363
148,13.866
149,41.351
150,15.656
151,32.140
152,19.147
153,14.326
154,18.055
155,23.619
156,19.531
157,18.674
158,18.515
159,17.375
160,30.206
161,17.956
162,16.804
163,14.414
164,17.457
165,28.473
166,21.573
167,19.670
168,15.642
169,27.235
170,22.304
171,15.587
172,17.833
173,31.973
174,18.259
175,18.711
176,14.770
177,17.579
178,26.040
179,15.504
180,22.690
181,35.438
182,32.845
183,21.414
184,17.905
185,15.582
186,14.752
187,24.587
188,18.879
189,18.961
190,21.324
191,29.892
192,18.845
193,28.637
194,30.701
195,31.704
196,25.857
197,17.411
198,17.582
199,25.179
200,16.882
201,18.235
202,19.660
203,17.468
204,24.656
205,22.538
206,17.141
207,17.692
208,22.811
209,15.802
210,19.529
211,17.508
212,14.909
213,23.826
214,18.856
215,19.889
216,21.064
217,15.714
218,27.518
219,19.523
220,14.950
221,46.997
222,15.292
223,33.007
224,19.377
225,25.548
226,40.188
227,17.432
228,15.219
229,32.040
230,15.375
231,18.609
232,18.372
233,50.926
234,19.394
235,17.302
236,28.505
237,22.586
238,18.735
239,15.307
240,16.866
241,46.830
242,15.697
243,14.655
244,36.589
245,21.375
246,21.221
247,19.327
248,30.943
249,17.117
250,15.721
251,16.437
252,15.690
253,32.068
254,24.083
255,18.083
256,15.827
257,76.417
258,46.388
259,15.726
260,17.598
261,16.099
262,16.087
263,44.092
264,19.199
265,16.799
266,14.069
267,32.534
268,17.509
269,13.746
270,15.297
271,13.246
272,27.949
273,16.881
274,16.632
275,47.535
276,33.332
277,15.278
278,17.763
279,22.863
280,17.885
281,17.308
282,38.311
283,24.392
284,17.782
285,34.834
286,24.848
287,15.246
288,17.385
289,12.860
290,14.221
291,31.088
292,17.291
293,18.965
294,15.768
295,26.253
296,15.827
297,15.021
298,16.775
299,24.241
300,14.102
301,39.263
302,12.870
303,30.247
304,17.920
305,12.449
306,17.928
307,24.186
308,13.201
309,16.043
310,14.373
311,13.799
312,27.646
313,19.815
314,15.393
315,15.595
316,25.830
317,19.794
318,14.247
319,19.189
320,13.925
321,19.469
322,38.520
323,15.231
324,28.075
325,15.346
326,16.478
327,16.745
328,15.278
329,25.285
330,18.693
331,16.387
332,13.779
333,25.332
334,14.969
335,21.110
336,13.932
337,13.707
338,17.076
339,34.588
340,14.744
341,36.569
342,16.294
343,18.777
344,12.524
345,13.011
346,30.112
347,25.338
348,16.229
349,37.626
350,22.006
351,13.767
352,13.788
353,29.906
354,16.109
355,19.628
356,14.902
357,33.873
358,37.983
359,16.717
360,16.510
361,25.239
362,54.759
363,16.687
364,25.284
365,16.363
366,26.880
367,15.247
368,17.123
369,31.468
370,16.311
371,18.050
372,26.077
373,19.331
374,16.789
375,21.594
376,30.249
377,18.303
378,13.245
379,34.983
380,27.989
381,22.183
382,17.735
383,16.653
384,28.680
385,24.607
386,14.277
387,42.188
388,25.470
389,17.805
390,14.351
391,28.293
392,19.837
393,21.829
394,16.944
395,17.605
396,66.827
397,50.738
398,17.357
399,26.350
400,17.804
401,14.691
402,27.264
403,40.643
404,14.827
405,28.656
406,16.498
407,45.354
408,16.865
409,54.075
410,16.012
411,17.551
412,27.845
413,22.838
414,20.455
415,14.007
416,30.773
417,20.766
418,18.394
419,17.648
420,19.313
421,27.296
422,22.170
423,25.062
424,16.979
425,27.893
426,21.626
427,35.767
428,24.840
429,34.939
430,15.289
431,18.480
432,25.929
433,14.852
434,19.282
435,18.458
436,17.888
437,30.684
438,17.384
439,20.381
440,14.925
441,15.538
442,28.579
443,21.467
444,15.723
445,18.614
446,26.503
447,16.396
448,18.868
449,19.587
450,41.160
451,19.376
452,48.389
453,28.631
454,41.606
455,17.153
456,42.761
457,18.686
458,14.890
459,15.379
460,18.257
461,28.321
462,15.276
463,18.346
464,14.594
465,21.069
466,28.111
467,28.026
468,18.623
469,18.868
470,26.666
471,22.920
472,31.256
473,29.503
474,15.571
475,42.929
476,16.346
477,27.813
478,16.261
479,22.993
480,17.348
481,27.359
482,16.464
483,18.937
484,15.755
485,17.364
486,28.376
487,14.886
488,22.010
489,31.684
490,44.546
491,29.220
492,20.727
493,51.819
494,17.357
495,16.533
496,26.598
497,22.753
498,39.406
499,29.626
500,18.411
501,16.454
502,15.378
503,17.527
504,26.628
505,26.637
506,17.239
507,15.767
508,27.422
509,34.556
510,18.244
511,16.860
512,37.221
513,16.924
514,15.346
515,14.603
516,27.514
