# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 31.051,13.128,1048.645,55.964,50000
sample_index,rtt_ms
0,34.804
1,13.924
2,46.580
3,37.446
4,40.317
5,59.749
6,31.499
7,32.094
8,37.836
9,47.289
10,14.491
11,24.177
12,17.226
13,44.836
14,33.758
15,42.560
16,41.358
17,55.158
18,16.739
19,38.236
20,43.242
21,39.701
22,24.013
23,37.008
24,26.765
25,13.225
26,40.174
27,16.200
28,25.765
29,43.824
30,33.906
31,35.898
32,40.246
33,40.378
34,22.983
35,23.571
36,44.008
37,19.207
38,32.933
39,17.253
40,32.594
41,53.839
42,21.676
43,24.169
44,26.981
45,40.149
46,33.985
47,34.059
48,37.899
49,16.078
50,42.379
51,12.659
52,40.904
53,38.384
54,37.634
55,46.408
56,15.146
57,50.817
58,20.865
59,46.525
60,12.867
61,14.755
62,18.151
63,25.648
64,37.823
65,25.312
66,19.930
67,40.763
68,35.605
69,26.146
70,15.850
71,27.682
72,24.017
73,40.947
74,23.264
75,40.571
76,38.129
77,24.650
78,14.813
79,54.792
80,33.611
81,24.515
82,37.095
83,48.304
84,15.943
85,13.228
86,17.111
87,26.069
88,19.774
89,32.374
90,43.335
91,41.006
92,53.306
93,17.065
94,21.820
95,39.631
96,39.264
97,34.046
98,17.827
99,18.303
100,16.032
101,24.456
102,19.989
103,50.228
104,13.770
105,36.780
106,39.402
107,41.108
108,36.344
109,27.604
110,37.695
111,46.217
112,40.806
113,16.982
114,28.059
115,14.380
116,37.735
117,22.495
118,16.362
119,14.774
120,25.525
121,33.245
122,15.691
123,14.664
124,41.892
125,14.695
126,21.097
127,52.171
128,39.917
129,22.225
130,40.652
131,15.132
132,27.998
133,49.208
134,28.629
135,23.674
136,42.061
137,14.943
138,39.550
139,32.885
140,26.859
141,23.063
142,39.163
143,37.277
144,17.743
145,38.502
146,28.704
147,13.074
148,38.863
149,15.657
150,14.059
151,18.103
152,28.246
153,14.047
154,22.637
155,44.240
156,32.762
157,23.723
158,37.709
159,23.590
160,38.746
161,13.263
162,13.302
163,31.632
164,51.211
165,20.194
166,55.340
167,23.083
168,27.324
169,13.407
170,15.360
171,17.180
172,39.653
173,12.806
174,44.605
175,14.804
176,12.920
177,38.064
178,24.507
179,28.098
180,34.253
181,12.811
182,16.050
183,27.628
184,25.782
185,38.203
186,21.541
187,30.252
188,23.463
189,26.642
190,31.809
191,44.688
192,21.499
193,17.770
194,38.586
195,44.726
196,24.770
197,30.967
198,34.831
199,24.388
200,30.862
201,39.452
202,12.256
203,43.006
204,23.822
205,38.560
206,20.551
207,34.658
208,39.488
209,34.779
210,23.473
211,28.333
212,35.916
213,24.879
214,19.069
215,44.699
216,18.428
217,39.200
218,37.637
219,25.210
220,19.043
221,15.590
222,36.094
223,27.904
224,41.220
225,33.451
226,30.429
227,16.961
228,29.819
229,32.635
230,22.636
231,16.380
232,31.684
233,23.417
234,18.944
235,49.314
236,17.314
237,37.641
238,21.262
239,33.943
240,38.401
241,39.003
242,40.395
243,17.754
244,36.228
245,31.756
246,43.635
247,39.351
248,16.424
249,41.939
250,27.085
251,25.536
252,51.482
253,51.208
254,29.043
255,14.391
256,28.064
257,15.204
258,35.837
259,38.529
260,17.226
261,30.271
262,42.041
263,37.795
264,31.589
265,14.949
266,18.106
267,30.189
268,34.094
269,50.121
270,18.314
271,34.126
272,17.558
273,37.042
274,14.509
275,39.973
276,18.499
277,18.797
278,34.335
279,14.136
280,39.549
281,32.715
282,27.157
283,34.228
284,26.641
285,31.659
286,33.034
287,22.478
288,18.582
289,35.009
290,26.037
291,16.525
292,46.199
293,36.664
294,21.168
295,35.117
296,25.486
297,20.611
298,26.296
299,14.091
300,34.807
301,36.906
302,23.296
303,25.978
304,19.853
305,28.560
306,37.960
307,25.472
308,17.557
309,32.412
310,30.381
311,31.080
312,13.812
313,33.779
314,12.195
315,18.349
316,14.549
317,34.665
318,37.092
319,26.749
320,17.404
321,13.833
322,14.753
323,38.313
324,48.487
325,12.832
326,35.085
327,31.656
328,22.591
329,29.829
330,53.655
331,39.464
332,25.748
333,14.680
334,14.622
335,45.871
336,34.821
337,17.473
338,25.883
339,16.223
340,37.180
341,34.858
342,18.107
343,14.226
344,44.199
345,30.520
346,41.119
347,37.194
348,17.104
349,27.395
350,28.010
351,27.260
352,38.758
353,18.608
354,18.982
355,25.449
356,32.312
357,51.132
358,27.484
359,15.488
360,22.465
361,12.922
362,16.667
363,14.721
364,30.969
365,30.062
366,27.052
367,33.531
368,31.241
369,13.509
370,38.043
371,19.698
372,16.330
373,13.254
374,33.467
375,36.749
376,13.848
377,32.910
378,43.077
379,29.334
380,13.350
381,15.104
382,19.096
383,50.182
384,13.447
385,53.923
386,35.310
387,41.078
388,43.348
389,14.934
390,14.117
391,13.962
392,39.801
393,29.964
394,25.052
395,40.264
396,15.962
397,14.256
398,27.856
399,15.049
400,17.866
401,44.125
402,16.648
403,34.590
404,52.741
405,41.044
406,25.207
407,16.161
408,14.021
409,46.967
410,16.593
411,40.612
412,52.777
413,36.791
414,26.699
415,38.196
416,30.769
417,28.084
418,18.957
419,27.833
420,15.725
421,14.735
422,37.012
423,33.109
424,50.380
425,15.483
426,16.282
427,40.454
428,16.015
429,14.583
430,38.496
431,37.790
432,14.460
433,35.276
434,38.632
435,36.348
436,38.714
437,43.581
438,30.681
439,20.000
440,44.044
441,13.954
442,20.902
443,37.741
444,40.629
445,27.303
446,32.338
447,26.711
448,22.859
449,34.576
450,46.900
451,27.440
452,24.000
453,24.307
454,18.650
455,53.902
456,26.178
457,19.943
458,30.017
459,13.284
460,36.900
461,35.845
462,29.500
463,36.771
464,34.996
465,45.793
466,33.050
467,51.171
468,26.937
469,40.472
470,39.969
471,39.054
472,36.938
473,46.700
474,34.369
475,19.541
476,34.839
477,24.713
478,19.586
479,35.367
480,21.120
481,39.042
482,27.404
483,34.946
484,50.173
485,48.690
486,36.428
487,14.833
488,22.350
489,58.138
490,34.058
491,45.253
492,32.292
493,35.389
494,55.474
495,24.793
496,44.483
497,16.030
498,23.569
499,17.854
500,31.008
501,14.038
502,17.307
503,14.617
504,24.147
505,33.452
506,14.256
507,46.755
508,27.456
509,37.125
510,38.038
511,20.496
512,47.060
513,36.118
514,39.178
515,24.656
516,20.083
517,25.273
518,28.361
519,15.879
520,27.223
521,13.790
522,43.043
523,32.310
524,27.256
525,34.663
526,15.699
527,14.895
528,49.799
529,29.759
530,20.414
531,16.747
532,29.983
533,26.921
534,42.194
535,37.474
536,35.803
537,38.497
538,14.728
539,33.306
540,36.750
541,42.660
542,40.947
543,14.554
544,18.494
545,14.976
546,41.630
547,38.322
548,53.760
549,39.088
550,35.039
551,40.023
552,37.896
553,39.354
554,40.708
555,24.894
556,25.014
557,25.801
558,36.331
559,54.438
560,16.971
561,39.890
562,14.062
563,16.093
564,13.184
565,37.641
566,23.316
567,25.994
568,36.063
569,14.096
570,39.675
571,29.532
572,33.162
573,40.128
574,32.101
575,15.202
576,31.016
577,15.780
578,22.840
579,46.954
580,12.139
581,48.810
582,13.392
583,13.559
584,17.190
585,31.635
586,16.534
587,37.373
588,33.238
589,43.621
590,25.417
591,33.189
592,25.502
593,37.608
594,35.876
595,12.884
596,36.985
597,24.892
598,35.547
599,18.389
600,22.827
601,18.222
602,15.089
603,40.964
604,37.832
605,25.268
606,39.188
607,15.010
608,45.265
609,33.237
610,23.755
611,40.496
612,13.756
613,16.983
614,24.646
615,34.643
616,52.689
617,13.767
618,41.552
619,28.117
620,15.833
621,12.746
622,43.209
623,32.026
624,42.880
625,31.572
626,24.254
627,35.793
628,41.267
629,38.604
630,15.261
631,44.738
632,14.166
633,41.340
634,28.221
635,14.687
636,41.540
637,30.151
638,21.288
639,15.081
640,27.259
641,33.206
642,40.265
643,30.920
644,33.167
645,32.585
646,45.833
647,14.495
648,36.554
649,31.705
650,16.670
651,18.321
652,16.480
653,16.142
654,42.611
655,13.870
656,24.054
657,17.580
658,29.045
659,14.201
660,37.517
661,28.071
662,31.580
663,55.631
664,34.201
665,21.349
666,39.174
667,51.084
668,27.685
669,33.072
670,17.100
671,41.347
672,32.606
673,14.436
674,15.496
675,37.600
676,34.353
677,18.455
678,38.354
679,35.083
680,25.501
681,18.970
682,46.319
683,24.802
684,16.097
685,33.363
686,46.254
687,33.118
688,42.656
689,31.045
690,23.463
691,36.682
692,15.577
693,12.641
694,64.161
695,24.460
696,15.253
697,31.092
698,39.407
