# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 28.400,11.858,610.330,55.416,75000
sample_index,rtt_ms
0,25.816
1,38.063
2,42.128
3,64.678
4,24.718
5,26.784
6,41.527
7,12.265
8,43.574
9,38.830
10,41.817
11,37.892
12,36.744
13,37.627
14,12.336
15,27.635
16,28.842
17,26.824
18,38.836
19,24.508
20,17.098
21,28.260
22,13.284
23,37.595
24,23.481
25,39.047
26,34.414
27,17.861
28,32.203
29,12.829
30,26.603
31,30.988
32,13.694
33,35.230
34,25.483
35,14.066
36,39.697
37,20.452
38,26.929
39,26.013
40,36.738
41,14.231
42,49.454
43,14.041
44,27.259
45,13.502
46,33.976
47,34.444
48,13.793
49,35.437
50,32.156
51,15.039
52,34.738
53,21.822
54,44.293
55,37.158
56,31.287
57,23.492
58,38.390
59,42.190
60,58.054
61,19.732
62,38.912
63,20.532
64,16.088
65,45.395
66,16.572
67,43.866
68,24.379
69,15.276
70,14.180
71,24.386
72,32.081
73,13.356
74,27.598
75,30.760
76,18.496
77,39.849
78,14.858
79,13.820
80,29.935
81,13.322
82,16.266
83,49.152
84,12.412
85,35.796
86,39.526
87,24.333
88,14.638
89,64.203
90,13.075
91,36.821
92,12.576
93,13.515
94,15.933
95,30.079
96,25.733
97,15.410
98,16.986
99,36.793
100,13.888
101,51.402
102,38.028
103,51.910
104,26.996
105,33.651
106,42.233
107,37.105
108,32.021
109,31.084
110,13.252
111,26.521
112,28.893
113,23.400
114,40.297
115,24.779
116,28.852
117,48.246
118,25.450
119,28.355
120,18.425
121,14.186
122,27.927
123,13.742
124,30.605
125,38.686
126,14.039
127,35.734
128,37.258
129,26.044
130,39.614
131,31.179
132,17.530
133,31.173
134,26.172
135,39.891
136,36.426
137,25.363
138,12.151
139,36.017
140,39.663
141,41.278
142,32.410
143,40.910
144,16.854
145,13.295
146,38.228
147,23.630
148,38.096
149,18.493
150,26.809
151,24.935
152,35.942
153,16.945
154,49.963
155,37.708
156,15.877
157,35.156
158,46.716
159,48.790
160,34.139
161,23.474
162,43.432
163,12.864
164,42.514
165,29.885
166,13.946
167,13.568
168,40.887
169,14.742
170,41.921
171,28.519
172,23.900
173,15.065
174,29.198
175,15.879
176,13.367
177,31.119
178,12.964
179,14.856
180,16.375
181,28.870
