# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 31.252,11.524,119.712,57.332,50000
sample_index,rtt_ms
0,22.839
1,22.369
2,33.170
3,40.687
4,51.950
5,32.444
6,31.490
7,26.006
8,40.979
9,25.412
10,39.250
11,40.212
12,39.901
13,24.529
14,33.862
15,14.857
16,33.091
17,44.687
18,27.194
19,29.991
20,30.249
21,34.823
22,18.052
23,16.258
24,35.091
25,14.921
26,35.651
27,21.535
28,37.369
29,44.221
30,32.406
31,48.684
32,15.663
33,15.186
34,52.150
35,16.177
36,23.930
37,27.498
38,12.601
39,12.203
40,26.944
41,26.754
42,38.933
43,35.483
44,26.989
45,15.788
46,22.214
47,34.413
48,16.812
49,27.186
50,26.376
51,18.218
52,29.818
53,23.885
54,28.855
55,13.846
56,42.556
57,15.616
58,43.100
59,29.774
60,36.234
61,37.554
62,19.489
63,44.430
64,16.800
65,42.081
66,22.678
67,19.104
68,28.945
69,25.228
70,20.145
71,28.128
72,38.740
73,45.059
74,32.504
75,18.047
76,23.234
77,16.124
78,38.636
79,22.872
80,16.780
81,17.097
82,41.295
83,24.870
84,21.104
85,42.897
86,60.294
87,15.920
88,23.595
89,19.015
90,21.813
91,32.042
92,18.913
93,26.071
94,16.976
95,29.982
96,39.320
97,12.896
98,33.194
99,30.017
100,31.215
101,49.129
102,14.600
103,16.194
104,20.523
105,24.024
106,34.410
107,48.465
108,25.980
109,20.778
110,27.187
111,39.454
112,14.662
113,41.407
114,19.252
115,28.226
116,25.100
117,38.294
118,40.124
119,18.092
120,36.771
121,12.871
122,38.069
123,30.872
124,24.220
125,28.034
126,36.543
127,16.570
128,34.294
129,16.993
130,26.230
131,21.213
132,17.108
133,17.791
134,15.949
135,32.619
136,25.006
137,46.279
138,32.122
139,52.830
140,43.813
141,20.744
142,38.989
143,49.449
144,17.827
145,36.382
146,24.841
147,38.077
148,50.299
149,14.510
150,41.420
151,38.029
152,37.448
153,36.684
154,16.203
155,37.404
156,43.087
157,27.373
158,44.177
159,32.183
160,18.886
161,29.976
162,26.120
163,17.010
164,39.006
165,14.353
166,35.796
167,24.629
168,25.416
169,13.860
170,27.806
171,14.000
172,16.183
173,18.726
174,22.474
175,26.980
176,50.736
177,13.928
178,39.557
179,36.093
180,15.829
181,17.087
182,14.306
183,24.764
184,29.812
185,48.633
186,28.236
187,15.849
188,27.413
189,26.060
190,52.839
191,23.447
192,21.526
193,22.460
194,28.527
195,36.471
196,28.830
197,40.902
198,32.114
199,36.220
200,26.746
201,30.461
202,51.304
203,23.226
204,47.047
