# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 24.371,9.557,58.208,49.591,517
sample_index,rtt_ms
0,26.795
1,24.849
2,16.814
3,42.673
4,42.468
5,51.589
6,15.467
7,18.818
8,40.394
9,25.635
10,23.639
11,19.594
12,17.470
13,26.738
14,31.215
15,17.921
16,48.429
17,19.507
18,17.709
19,16.490
20,31.392
21,16.556
22,18.413
23,16.100
24,41.457
25,15.567
26,17.410
27,30.008
28,33.312
29,21.971
30,19.388
31,15.747
32,19.351
33,49.509
34,21.184
35,20.432
36,32.411
37,24.674
38,35.578
39,22.001
40,35.677
41,19.684
42,16.510
43,23.795
44,16.008
45,22.728
46,17.751
47,18.328
48,26.101
49,19.661
50,16.583
51,15.368
52,15.722
53,35.811
54,16.914
55,26.508
56,31.776
57,19.303
58,20.241
59,18.340
60,37.403
61,18.048
62,29.793
63,15.322
64,16.516
65,24.572
66,19.740
67,23.163
68,18.506
69,32.300
70,24.441
71,18.508
72,49.606
73,46.050
74,17.515
75,39.091
76,23.108
77,34.702
78,26.618
79,16.989
80,13.839
81,18.014
82,45.537
83,17.840
84,26.016
85,16.868
86,29.366
87,17.870
88,32.819
89,17.161
90,25.147
91,17.945
92,37.584
93,23.894
94,34.555
95,22.016
96,47.950
97,21.861
98,36.427
99,25.055
100,12.755
101,17.909
102,22.488
103,43.966
104,26.154
105,18.608
106,17.175
107,52.185
108,35.339
109,49.966
110,15.487
111,39.767
112,39.384
113,21.085
114,46.698
115,33.980
116,18.393
117,44.812
118,34.507
119,18.832
120,12.999
121,26.995
122,19.405
123,22.043
124,44.160
125,36.832
126,16.439
127,17.213
128,27.236
129,18.818
130,19.192
131,19.707
132,33.037
133,25.200
134,14.398
135,16.841
136,15.290
137,26.709
138,24.837
139,17.147
140,16.950
141,29.644
142,21.544
143,22.092
144,45.802
145,31.251
146,16.735
147,26.323
148,44.879
149,19.355
150,46.915
151,35.794
152,25.875
153,38.375
154,19.047
155,23.462
156,16.769
157,16.436
158,30.024
159,17.437
160,32.981
161,50.480
162,18.825
163,16.249
164,13.273
165,27.518
166,25.792
167,21.489
168,13.047
169,14.442
170,28.760
171,44.683
172,44.000
173,21.385
174,22.963
175,16.475
176,24.318
177,38.245
178,16.771
179,15.927
180,32.084
181,18.648
182,18.886
183,15.789
184,39.545
185,21.810
186,19.699
187,17.639
188,14.747
189,47.708
190,28.014
191,17.794
192,41.313
193,42.560
194,15.796
195,24.761
196,18.211
197,17.207
198,15.815
199,15.681
200,28.637
201,21.703
202,15.838
203,15.654
204,14.897
205,25.045
206,18.384
207,17.296
208,18.927
209,29.896
210,33.697
211,15.772
212,16.120
213,30.492
214,15.694
215,18.841
216,22.908
217,18.059
218,28.333
219,17.727
220,32.035
221,16.928
222,32.329
223,47.030
224,15.718
225,23.735
226,15.581
227,18.803
228,17.991
229,19.639
230,25.882
231,15.685
232,44.196
233,14.787
234,26.794
235,18.690
236,18.531
237,16.732
238,36.771
239,18.235
240,31.136
241,15.320
242,28.842
243,18.541
244,13.712
245,17.753
246,18.446
247,30.535
248,23.590
249,28.215
250,38.146
251,14.838
252,32.538
253,38.935
254,16.585
255,21.071
256,16.510
257,40.406
258,38.570
259,27.557
260,25.399
261,16.012
262,31.134
263,15.344
264,14.522
265,27.343
266,18.078
267,15.673
268,17.924
269,13.732
270,25.269
271,16.430
272,17.254
273,15.180
274,15.157
275,40.412
276,28.177
277,13.198
278,26.108
279,15.743
280,41.018
281,14.436
282,26.405
283,15.796
284,15.176
285,14.194
286,58.208
287,15.349
288,15.211
289,31.008
290,16.506
291,21.397
292,14.075
293,36.554
294,16.528
295,21.387
296,30.176
297,21.694
298,18.114
299,39.096
300,29.367
301,40.371
302,14.146
303,37.992
304,27.997
305,13.978
306,13.883
307,25.201
308,23.321
309,14.851
310,13.595
311,25.018
312,14.198
313,30.211
314,17.202
315,24.231
316,16.232
317,35.624
318,46.462
319,18.390
320,37.181
321,23.536
322,15.159
323,18.208
324,34.303
325,25.369
326,16.320
327,38.112
328,17.452
329,17.733
330,29.021
331,42.891
332,29.266
333,37.108
334,15.120
335,26.147
336,29.169
337,15.034
338,39.346
339,27.439
340,28.856
341,24.364
342,13.698
343,20.971
344,12.966
345,13.376
346,25.320
347,19.412
348,21.356
349,13.216
350,24.434
351,14.421
352,17.945
353,18.334
354,17.593
355,27.323
356,30.586
357,15.173
358,39.241
359,22.440
360,17.564
361,16.326
362,39.235
363,20.666
364,19.122
365,18.642
366,15.553
367,49.225
368,17.008
369,41.852
370,15.544
371,18.206
372,21.521
373,46.044
374,38.276
375,14.564
376,39.411
377,24.619
378,41.142
379,22.360
380,31.921
381,43.114
382,46.252
383,25.720
384,17.810
385,45.365
386,17.068
387,18.036
388,15.285
389,26.385
390,20.363
391,39.000
392,23.993
393,14.423
394,17.311
395,26.257
396,41.989
397,21.860
398,17.902
399,16.512
400,38.613
401,37.589
402,16.026
403,17.337
404,25.780
405,26.981
406,18.258
407,15.354
408,25.205
409,14.827
410,18.298
411,18.553
412,15.742
413,26.728
414,16.241
415,17.349
416,22.818
417,14.850
418,26.433
419,20.422
420,21.501
421,16.512
422,27.647
423,18.205
424,17.587
425,21.954
426,16.484
427,27.106
428,22.736
429,38.633
430,34.225
431,18.117
432,22.871
433,15.097
434,13.624
435,27.293
436,40.847
437,16.838
438,25.015
439,14.967
440,22.077
441,31.851
442,22.668
443,15.487
444,18.779
445,30.206
446,17.445
447,26.539
448,28.476
449,18.546
450,40.511
451,15.385
452,20.726
453,17.455
454,14.845
455,31.766
456,17.703
457,25.672
458,13.765
459,25.726
460,15.729
461,34.621
462,26.090
463,28.588
464,27.529
465,15.623
466,15.426
467,26.730
468,33.709
469,16.452
470,16.237
471,26.144
472,35.648
473,18.687
474,15.835
475,22.088
476,15.261
477,17.794
478,19.200
479,16.586
480,28.834
481,18.694
482,16.495
483,32.605
484,48.501
485,17.673
486,16.972
487,15.444
488,36.665
489,38.250
490,32.705
491,17.649
492,17.691
493,17.259
494,13.140
495,25.854
496,17.596
497,17.876
498,30.394
499,27.634
500,23.565
501,29.826
502,39.520
503,18.557
504,21.718
505,13.720
506,15.446
507,26.506
508,18.427
509,13.998
510,16.546
511,17.582
512,48.448
513,17.762
514,17.409
515,23.719
516,17.449
