# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 29.379,14.881,1597.695,56.597,49999
sample_index,rtt_ms
0,20.294
1,56.055
2,21.980
3,39.152
4,27.801
5,37.683
6,16.182
7,63.463
8,12.963
9,14.410
10,53.868
11,26.899
12,40.855
13,22.554
14,16.477
15,49.478
16,15.257
17,34.600
18,15.177
19,44.100
20,41.058
21,34.180
22,28.328
23,36.653
24,18.093
25,37.199
26,36.859
27,47.841
28,16.237
29,33.712
30,38.899
31,43.123
32,28.368
33,34.919
34,20.815
35,30.652
36,18.205
37,39.842
38,37.385
39,17.474
40,34.540
41,24.728
42,34.623
43,35.167
44,16.919
45,26.046
46,29.966
47,38.647
48,42.505
49,47.074
50,20.266
51,43.865
52,25.618
53,49.683
54,28.770
55,20.002
56,17.874
57,47.913
58,24.269
59,30.760
60,33.947
61,37.819
62,18.377
63,23.953
64,49.627
65,27.301
66,51.918
67,42.810
68,16.116
69,25.009
70,19.040
71,31.434
72,41.130
73,36.037
74,45.283
75,56.850
76,39.111
77,26.796
78,36.288
79,38.820
80,27.048
81,33.848
82,12.599
83,33.334
84,28.841
85,35.782
86,52.106
87,24.387
88,44.516
89,22.744
90,38.127
91,25.861
92,12.823
93,18.857
94,50.529
95,15.282
96,32.811
97,39.578
98,12.452
99,32.516
100,38.165
101,15.780
102,22.938
103,30.727
104,15.638
105,16.918
106,27.195
107,32.615
108,23.939
109,44.145
110,47.989
111,33.585
112,16.160
113,46.274
114,39.809
115,38.742
116,24.193
117,43.981
118,16.051
119,47.798
120,13.194
121,15.735
122,47.389
123,37.844
124,34.946
125,25.961
126,37.527
127,37.559
128,13.817
129,17.126
130,28.075
131,44.867
132,47.728
133,15.868
134,36.549
135,38.602
136,25.962
137,30.544
138,16.773
139,30.620
140,24.035
141,41.902
142,31.679
143,15.562
144,15.748
145,34.082
146,21.574
147,37.366
148,41.957
149,47.117
150,20.017
151,33.195
152,31.246
153,13.723
154,40.612
155,14.386
156,42.593
157,46.296
158,24.135
159,20.562
160,13.502
161,43.548
162,40.434
163,15.988
164,26.103
165,14.055
166,18.720
167,51.276
168,34.475
169,45.230
170,30.053
171,41.337
172,26.235
173,35.675
174,41.901
175,30.467
176,49.714
177,15.828
178,38.965
179,25.955
180,36.247
181,35.895
182,21.423
183,29.608
184,28.866
185,16.489
186,37.340
187,34.084
188,19.708
189,14.917
190,28.913
191,44.886
192,34.750
193,37.827
194,44.142
195,35.554
196,53.207
197,13.401
198,42.660
199,27.774
200,18.643
201,13.934
202,33.868
203,30.862
204,49.149
205,20.995
206,23.219
207,36.155
208,41.036
209,14.214
210,26.130
211,15.768
212,42.714
213,25.114
214,17.011
215,57.233
216,32.201
217,43.656
218,32.382
219,13.823
220,33.162
221,28.636
222,29.097
223,21.551
224,19.883
225,37.659
226,12.271
227,16.217
228,35.559
229,34.736
230,27.700
231,37.528
232,24.905
233,25.065
234,39.286
235,41.936
236,36.889
237,34.855
238,29.236
239,38.995
240,43.081
241,38.474
242,27.358
243,16.928
244,15.338
245,37.612
246,17.260
247,43.033
248,40.254
249,45.016
250,31.010
251,51.087
252,13.514
253,42.753
254,35.335
255,24.448
256,44.845
257,37.822
258,14.339
259,35.934
260,39.301
261,36.915
262,18.778
263,29.079
264,43.279
265,38.507
266,38.693
267,35.990
268,27.666
269,34.364
270,14.663
271,35.775
272,40.590
273,37.075
274,23.998
275,15.428
276,33.152
277,22.573
278,39.385
279,25.285
280,14.660
281,32.100
282,42.238
283,40.464
284,31.021
285,18.818
286,21.848
287,14.609
288,21.078
289,64.182
290,41.134
291,35.844
292,41.267
293,27.913
294,36.353
295,46.190
296,44.038
297,44.819
298,36.199
299,45.274
300,45.071
301,32.053
302,36.485
303,33.696
304,43.180
305,31.296
306,40.608
307,42.990
308,38.829
309,29.393
310,30.497
311,23.490
312,41.945
313,38.501
314,39.875
315,37.275
316,34.252
317,14.893
318,38.230
319,38.381
320,24.719
321,34.940
322,15.520
323,20.852
324,40.007
325,41.939
326,48.124
327,40.118
328,52.255
329,18.377
330,41.500
331,26.989
332,24.124
333,38.559
334,49.245
335,28.510
336,18.003
337,30.336
338,16.636
339,22.034
340,40.697
341,30.889
342,50.896
343,31.714
344,17.222
345,30.069
346,38.302
347,46.835
348,39.949
349,41.209
350,37.676
351,33.370
352,28.231
353,35.304
354,24.542
355,35.794
356,41.626
357,41.610
358,47.177
359,34.120
360,23.350
361,24.888
362,21.643
363,19.765
364,24.337
365,28.223
366,37.134
367,42.328
368,16.720
369,42.522
370,15.213
371,38.919
372,39.973
373,23.151
374,19.326
375,33.573
376,35.843
377,15.653
378,50.530
379,35.350
380,36.318
381,41.825
382,45.671
383,37.853
384,39.684
385,20.974
386,12.992
387,40.398
388,43.569
389,39.130
390,15.970
391,44.585
392,30.022
393,45.403
394,18.574
395,28.181
396,61.194
397,43.441
398,27.419
399,18.697
400,47.664
401,61.251
402,44.611
403,32.599
404,31.966
405,28.501
406,22.988
407,90.224
408,16.212
409,18.215
410,50.544
411,21.538
412,38.298
413,48.603
414,32.596
415,32.692
416,28.714
417,16.579
418,43.276
419,26.829
420,30.940
421,53.377
422,14.167
423,15.099
424,28.707
425,26.193
426,41.920
427,32.510
428,63.746
429,22.888
430,14.118
431,28.169
432,44.958
433,32.232
434,49.303
435,18.813
436,42.962
437,16.202
438,33.523
439,24.595
440,40.280
441,30.020
442,16.154
443,31.853
444,42.418
445,35.683
446,56.396
447,19.080
448,38.031
449,12.703
450,20.637
451,26.436
452,22.648
453,41.326
454,17.165
455,24.725
456,62.705
457,20.130
458,37.423
459,42.169
460,18.793
461,41.114
462,21.856
463,42.744
464,28.985
465,15.762
466,17.031
467,15.489
468,22.423
469,31.232
470,37.642
471,28.910
472,36.529
473,30.869
474,21.631
475,13.780
476,53.843
477,38.442
478,15.932
479,23.397
480,28.931
481,15.049
482,24.287
483,15.014
484,27.917
485,43.702
486,13.181
487,44.857
488,26.360
489,48.146
490,36.713
491,32.798
492,46.842
493,31.046
494,40.298
495,39.733
496,18.252
497,27.820
498,13.904
499,30.103
500,35.962
501,14.023
502,35.685
503,39.376
504,21.030
505,37.494
506,30.114
507,20.008
508,13.955
509,36.773
510,24.592
511,17.157
512,29.925
513,30.051
514,46.639
515,41.961
516,20.846
517,29.478
518,20.725
519,31.243
520,16.177
521,34.004
522,59.852
523,41.321
524,15.758
525,26.529
526,53.915
527,32.658
528,30.629
529,40.354
530,48.543
531,17.381
532,47.245
533,25.090
534,77.494
535,26.767
536,41.848
537,33.439
538,45.997
539,14.856
540,14.984
541,34.981
542,20.844
543,41.301
544,35.871
545,14.569
546,17.599
547,32.658
548,15.941
549,18.112
550,39.303
551,37.571
552,47.063
553,29.290
554,39.821
555,23.368
556,14.748
557,18.882
558,34.173
559,32.413
560,19.515
561,34.282
562,14.006
563,44.257
564,41.434
565,25.585
566,28.822
567,31.987
568,23.978
569,31.534
570,37.759
571,42.053
572,19.228
573,53.043
574,53.315
575,38.734
576,32.947
577,33.989
578,20.258
579,29.042
580,35.237
581,15.983
582,25.455
583,27.848
584,39.078
585,40.445
586,19.030
587,37.107
588,30.609
589,14.273
590,35.790
591,31.956
592,14.295
593,32.853
594,45.886
595,52.470
596,52.677
597,18.813
598,36.161
599,25.684
600,38.060
601,40.329
602,41.803
603,15.209
604,24.900
605,47.379
606,44.574
607,37.410
608,45.591
609,33.098
610,45.172
611,30.039
612,41.220
613,16.767
614,30.278
615,17.852
616,51.879
617,32.123
618,19.522
619,25.216
620,52.408
621,41.788
622,35.586
623,19.102
624,17.732
625,17.300
626,22.095
627,15.352
628,29.987
629,24.892
630,44.187
631,44.597
632,32.073
633,41.747
634,28.741
635,37.963
636,24.538
637,54.403
638,17.407
639,37.245
640,42.701
641,16.051
642,47.131
643,40.490
644,15.968
645,33.595
646,41.312
647,45.047
648,42.518
649,15.739
650,13.827
651,43.101
652,18.922
653,33.881
654,42.390
655,33.901
656,40.962
657,40.952
658,37.478
659,28.158
660,45.150
661,19.039
662,39.664
663,49.729
664,18.192
665,16.585
666,39.340
667,19.301
668,37.948
669,25.713
670,40.021
671,26.074
672,40.162
673,36.628
674,25.335
675,39.255
676,31.164
677,13.036
678,26.162
679,27.832
680,38.383
681,49.026
682,16.778
683,34.770
684,34.170
685,44.590
686,34.617
687,28.625
688,34.877
689,38.751
690,41.090
691,37.277
692,36.849
693,26.329
694,28.524
695,16.760
696,16.329
697,14.502
698,23.768
699,17.479
700,16.269
701,52.746
702,40.449
703,36.847
704,16.692
705,18.504
706,40.195
707,16.359
708,28.230
709,26.604
710,40.296
711,36.779
712,31.097
713,52.373
714,26.720
715,43.794
716,34.889
717,17.088
718,16.848
719,24.788
720,23.594
721,44.847
722,51.415
723,14.489
724,53.858
725,37.694
726,40.014
727,29.590
728,43.280
729,14.924
730,41.262
731,16.534
732,17.381
733,42.472
734,24.428
735,14.700
736,17.524
737,40.919
738,31.793
739,13.214
740,30.806
741,24.035
742,40.874
743,42.213
744,20.846
745,44.497
746,15.549
747,20.219
748,36.636
749,36.850
750,44.392
751,37.035
752,47.469
753,44.143
754,36.311
755,29.120
756,49.495
757,32.347
758,35.676
759,44.674
