Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.0002,18.9829,18.9829,2,37.9657,34.9614,24.1598,2.3209,0.3
0.0004,4.02087,4.02087,2,8.04173,34.9614,24.2001,3.03307,0.566667
0.0006,14.9678,14.9678,0.0164499,0.246218,34.9614,24.0036,0.0164499,0.416667
0.0008,20.6972,20.6972,1.54007,31.875,34.9614,24.1063,1.54007,0.266667
0.001,20.9315,20.9315,1.08258,22.66,34.9614,24.0755,1.08258,0.116667
0.0012,0.501326,0.501326,2,1.00265,34.9614,24.2695,4.66373,0.716667
0.0014,4.36687,4.36687,5.6465e-07,2.46575e-06,34.9614,24.0003,5.6465e-07,0.64087
0.0016,18.0646,18.0646,1.66643,30.1034,34.9614,24.1095,1.66643,0.546837
0.0018,12.3202,12.3202,2,24.6405,34.9614,24.182,2.65212,0.416667
0.002,19.3717,19.3717,0.393554,7.62379,34.9614,24.0282,0.393554,0.266667
0.0022,3.10392,3.10392,2,6.20785,34.9614,24.2844,4.89639,0.716667
0.0024,0.41445,0.41445,0,0,34.9614,23.9996,-0.072849,0.739504
0.0026,14.5768,14.5768,1.64224,23.9386,34.9614,24.0983,1.64224,0.696837
0.0028,8.63916,8.63916,2,17.2783,34.9614,24.179,2.73939,0.566667
0.003,15.6637,15.6637,0.31154,4.87987,34.9614,24.0232,0.31154,0.416667
0.0032,5.49435,5.49435,2,10.9887,34.9614,24.2606,4.49629,0.716667
0.0034,0.283848,0.283848,3.3835e-06,9.60398e-07,34.9614,24.0034,3.3835e-06,0.739173
0.0036,12.6832,12.6832,2,25.3664,34.9614,24.1114,2.11035,0.779705
0.0038,4.38288,4.38288,2,8.76576,34.9614,24.1574,2.57783,0.674385
0.004,15.7546,15.7546,0.158642,2.49935,34.9614,24.0127,0.158642,0.46643
0.0042,5.84637,5.84637,2,11.6927,34.9614,24.2686,4.60037,0.716667
0.0044,5.183,5.183,0,0,34.9614,24.0003,-2.48994e-06,0.589173
0.0046,15.9388,15.9388,2,31.8777,34.9614,24.1491,2.35748,0.629705
0.0048,7.56467,7.56467,2,15.1293,34.9614,24.1557,2.30752,0.524385
0.005,9.55367,9.55367,1.2791,12.2201,34.9614,24.0832,1.2791,0.61643
0.0052,6.96805,6.96805,2,13.9361,34.9614,24.1636,2.7837,0.716667
0.0054,10.5182,10.5182,0.651434,6.85192,34.9614,24.045,0.651434,0.570572
0.0056,17.3201,17.3201,2,34.6402,34.9614,24.155,2.30385,0.479705
0.0058,9.43587,9.43587,2,18.8717,34.9614,24.1575,2.29657,0.458932
0.006,14.3168,14.3168,0.959119,13.7315,34.9614,24.0664,0.959119,0.46643
0.0062,4.65446,4.65446,2,9.30892,34.9614,24.2236,3.83784,0.716667
0.0064,3.3294,3.3294,0.207957,0.692374,34.9614,24.0153,0.207957,0.720572
0.0066,18.0619,18.0619,1.34958,24.3759,34.9614,24.0893,1.34958,0.537088
0.0068,17.3071,17.3071,2,34.6142,34.9614,24.1598,2.31469,0.308932
0.007,3.09475,3.09475,2,6.18951,34.9614,24.1927,2.98239,0.61643
0.0072,6.76645,6.76645,0.491737,3.32731,34.9614,24.0313,0.491737,0.716667
0.0074,14.023,14.023,2,28.0461,34.9614,24.155,2.46164,0.637904
0.0076,2.06518,2.06518,2,4.13037,34.9614,24.1611,2.63355,0.687088
0.0078,16.3608,16.3608,0,0,34.9614,24.0009,-5.96375e-07,0.27928
0.008,9.33417,9.33417,2,18.6683,34.9614,24.2746,4.34467,0.628702
0.0082,-0.953412,-0.953412,0.671463,-0.640181,34.9614,24.0427,0.671463,0.716667
0.0084,14.7467,14.7467,0.945177,13.9382,34.9614,24.0596,0.945177,0.650275
0.0086,11.3712,11.3712,2,22.7424,34.9614,24.2062,3.12215,0.541859
0.0088,12.3676,12.3676,0.584955,7.2345,34.9614,24.0424,0.584955,0.42928
0.009,15.6657,15.6657,2,31.3314,34.9614,24.184,2.74306,0.49619
0.0092,-0.931213,-0.931213,2,-1.86243,34.9614,24.1699,2.8678,0.716667
0.0094,9.47632,9.47632,0.0850533,0.805992,34.9614,24.0075,0.0850533,0.696963
0.0096,11.1654,11.1654,2,22.3308,34.9614,24.2077,3.45772,0.691859
0.0098,5.63669,5.63669,0.969974,5.46745,34.9614,24.0662,0.969974,0.57928
