Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.0002,18.9829,18.9829,2,37.9657,34.9614,24.1598,2.3209,0.3
0.0004,4.02087,4.02087,2,8.04173,34.9614,24.2001,3.03307,0.566667
0.0006,14.9678,14.9678,0.0164499,0.246218,34.9614,24.0036,0.0164499,0.416667
0.0008,20.6972,20.6972,1.54007,31.875,34.9614,24.1063,1.54007,0.266667
0.001,20.9315,20.9315,1.08258,22.66,34.9614,24.0755,1.08258,0.116667
0.0012,0.501326,0.501326,2,1.00265,34.9614,24.2695,4.66373,0.716667
0.0014,5.27978,5.27978,8.72832e-07,4.60836e-06,34.9614,24.0003,8.72832e-07,0.596286
0.0016,17.6133,17.6133,2,35.2265,34.9614,24.1303,2.00516,0.566667
0.0018,11.7057,11.7057,2,23.4114,34.9614,24.162,2.36348,0.416667
0.002,20.3157,20.3157,0.469796,9.54425,34.9614,24.0332,0.469796,0.266667
0.0022,2.50758,2.50758,2,5.01517,34.9614,24.2844,4.91169,0.716667
0.0024,0.363142,0.363142,0,0,34.9614,23.9996,-0.0768491,0.746286
0.0026,15.4715,15.4715,1.33604,20.6706,34.9614,24.0835,1.33604,0.647562
0.0028,8.86699,8.86699,2,17.734,34.9614,24.2035,3.10166,0.566667
0.003,14.5607,14.5607,0.107779,1.56934,34.9614,24.0099,0.107779,0.416667
0.0032,6.75913,6.75913,2,13.5183,34.9614,24.2518,4.44374,0.716667
0.0034,-0.251753,-0.251753,0.23182,-0.0583615,34.9614,24.0168,0.23182,0.734783
0.0036,16.2216,16.2216,0.74592,12.1,34.9614,24.0498,0.74592,0.566424
0.0038,12.5625,12.5625,2,25.125,34.9614,24.2195,3.30499,0.500388
0.004,5.59736,5.59736,1.26446,7.07764,34.9614,24.0857,1.26446,0.566667
0.0042,9.64269,9.64269,2,19.2854,34.9614,24.1222,2.09439,0.716667
0.0044,10.0029,10.0029,1.64771,16.4818,34.9614,24.1083,1.64771,0.584783
0.0046,6.76445,6.76445,2,13.5289,34.9614,24.1511,2.48654,0.689925
0.0048,18.6828,18.6828,0.18102,3.38196,34.9614,24.0138,0.18102,0.350388
0.005,11.87,11.87,2,23.7399,34.9614,24.2576,3.86683,0.518496
0.0052,4.5846,4.5846,0.761666,3.49194,34.9614,24.0535,0.761666,0.566667
0.0054,19.6961,19.6961,0.944244,18.598,34.9614,24.0644,0.944244,0.434783
0.0056,8.46942,8.46942,2,16.9388,34.9614,24.2517,3.79178,0.539925
0.0058,16.0706,16.0706,0,0,34.9614,24.0007,-3.74171e-07,0.275388
0.006,18.6012,18.6012,2,37.2024,34.9614,24.1789,2.61304,0.368496
0.0062,6.95153,6.95153,2,13.9031,34.9614,24.1639,2.39639,0.480108
0.0064,19.8718,19.8718,0.143244,2.84652,34.9614,24.011,0.143244,0.284783
0.0066,16.3164,16.3164,2,32.6328,34.9614,24.2087,3.05212,0.389925
0.0068,11.6905,11.6905,1.24661,14.5736,34.9614,24.0878,1.24661,0.369886
0.007,20.9738,20.9738,1.14896,24.098,34.9614,24.0793,1.14896,0.287781
0.0072,15.7279,15.7279,2,31.4557,34.9614,24.1846,2.67526,0.330107
0.0074,13.9082,13.9082,1.30749,18.1848,34.9614,24.0916,1.30749,0.348509
0.0076,17.9684,17.9684,1.95599,35.1461,34.9614,24.1343,1.95599,0.363673
0.0078,12.6443,12.6443,2,25.2886,34.9614,24.1618,2.34424,0.391135
0.008,14.0195,14.0195,1.28316,17.9894,34.9614,24.0889,1.28316,0.417885
0.0082,13.4031,13.4031,2,26.8063,34.9614,24.169,2.50189,0.480108
0.0084,10.7615,10.7615,1.55927,16.7802,34.9614,24.1074,1.55927,0.476772
0.0086,20.3609,20.3609,1.07007,21.7875,34.9614,24.0738,1.07007,0.327639
0.0088,14.8922,14.8922,2,29.7844,34.9614,24.1966,2.85651,0.362325
0.009,12.7344,12.7344,1.16902,14.8868,34.9614,24.0822,1.16902,0.379728
0.0092,8.60102,8.60102,2,17.202,34.9614,24.1915,3.01527,0.630108
0.0094,17.7517,17.7517,0.0459191,0.815145,34.9614,24.0049,0.0459191,0.326773
0.0096,17.2317,17.2317,2,34.4635,34.9614,24.2012,2.94489,0.390257
0.0098,13.3084,13.3084,1.27526,16.9716,34.9614,24.09,1.27526,0.321298
