Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.029,17.0552,17.0552,1.94536,33.1785,34.9614,24.0972,1.94536,0.3
0.058,10.6174,10.6174,1.97115,20.9285,34.9614,24.0651,1.97115,0.566667
0.087,14.2388,14.2388,1.96196,27.9359,34.9614,24.0835,1.96196,0.416667
0.116,17.8558,17.8558,1.92079,34.2974,34.9614,24.1,1.92079,0.266667
0.145,21.3289,21.3289,0.862928,18.4053,34.9614,24.0532,0.862928,0.116667
0.174,9.80284,9.80284,1.97508,19.3613,34.9614,24.061,1.97508,0.600063
0.203,11.2823,11.2823,1.97289,22.2589,34.9614,24.0686,1.97289,0.539313
0.232,17.4531,17.4531,1.93453,33.7636,34.9614,24.0986,1.93453,0.283737
0.261,17.8563,17.8563,1.92076,34.2977,34.9614,24.1,1.92076,0.266667
0.29,17.8568,17.8568,1.92789,34.4259,35.0839,24.1004,1.92789,0.266667
0.319,12.6166,12.6166,1.99525,25.1732,35.4068,24.0763,1.99525,0.484167
0.348,14.8932,14.8932,2.00579,29.8726,35.7297,24.0888,2.00579,0.389313
0.377,19.179,19.179,1.87157,35.8949,36.0526,24.104,1.87157,0.211697
0.406,17.8667,17.8667,2.00268,35.7813,36.3756,24.1043,2.00268,0.266667
0.435,16.0459,16.0459,2.06297,33.1022,36.6985,24.0976,2.06297,0.341667
0.464,16.2263,16.2263,2.07455,33.6621,37.0214,24.0991,2.07455,0.334168
0.493,18.5308,18.5308,2.01788,37.3929,37.3443,24.1086,2.01788,0.239313
0.522,20.0321,20.0321,1.74087,34.8734,37.6672,24.1007,1.74087,0.175678
0.551,18.7309,18.7309,2.03488,38.1151,37.9902,24.1105,2.03488,0.231142
0.58,18.3947,18.3947,2.0837,38.329,38.3131,24.1113,2.0837,0.245304
0.609,18.2071,18.2071,2.1154,38.5152,38.636,24.112,2.1154,0.253228
0.638,20.0836,20.0836,1.77787,35.7062,38.9589,24.1031,1.77787,0.173768
0.667,18.7062,18.7062,2.10919,39.4549,39.2818,24.1144,2.10919,0.232583
0.696,18.679,18.679,2.13008,39.7877,39.6048,24.1154,2.13008,0.233824
0.725,19.5493,19.5493,1.99651,39.0303,39.9277,24.1128,1.99651,0.197122
0.754,20.0555,20.0555,1.84528,37.008,40.2506,24.1068,1.84528,0.175329
0.783,18.7844,18.7844,2.17126,40.7858,40.5735,24.1182,2.17126,0.229703
0.812,17.9892,17.9892,2.25859,40.6304,40.8964,24.1181,2.25859,0.263016
0.841,18.659,18.659,2.22187,41.458,41.2194,24.1201,2.22187,0.235165
0.87,18.9808,18.9808,2.19612,41.684,41.5423,24.1206,2.19612,0.221738
0.899,18.761,18.761,2.24514,42.1209,41.8652,24.122,2.24514,0.231088
0.928,18.1367,18.1367,2.32349,42.1405,42.1881,24.1224,2.32349,0.257288
0.957,17.9372,17.9372,2.35474,42.2373,42.511,24.1228,2.35474,0.265695
0.986,19.2235,19.2235,2.21973,42.671,42.8339,24.1233,2.21973,0.211857
1.015,18.7,18.7,2.32392,43.4574,43.1569,24.1258,2.32392,0.234047
1.044,17.9772,17.9772,2.40816,43.292,43.4798,24.1258,2.40816,0.264338
1.073,18.7245,18.7245,2.35618,44.1183,43.8027,24.1277,2.35618,0.233221
1.102,18.3171,18.3171,2.41933,44.3152,44.1256,24.1285,2.41933,0.250376
1.131,18.8114,18.8114,2.37907,44.7536,44.4485,24.1295,2.37907,0.229764
