# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 23.740,9.343,62.794,57.783,172
sample_index,rtt_ms
0,14.414
1,28.990
2,14.252
3,17.145
4,17.827
5,29.111
6,16.824
7,12.609
8,12.682
9,26.020
10,24.236
11,13.451
12,33.642
13,14.301
14,29.325
15,16.949
16,27.783
17,22.655
18,15.157
19,15.897
20,26.918
21,44.224
22,53.140
23,14.139
24,20.649
25,16.720
26,26.138
27,16.999
28,43.508
29,17.635
30,25.214
31,23.775
32,31.587
33,59.105
34,16.151
35,15.241
36,29.847
37,16.202
38,21.051
39,17.129
40,18.498
41,24.457
42,19.540
43,17.185
44,17.475
45,26.941
46,13.755
47,18.822
48,16.048
49,14.442
50,30.087
51,18.480
52,18.724
53,19.389
54,15.461
55,28.001
56,22.922
57,40.801
58,28.157
59,19.950
60,21.950
61,19.031
62,29.662
63,17.757
64,21.473
65,17.354
66,16.190
67,28.180
68,20.154
69,17.935
70,19.178
71,17.928
72,28.851
73,40.166
74,30.045
75,27.731
76,36.951
77,16.018
78,15.863
79,25.866
80,28.827
81,16.469
82,17.968
83,24.667
84,17.143
85,42.539
86,17.874
87,29.093
88,41.289
89,17.839
90,15.894
91,28.775
92,28.542
93,27.391
94,27.936
95,17.738
96,17.843
97,39.858
98,29.065
99,19.211
100,15.796
101,18.801
102,17.689
103,57.243
104,15.431
105,14.923
106,27.699
107,18.886
108,29.823
109,22.851
110,32.041
111,21.119
112,18.277
113,15.691
114,15.637
115,25.762
116,15.780
117,27.445
118,17.824
119,41.626
120,23.704
121,18.753
122,16.831
123,24.787
124,15.755
125,21.586
126,19.922
127,62.794
128,31.597
129,15.677
130,25.453
131,15.735
132,17.718
133,20.672
134,40.696
135,17.847
136,21.026
137,14.679
138,16.781
139,30.431
140,20.947
141,19.165
142,18.568
143,25.503
144,19.785
145,21.806
146,15.568
147,15.459
148,30.468
149,31.670
150,19.539
151,17.134
152,27.058
153,16.875
154,28.132
155,14.861
156,22.769
157,28.201
158,15.178
159,45.827
160,20.933
161,37.899
162,30.242
163,14.543
164,34.584
165,38.362
166,37.546
167,16.208
168,36.460
169,18.773
170,19.777
171,38.610
