# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 26.964,11.229,94.739,53.568,10000
sample_index,rtt_ms
0,14.911
1,31.408
2,20.613
3,15.354
4,13.519
5,33.177
6,13.580
7,13.121
8,13.214
9,22.487
10,12.154
11,18.186
12,14.770
13,21.487
14,14.214
15,14.784
16,25.365
17,15.741
18,19.162
19,13.411
20,26.280
21,31.753
22,41.858
23,32.631
24,17.149
25,35.041
26,16.503
27,16.740
28,24.348
29,16.053
30,15.182
31,13.727
32,16.904
33,17.343
34,21.608
35,33.261
36,18.065
37,15.622
38,20.030
39,17.305
40,13.755
41,26.015
42,17.451
43,21.653
44,12.589
45,21.431
46,15.681
47,45.491
48,13.063
49,42.064
50,16.499
51,36.125
52,21.176
53,16.046
54,27.964
55,21.490
56,36.519
57,42.765
58,24.000
59,16.250
60,25.021
61,17.455
62,16.617
63,12.666
64,35.391
65,18.515
66,16.339
67,13.441
68,14.118
69,35.600
70,12.555
71,19.636
72,13.139
73,41.242
74,16.035
75,40.230
76,14.934
77,17.289
78,22.842
79,20.846
80,30.901
81,31.434
82,15.760
83,31.092
84,16.266
85,36.043
86,41.338
87,19.780
88,27.919
89,72.084
90,16.548
91,24.976
92,12.375
93,37.311
94,23.913
95,35.330
96,16.199
97,37.533
98,16.102
99,13.813
100,29.199
101,27.139
102,18.156
103,24.375
104,19.070
105,19.019
106,37.948
107,14.255
108,41.192
109,31.284
110,34.317
111,31.597
112,16.942
113,25.545
114,19.754
115,33.036
116,39.317
117,37.381
118,30.878
119,13.596
120,36.595
121,25.023
122,12.837
123,15.447
124,19.071
125,45.732
126,39.320
127,23.657
128,33.213
129,45.242
130,15.636
131,30.671
132,28.388
133,29.805
134,17.009
135,19.191
136,14.223
137,30.335
138,36.200
139,22.835
140,16.685
141,42.450
142,17.577
143,17.463
144,24.008
145,13.801
146,13.423
147,15.783
148,24.600
149,12.350
150,13.801
151,15.071
152,43.907
153,15.022
154,13.792
155,24.737
156,14.051
157,36.500
158,15.178
159,16.598
160,41.099
161,51.971
162,12.817
163,13.040
164,17.694
165,21.373
166,30.877
167,25.454
168,29.781
169,23.522
170,38.027
171,12.442
172,36.148
173,16.622
174,45.863
175,12.848
176,38.138
177,37.460
178,16.141
179,29.565
180,34.420
181,20.826
182,30.205
183,14.628
184,20.895
185,37.345
186,12.542
187,18.022
188,15.746
189,24.896
190,13.780
191,12.994
192,15.287
193,24.801
194,31.166
195,17.005
196,17.326
197,14.095
198,13.966
199,16.683
200,32.841
201,20.796
202,14.847
203,45.296
204,18.384
205,18.630
206,21.053
207,26.139
208,17.732
209,19.942
210,16.177
211,41.697
212,31.664
213,13.960
214,23.687
215,28.568
216,21.647
217,48.360
218,18.160
219,34.983
220,14.702
221,24.588
222,40.130
223,17.741
224,18.344
225,26.909
226,12.302
227,15.177
228,45.090
229,32.995
230,22.992
231,37.440
232,19.195
233,40.207
234,40.362
235,26.064
236,15.075
237,17.921
238,16.294
239,27.938
240,28.526
241,16.432
242,51.123
243,37.464
244,27.265
245,29.348
246,16.762
247,26.472
248,14.116
249,33.492
250,26.289
251,38.149
252,14.279
253,40.887
254,21.329
255,46.324
256,34.545
257,13.920
258,24.092
259,34.518
260,35.406
261,14.980
262,38.791
263,30.904
