# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 24.462,9.189,52.047,49.550,172
sample_index,rtt_ms
0,45.097
1,25.385
2,26.701
3,17.057
4,29.898
5,17.356
6,37.929
7,23.515
8,19.997
9,15.162
10,16.435
11,21.671
12,19.075
13,14.816
14,51.161
15,15.392
16,42.448
17,15.638
18,42.296
19,17.465
20,16.689
21,15.900
22,23.060
23,15.276
24,18.966
25,23.735
26,22.600
27,26.945
28,21.714
29,37.047
30,27.897
31,16.602
32,43.554
33,15.250
34,37.665
35,17.457
36,18.450
37,36.702
38,29.529
39,24.005
40,16.544
41,46.910
42,16.069
43,19.788
44,15.834
45,25.442
46,16.030
47,34.685
48,19.744
49,25.351
50,22.348
51,20.664
52,14.908
53,25.409
54,18.437
55,17.770
56,22.510
57,16.155
58,27.786
59,29.913
60,16.945
61,21.000
62,24.065
63,17.888
64,37.025
65,19.495
66,29.845
67,40.134
68,27.746
69,52.047
70,19.821
71,17.016
72,16.906
73,30.165
74,20.957
75,23.824
76,14.783
77,33.951
78,22.917
79,33.434
80,14.382
81,48.007
82,41.781
83,27.835
84,32.997
85,19.809
86,15.641
87,27.482
88,15.217
89,20.903
90,33.809
91,26.848
92,17.776
93,20.949
94,35.832
95,29.873
96,20.699
97,18.778
98,19.037
99,27.601
100,16.811
101,20.032
102,22.583
103,19.013
104,37.661
105,17.732
106,18.862
107,48.892
108,25.681
109,17.117
110,19.598
111,29.545
112,16.680
113,20.836
114,16.627
115,18.137
116,23.746
117,17.446
118,34.872
119,17.684
120,26.738
121,15.743
122,19.042
123,17.541
124,15.443
125,31.951
126,42.844
127,17.927
128,25.351
129,17.690
130,18.623
131,15.763
132,15.347
133,26.219
134,14.124
135,18.646
136,13.504
137,16.084
138,27.262
139,15.665
140,16.508
141,24.439
142,15.591
143,38.307
144,20.439
145,40.155
146,31.411
147,22.130
148,32.218
149,35.074
150,41.386
151,15.704
152,37.376
153,29.484
154,24.894
155,46.259
156,17.722
157,43.923
158,14.979
159,22.287
160,17.217
161,13.737
162,27.240
163,24.778
164,41.452
165,23.980
166,21.510
167,21.444
168,16.009
169,31.870
170,15.122
171,20.667
