Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.029,17.0552,17.0552,1.94536,33.1785,34.9614,24.0972,1.94536,0.3
0.058,10.6174,10.6174,1.97115,20.9285,34.9614,24.0651,1.97115,0.566667
0.087,14.2388,14.2388,1.96196,27.9359,34.9614,24.0835,1.96196,0.416667
0.116,17.8558,17.8558,1.92079,34.2974,34.9614,24.1,1.92079,0.266667
0.145,21.3289,21.3289,0.862928,18.4053,34.9614,24.0532,0.862928,0.116667
0.174,10.6103,10.6103,1.9721,20.9245,34.9614,24.0651,1.9721,0.566667
0.203,14.2387,14.2387,1.96478,27.9759,34.9614,24.0836,1.96478,0.416667
0.232,16.05,16.05,1.94748,31.2571,34.9614,24.0921,1.94748,0.341615
0.261,17.8558,17.8558,1.92079,34.2974,34.9614,24.1,1.92079,0.266667
0.29,19.2005,19.2005,1.81668,34.8812,35.0839,24.1011,1.81668,0.210494
0.319,7.1512,7.1512,2.01021,14.3754,35.4068,24.0481,2.01021,0.710216
0.348,16.0578,16.0578,1.99487,32.0332,35.7297,24.0944,1.99487,0.341329
0.377,18.9789,18.9789,1.89949,36.0502,36.0526,24.1045,1.89949,0.220127
0.406,19.89,19.89,1.72965,34.4027,36.3756,24.0994,1.72965,0.181487
0.435,18.0919,18.0919,2.01077,36.3786,36.6985,24.1059,2.01077,0.257408
0.464,9.97952,9.97952,2.09633,20.9204,37.0214,24.0657,2.09633,0.59345
0.493,19.0954,19.0954,1.95329,37.2988,37.3443,24.108,1.95329,0.215622
0.522,18.9996,18.9996,1.98444,37.7036,37.6672,24.1092,1.98444,0.219755
0.551,20.6177,20.6177,1.47526,30.4164,37.9902,24.0878,1.47526,0.149878
0.58,17.5397,17.5397,2.12794,37.3235,38.3131,24.1089,2.12794,0.280865
0.609,8.82678,8.82678,2.19659,19.3888,38.636,24.0621,2.19659,0.6416
0.638,20.3791,20.3791,1.64333,33.4896,38.9589,24.0966,1.64333,0.160752
0.667,19.0159,19.0159,2.06924,39.3485,39.2818,24.1139,2.06924,0.219568
0.696,20.4978,20.4978,1.60308,32.8596,39.6048,24.0948,1.60308,0.155605
0.725,19.1456,19.1456,2.08268,39.8741,39.9277,24.1154,2.08268,0.214288
0.754,9.6461,9.6461,2.29076,22.0969,40.2506,24.0696,2.29076,0.608001
0.783,16.8433,16.8433,2.27531,38.3238,40.5735,24.1121,2.27531,0.310619
0.812,19.2141,19.2141,2.12094,40.752,40.8964,24.1178,2.12094,0.211678
0.841,18.6297,18.6297,2.22515,41.454,41.2194,24.1201,2.22515,0.236392
0.87,19.9332,19.9332,1.95072,38.8841,41.5423,24.1122,1.95072,0.181
0.899,13.2906,13.2906,2.38007,31.6325,41.8652,24.095,2.38007,0.458001
0.928,16.1901,16.1901,2.38132,38.5539,42.1881,24.1132,2.38132,0.338108
0.957,18.3708,18.3708,2.3233,42.681,42.511,24.1238,2.3233,0.247626
0.986,17.6727,17.6727,2.38695,42.1838,42.8339,24.1228,2.38695,0.276785
1.015,17.879,17.879,2.39534,42.8263,43.1569,24.1245,2.39534,0.268319
1.044,16.9195,16.9195,2.44687,41.3997,43.4798,24.121,2.44687,0.308001
1.073,16.6789,16.6789,2.47217,41.2332,43.8027,24.1205,2.47217,0.318933
1.102,17.1334,17.1334,2.48263,42.5357,44.1256,24.1242,2.48263,0.298996
1.131,17.2771,17.2771,2.49648,43.1318,44.4485,24.1257,2.49648,0.293704
