# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 27.687,11.331,94.617,53.612,10000
sample_index,rtt_ms
0,51.672
1,33.952
2,20.312
3,27.791
4,30.748
5,34.212
6,32.844
7,43.223
8,40.223
9,51.300
10,51.336
11,17.254
12,37.213
13,22.015
14,15.017
15,13.995
16,42.724
17,51.901
18,54.213
19,41.842
20,17.929
21,13.902
22,19.816
23,36.934
24,40.340
25,20.237
26,38.775
27,21.299
28,65.219
29,48.694
30,26.916
31,46.694
32,27.116
33,29.961
34,35.867
35,14.973
36,18.958
37,50.997
38,39.548
39,27.941
40,15.559
41,33.493
42,31.396
43,18.848
44,17.254
45,47.405
46,32.183
47,29.907
48,39.764
49,52.895
50,17.446
51,25.752
52,36.747
53,41.972
54,13.247
55,26.586
56,19.750
57,21.858
58,37.201
59,21.668
60,53.299
61,23.332
62,19.600
63,45.730
64,39.197
65,37.076
66,48.754
67,32.394
68,16.756
69,32.795
70,20.408
71,38.477
72,12.924
73,38.467
74,20.209
75,22.123
76,38.334
77,13.382
78,22.350
79,36.848
80,18.846
81,35.301
82,22.496
83,15.674
84,15.314
85,12.635
86,21.527
87,27.281
88,17.381
89,45.723
90,18.084
91,43.443
92,31.596
93,18.594
94,22.554
95,37.109
96,20.014
97,18.048
98,19.187
99,15.860
100,12.561
101,18.132
102,36.661
103,42.154
104,26.326
105,20.095
106,18.231
107,18.499
108,42.687
109,27.814
110,19.991
111,32.227
112,23.947
113,39.963
114,40.405
115,33.605
116,20.936
117,25.451
118,74.595
119,33.414
120,32.009
121,22.569
122,15.344
123,29.917
124,36.654
125,39.645
126,36.156
127,42.110
128,30.277
129,26.098
130,15.729
131,27.434
132,37.005
133,17.724
134,28.316
135,34.384
136,49.986
137,18.527
138,16.539
139,27.510
140,30.277
141,15.994
142,25.217
143,40.910
144,33.991
145,18.411
146,14.630
147,12.595
148,42.328
149,42.253
150,33.599
151,51.235
152,14.144
153,16.025
154,52.250
155,12.631
156,36.173
157,25.867
158,35.000
159,47.155
160,40.013
161,41.415
162,38.043
163,38.495
164,20.471
165,34.871
166,19.094
167,12.529
168,38.600
169,26.977
170,35.669
171,25.925
172,37.302
173,39.189
174,13.723
175,31.708
176,22.568
177,15.417
178,35.499
179,45.356
180,18.470
181,34.075
182,20.761
183,48.705
184,26.313
185,18.631
186,36.981
187,21.816
188,50.705
189,40.322
190,43.367
191,13.988
192,41.360
193,34.681
194,17.465
195,46.343
196,14.177
197,16.452
198,14.538
199,37.884
200,19.605
201,54.459
202,14.361
203,17.575
204,20.910
