Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.029,17.0552,17.0552,1.94536,33.1785,34.9614,24.0972,1.94536,0.3
0.058,10.6174,10.6174,1.97115,20.9285,34.9614,24.0651,1.97115,0.566667
0.087,14.2388,14.2388,1.96196,27.9359,34.9614,24.0835,1.96196,0.416667
0.116,17.8558,17.8558,1.92079,34.2974,34.9614,24.1,1.92079,0.266667
0.145,21.3289,21.3289,0.862928,18.4053,34.9614,24.0532,0.862928,0.116667
0.174,10.6103,10.6103,1.9721,20.9245,34.9614,24.0651,1.9721,0.566667
0.203,14.2387,14.2387,1.96478,27.9759,34.9614,24.0836,1.96478,0.416667
0.232,15.8484,15.8484,1.95596,30.9989,34.9614,24.0915,1.95596,0.350062
0.261,17.8612,17.8612,1.92109,34.313,34.9614,24.1,1.92109,0.266667
0.29,20.5636,20.5636,1.40144,28.8187,35.0839,24.0832,1.40144,0.15167
0.319,10.251,10.251,1.99995,20.5016,35.4068,24.0642,1.99995,0.581578
0.348,17.8618,17.8618,1.9653,35.1037,35.7297,24.1023,1.9653,0.266667
0.377,19.4538,19.4538,1.82309,35.4661,36.0526,24.1026,1.82309,0.200062
0.406,17.8667,17.8667,2.00268,35.7813,36.3756,24.1043,2.00268,0.266667
0.435,17.0395,17.0395,2.04442,34.8359,36.6985,24.1019,2.04442,0.30167
0.464,11.853,11.853,2.09404,24.8207,37.0214,24.0758,2.09404,0.516356
0.493,19.6595,19.6595,1.84092,36.1915,37.3443,24.1046,1.84092,0.191667
0.522,18.7485,18.7485,2.01508,37.7798,37.6672,24.1096,2.01508,0.230302
0.551,17.8792,17.8792,2.09598,37.4744,37.9902,24.1091,2.09598,0.266667
0.58,16.3301,16.3301,2.14673,35.0564,38.3131,24.103,2.14673,0.331253
0.609,12.199,12.199,2.19187,26.7386,38.636,24.0814,2.19187,0.501971
0.638,20.5147,20.5147,1.56991,32.2063,38.9589,24.0929,1.56991,0.154707
0.667,18.3992,18.3992,2.13827,39.3424,39.2818,24.1142,2.13827,0.245423
0.696,18.1952,18.1952,2.17165,39.5137,39.6048,24.1148,2.17165,0.25403
0.725,19.5094,19.5094,2.00657,39.1469,39.9277,24.1131,2.00657,0.198828
0.754,15.8295,15.8295,2.27205,35.9654,40.2506,24.106,2.27205,0.351971
0.783,19.3291,19.3291,2.0808,40.22,40.5735,24.1163,2.0808,0.206703
0.812,18.1759,18.1759,2.24687,40.8389,40.8964,24.1186,2.24687,0.255246
0.841,18.359,18.359,2.2513,41.3316,41.2194,24.1199,2.2513,0.247711
0.87,20.4167,20.4167,1.72093,35.1357,41.5423,24.1013,1.72093,0.159664
0.899,19.4489,19.4489,2.11843,41.2012,41.8652,24.119,2.11843,0.201971
0.928,17.4681,17.4681,2.35742,41.1796,42.1881,24.12,2.35742,0.285067
0.957,18.0931,18.0931,2.34498,42.428,42.511,24.1232,2.34498,0.259205
0.986,18.4468,18.4468,2.33437,43.0617,42.8339,24.1248,2.33437,0.244552
1.015,17.1097,17.1097,2.4253,41.4962,43.1569,24.1211,2.4253,0.300227
1.044,20.2313,20.2313,1.8973,38.3849,43.4798,24.1106,1.8973,0.168372
1.073,17.2431,17.2431,2.457,42.3664,43.8027,24.1235,2.457,0.295116
1.102,18.6888,18.6888,2.37863,44.4538,44.1256,24.1287,2.37863,0.234816
1.131,18.4967,18.4967,2.41958,44.7541,44.4485,24.1296,2.41958,0.242973
