# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 25.431,12.388,112.577,62.048,172
sample_index,rtt_ms
0,26.557
1,29.353
2,24.109
3,27.814
4,31.786
5,33.839
6,40.506
7,17.848
8,41.263
9,19.592
10,12.585
11,15.300
12,17.323
13,22.366
14,18.698
15,28.683
16,26.714
17,16.439
18,29.736
19,42.651
20,34.826
21,16.389
22,14.732
23,25.664
24,20.041
25,16.591
26,49.081
27,17.904
28,16.248
29,18.570
30,16.390
31,28.643
32,20.276
33,22.481
34,39.761
35,17.538
36,15.090
37,19.238
38,16.518
39,27.522
40,20.259
41,15.598
42,16.197
43,33.604
44,19.644
45,35.293
46,15.558
47,46.611
48,16.707
49,15.320
50,37.310
51,19.396
52,16.826
53,35.125
54,29.998
55,19.359
56,18.884
57,52.694
58,18.497
59,40.793
60,41.891
61,19.714
62,31.316
63,15.624
64,28.219
65,18.657
66,18.236
67,56.091
68,33.964
69,19.795
70,16.039
71,29.987
72,42.864
73,17.131
74,38.001
75,32.073
76,19.927
77,16.998
78,112.577
79,28.168
80,18.912
81,17.034
82,15.131
83,15.272
84,27.665
85,21.033
86,33.826
87,34.340
88,22.846
89,19.028
90,14.917
91,35.893
92,16.931
93,22.619
94,15.902
95,17.809
96,35.857
97,21.979
98,39.641
99,25.074
100,15.964
101,18.692
102,28.715
103,39.009
104,19.077
105,16.803
106,19.431
107,42.880
108,76.631
109,30.006
110,38.769
111,16.653
112,28.833
113,17.131
114,15.780
115,34.933
116,29.754
117,18.854
118,19.738
119,14.912
120,15.272
121,26.974
122,22.117
123,15.899
124,48.432
125,15.165
126,18.195
127,15.686
128,16.696
129,41.719
130,20.898
131,14.917
132,50.855
133,14.801
134,21.250
135,17.590
136,15.907
137,26.343
138,32.875
139,18.270
140,47.593
141,19.356
142,21.634
143,13.893
144,14.576
145,26.356
146,17.280
147,34.439
148,15.564
149,28.281
150,16.466
151,43.191
152,27.315
153,16.924
154,18.024
155,19.244
156,39.499
157,17.408
158,32.288
159,15.141
160,24.049
161,17.014
162,23.401
163,15.621
164,32.392
165,19.008
166,17.454
167,34.989
168,27.635
169,17.360
170,20.578
171,18.402
