Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.029,17.0552,17.0552,1.94536,33.1785,34.9614,24.0972,1.94536,0.3
0.058,10.6174,10.6174,1.97115,20.9285,34.9614,24.0651,1.97115,0.566667
0.087,14.2388,14.2388,1.96196,27.9359,34.9614,24.0835,1.96196,0.416667
0.116,17.8558,17.8558,1.92079,34.2974,34.9614,24.1,1.92079,0.266667
0.145,21.3289,21.3289,0.862928,18.4053,34.9614,24.0532,0.862928,0.116667
0.174,10.6103,10.6103,1.9721,20.9245,34.9614,24.0651,1.9721,0.566667
0.203,12.5492,12.5492,1.96787,24.6952,34.9614,24.075,1.96787,0.486827
0.232,16.9752,16.9752,1.94369,32.9944,34.9614,24.0967,1.94369,0.303201
0.261,17.8558,17.8558,1.92079,34.2974,34.9614,24.1,1.92079,0.266667
0.29,17.8568,17.8568,1.92789,34.4259,35.0839,24.1004,1.92789,0.266667
0.319,14.2364,14.2364,1.98828,28.3059,35.4068,24.0846,1.98828,0.416667
0.348,16.1943,16.1943,1.99831,32.3612,35.7297,24.0952,1.99831,0.336827
0.377,18.6408,18.6408,1.93565,36.0822,36.0526,24.1048,1.93565,0.234302
0.406,17.8667,17.8667,2.00268,35.7813,36.3756,24.1043,2.00268,0.266667
0.435,16.0459,16.0459,2.06297,33.1022,36.6985,24.0976,2.06297,0.341667
0.464,17.8717,17.8717,2.04003,36.4587,37.0214,24.1062,2.04003,0.266667
0.493,19.7723,19.7723,1.81029,35.7936,37.3443,24.1034,1.81029,0.186827
0.522,19.4699,19.4699,1.90203,37.0323,37.6672,24.1071,1.90203,0.199853
0.551,18.3962,18.3962,2.06526,37.9929,37.9902,24.1104,2.06526,0.245138
0.58,19.6659,19.6659,1.88655,37.1008,38.3131,24.1072,1.88655,0.191667
0.609,20.1053,20.1053,1.75519,35.2885,38.636,24.1019,1.75519,0.172738
0.638,19.7341,19.7341,1.89853,37.4657,38.9589,24.1082,1.89853,0.188919
0.667,19.7133,19.7133,1.92007,37.8509,39.2818,24.1093,1.92007,0.189902
0.696,18.6659,18.6659,2.1315,39.7862,39.6048,24.1154,2.1315,0.234373
0.725,19.5333,19.5333,2.00059,39.078,39.9277,24.1129,2.00059,0.197806
0.754,16.5402,16.5402,2.26359,37.4403,40.2506,24.1098,2.26359,0.322738
0.783,18.2148,18.2148,2.2257,40.5407,40.5735,24.1178,2.2257,0.253522
0.812,17.7711,17.7711,2.26977,40.3362,40.8964,24.1174,2.26977,0.272083
0.841,18.8061,18.8061,2.20387,41.4462,41.2194,24.12,2.20387,0.228991
0.87,19.3634,19.3634,2.12269,41.1026,41.5423,24.1188,2.12269,0.205525
0.899,17.2498,17.2498,2.34541,40.4578,41.8652,24.1181,2.34541,0.294015
0.928,18.3595,18.3595,2.30606,42.3381,42.1881,24.1228,2.30606,0.247998
0.957,18.4238,18.4238,2.31844,42.7143,42.511,24.1239,2.31844,0.245414
0.986,18.8819,18.8819,2.281,43.0697,42.8339,24.1246,2.281,0.2263
1.015,19.2676,19.2676,2.22682,42.9056,43.1569,24.124,2.22682,0.210077
1.044,19.0184,19.0184,2.29328,43.6145,43.4798,24.1261,2.29328,0.22074
1.073,18.7094,18.7094,2.35819,44.1203,43.8027,24.1277,2.35819,0.233852
1.102,19.5195,19.5195,2.211,43.1575,44.1256,24.1245,2.211,0.199594
1.131,18.9255,18.9255,2.36097,44.6825,44.4485,24.1292,2.36097,0.224955
