# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 30.709,11.118,92.547,54.719,25000
sample_index,rtt_ms
0,26.268
1,27.419
2,26.727
3,36.885
4,42.036
5,17.617
6,30.591
7,36.612
8,32.780
9,44.480
10,22.188
11,24.839
12,33.329
13,15.978
14,42.915
15,18.773
16,25.241
17,40.566
18,33.866
19,41.927
20,31.140
21,46.423
22,35.515
23,51.398
24,21.116
25,14.353
26,13.528
27,15.685
28,15.726
29,23.163
30,36.508
31,33.171
32,37.314
33,15.161
34,32.701
35,45.091
36,25.882
37,53.388
38,25.675
39,13.282
40,28.296
41,32.334
42,49.108
43,39.652
44,38.924
45,16.026
46,27.465
47,30.505
48,25.750
49,48.164
50,28.678
51,18.356
52,32.477
53,12.844
54,33.032
55,26.830
56,17.124
57,31.153
58,35.715
59,39.109
60,36.951
61,38.730
62,13.380
63,24.720
64,16.531
65,16.527
66,36.863
67,33.730
68,45.200
69,25.707
70,15.810
71,40.896
72,29.708
73,47.679
74,25.186
75,15.711
76,33.144
77,40.033
78,14.348
79,23.895
80,15.237
81,33.805
82,64.363
83,44.331
84,16.678
85,40.634
86,39.005
87,41.698
88,35.224
89,20.251
90,52.673
91,31.518
92,47.608
93,27.893
94,15.306
95,38.728
96,29.178
97,25.184
98,32.802
99,45.356
100,46.212
101,36.005
102,26.101
103,25.894
104,50.170
105,14.862
106,30.523
107,41.439
108,34.583
109,32.855
110,35.744
111,46.170
112,29.668
113,19.209
114,28.382
115,38.878
116,44.993
117,28.176
118,15.517
119,38.300
120,32.150
121,16.547
122,21.948
123,35.190
124,32.298
125,25.253
126,36.543
127,37.090
128,41.451
129,49.343
130,18.304
131,31.333
132,50.339
133,23.317
134,36.419
135,36.969
136,16.198
137,44.891
138,16.203
139,15.457
140,17.787
141,33.952
142,16.333
143,43.462
144,35.605
145,27.878
146,16.380
147,12.498
148,48.027
149,23.085
150,25.714
151,38.106
152,14.377
153,31.487
154,53.301
155,35.504
156,24.994
157,15.974
158,25.514
159,23.454
160,26.003
161,13.044
162,43.629
163,19.472
164,44.604
165,33.573
166,47.276
167,34.574
168,32.899
169,18.932
170,27.526
171,16.074
172,28.328
173,35.895
174,46.023
175,42.890
176,41.122
177,24.282
178,30.964
179,24.124
180,41.914
181,27.053
182,15.261
183,17.038
184,14.513
185,37.028
186,25.665
187,44.389
188,13.287
189,17.556
190,16.106
191,23.296
192,35.942
193,14.197
194,45.289
195,39.369
196,37.157
197,42.440
198,32.536
199,23.176
200,38.400
201,21.828
202,18.368
203,26.789
204,38.938
205,19.806
206,12.112
207,38.638
208,13.439
209,36.535
210,37.752
211,19.787
212,46.559
213,33.704
214,41.963
215,31.319
216,15.806
217,32.614
218,28.378
219,15.737
220,43.253
221,37.429
222,39.233
223,45.724
224,26.924
225,33.080
226,43.338
227,25.429
228,12.657
229,44.236
230,35.530
231,14.534
232,22.441
233,14.919
234,18.461
235,17.920
236,17.100
237,18.150
238,51.910
239,41.824
240,49.549
241,12.963
242,19.896
243,15.985
244,38.050
245,37.600
246,26.716
247,34.144
248,23.317
249,38.416
250,18.016
251,12.715
252,41.521
253,37.825
254,32.116
255,30.876
256,50.268
257,35.767
258,49.087
259,16.086
260,32.219
261,29.212
262,17.936
263,14.907
264,35.070
265,15.823
266,16.335
267,28.581
268,33.471
269,18.323
270,16.027
271,34.327
272,38.771
273,41.131
274,33.582
275,38.308
276,40.095
277,21.795
278,39.560
279,37.000
280,30.411
281,33.788
282,46.557
283,16.468
284,17.883
285,13.113
286,42.328
287,39.703
288,25.664
289,35.574
290,48.517
291,12.954
292,42.659
293,57.198
294,17.615
295,30.859
296,27.230
297,32.327
298,38.429
299,35.822
300,27.771
301,32.807
302,15.728
303,29.267
304,36.479
305,44.252
306,32.892
307,45.255
308,31.733
309,13.645
310,12.970
311,38.894
312,39.601
313,15.390
314,32.957
315,48.361
316,31.608
317,14.409
318,52.430
319,29.811
320,24.415
321,40.092
322,16.442
323,24.271
324,19.634
325,28.705
326,55.748
327,29.380
328,38.252
329,38.584
330,38.514
331,35.757
332,39.995
333,36.180
334,14.106
335,42.809
336,40.124
337,37.705
338,37.451
339,39.637
340,32.279
341,44.425
342,34.551
343,46.939
344,14.910
345,35.836
346,36.811
347,12.928
348,35.584
349,27.465
350,36.603
351,40.875
352,19.302
353,14.529
354,13.659
355,46.646
356,31.751
357,26.812
358,15.798
359,30.207
360,24.082
361,17.215
362,15.250
363,34.224
364,35.154
365,17.632
366,38.246
367,38.669
368,25.634
369,13.486
370,22.722
371,42.711
372,17.837
373,12.762
374,16.333
375,44.655
376,17.162
377,12.925
378,26.775
379,38.056
380,46.563
381,13.394
382,38.493
383,50.283
384,37.239
385,37.991
386,38.972
387,37.391
388,39.611
389,30.383
390,33.871
391,33.293
392,37.997
393,38.598
394,37.654
395,23.689
396,45.737
397,39.922
398,42.085
399,16.912
400,31.314
401,29.443
402,35.868
403,32.445
404,41.321
405,38.560
406,23.270
407,38.928
408,13.825
409,49.517
410,33.104
411,28.156
412,16.443
413,25.987
414,35.730
415,31.138
