# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 25.291,10.371,54.288,53.690,172
sample_index,rtt_ms
0,49.974
1,35.527
2,15.468
3,26.081
4,15.601
5,22.502
6,15.464
7,25.213
8,18.465
9,17.216
10,41.274
11,16.145
12,43.782
13,26.013
14,36.468
15,37.779
16,35.790
17,15.644
18,42.413
19,34.735
20,34.307
21,23.533
22,15.838
23,18.682
24,16.854
25,29.786
26,15.909
27,35.369
28,16.183
29,25.870
30,30.823
31,29.551
32,38.525
33,38.501
34,38.800
35,29.774
36,18.735
37,14.731
38,15.477
39,43.133
40,36.394
41,16.170
42,15.523
43,34.390
44,13.123
45,14.789
46,30.415
47,15.558
48,20.301
49,16.379
50,15.049
51,26.920
52,15.798
53,19.994
54,28.774
55,17.069
56,44.292
57,18.906
58,15.470
59,42.811
60,20.283
61,35.619
62,15.951
63,29.028
64,16.796
65,17.963
66,37.984
67,54.288
68,15.176
69,17.457
70,30.351
71,20.119
72,15.961
73,39.002
74,28.037
75,21.156
76,18.631
77,46.804
78,16.803
79,17.842
80,18.017
81,18.855
82,30.632
83,36.283
84,28.844
85,34.008
86,48.678
87,16.166
88,30.247
89,19.423
90,19.037
91,17.603
92,15.796
93,29.790
94,44.589
95,38.889
96,35.843
97,16.889
98,16.973
99,27.745
100,15.702
101,20.905
102,15.624
103,16.939
104,26.397
105,15.655
106,20.102
107,25.217
108,16.501
109,29.661
110,16.765
111,16.624
112,20.798
113,15.172
114,53.719
115,36.717
116,38.051
117,39.313
118,48.114
119,53.678
120,41.930
121,15.914
122,35.646
123,26.853
124,29.783
125,30.211
126,19.649
127,15.794
128,34.603
129,18.796
130,17.581
131,17.620
132,27.788
133,15.566
134,19.534
135,17.181
136,15.439
137,24.900
138,15.558
139,40.559
140,41.881
141,33.061
142,15.594
143,13.069
144,26.731
145,21.696
146,18.169
147,19.918
148,16.872
149,24.812
150,18.018
151,19.912
152,15.332
153,28.519
154,15.960
155,43.670
156,25.783
157,15.433
158,16.410
159,15.605
160,14.151
161,27.020
162,15.885
163,14.152
164,18.874
165,15.254
166,26.054
167,44.318
168,15.682
169,29.738
170,18.798
171,21.513
