# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 24.647,9.411,54.910,51.819,172
sample_index,rtt_ms
0,37.694
1,41.689
2,16.422
3,24.032
4,27.464
5,15.999
6,19.183
7,15.951
8,26.165
9,16.233
10,32.861
11,15.763
12,27.264
13,17.566
14,17.450
15,39.062
16,15.608
17,18.429
18,34.146
19,27.560
20,23.091
21,27.046
22,17.085
23,44.555
24,17.630
25,13.351
26,15.558
27,50.595
28,42.219
29,30.595
30,23.675
31,18.690
32,15.168
33,30.383
34,15.642
35,20.523
36,14.121
37,16.739
38,18.851
39,19.167
40,31.049
41,36.365
42,46.696
43,15.010
44,51.786
45,21.536
46,14.032
47,25.148
48,21.854
49,15.042
50,17.070
51,23.267
52,15.501
53,30.049
54,19.502
55,32.949
56,27.498
57,16.634
58,41.256
59,27.991
60,17.693
61,23.536
62,29.655
63,15.621
64,22.691
65,39.794
66,26.640
67,34.824
68,16.584
69,16.309
70,44.786
71,18.603
72,35.967
73,44.939
74,18.132
75,17.958
76,36.739
77,19.797
78,23.972
79,17.195
80,15.725
81,28.712
82,21.051
83,24.350
84,17.800
85,30.639
86,18.280
87,19.163
88,15.888
89,16.988
90,30.033
91,20.036
92,37.939
93,28.136
94,17.088
95,44.161
96,42.199
97,21.965
98,19.358
99,17.107
100,15.210
101,25.007
102,17.119
103,21.422
104,14.649
105,15.769
106,28.949
107,18.840
108,19.167
109,18.987
110,27.786
111,17.829
112,39.375
113,17.025
114,24.110
115,15.366
116,19.887
117,19.059
118,15.738
119,26.071
120,17.146
121,39.484
122,41.907
123,15.863
124,25.832
125,19.813
126,16.824
127,27.091
128,32.879
129,18.911
130,20.777
131,51.902
132,16.722
133,27.926
134,25.774
135,18.905
136,27.780
137,17.962
138,25.804
139,33.821
140,18.748
141,17.929
142,26.557
143,39.736
144,16.959
145,20.794
146,54.910
147,15.771
148,15.742
149,15.742
150,27.124
151,21.577
152,30.735
153,18.819
154,26.566
155,28.936
156,18.577
157,17.862
158,38.581
159,21.509
160,16.730
161,16.779
162,25.712
163,17.926
164,33.571
165,14.969
166,30.272
167,17.957
168,37.713
169,41.956
170,33.408
171,19.109
