# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 29.806,11.731,112.873,59.407,10000
sample_index,rtt_ms
0,17.275
1,24.273
2,18.690
3,38.977
4,16.195
5,23.238
6,43.802
7,36.039
8,35.683
9,27.107
10,37.036
11,51.236
12,17.728
13,33.217
14,35.793
15,12.263
16,50.343
17,25.092
18,24.767
19,41.306
20,21.139
21,30.837
22,33.030
23,19.387
24,24.919
25,18.715
26,36.300
27,37.104
28,32.025
29,40.225
30,34.336
31,39.374
32,37.930
33,14.297
34,27.143
35,17.403
36,24.879
37,46.333
38,40.123
39,39.154
40,26.873
41,16.169
42,22.011
43,22.368
44,36.946
45,24.634
46,29.541
47,17.161
48,36.367
49,41.405
50,25.221
51,15.767
52,14.973
53,47.405
54,13.745
55,26.701
56,36.739
57,29.893
58,35.395
59,36.914
60,47.060
61,28.318
62,18.603
63,52.111
64,31.965
65,38.204
66,26.286
67,38.400
68,37.067
69,40.764
70,36.543
71,30.572
72,45.351
73,36.782
74,55.256
75,35.396
76,41.548
77,44.388
78,37.061
79,49.016
80,29.092
81,24.267
82,22.009
83,43.440
84,26.351
85,39.889
86,31.184
87,47.963
88,20.106
89,27.850
90,38.832
91,42.910
92,45.072
93,38.970
94,36.170
95,36.370
96,40.763
97,34.090
98,40.123
99,42.103
100,31.315
101,33.437
102,13.875
103,18.505
104,36.126
105,43.717
106,37.507
107,39.132
108,40.517
109,43.465
110,15.487
111,34.301
112,38.616
113,44.754
114,14.987
115,31.932
116,15.627
117,18.365
118,40.254
119,29.831
120,31.864
121,15.822
122,49.280
123,36.561
124,36.595
125,23.686
126,13.990
127,23.945
128,43.191
129,25.161
130,19.395
131,33.134
132,14.250
133,15.258
134,18.082
135,20.933
136,16.591
137,37.873
138,18.762
139,37.225
140,57.435
141,31.528
142,37.200
143,16.400
144,54.972
145,43.600
146,13.166
147,25.480
148,25.846
149,16.443
150,29.382
151,20.632
152,17.797
153,26.098
154,19.059
155,17.122
156,26.111
157,25.412
158,49.382
159,32.960
160,39.600
161,39.493
162,30.610
163,37.123
164,22.421
165,40.299
166,50.006
167,36.638
168,29.281
169,40.978
170,40.774
171,39.256
172,36.075
173,36.968
174,45.470
175,30.059
176,52.167
177,37.202
178,24.237
179,37.941
180,33.090
181,36.820
182,38.385
183,24.818
184,15.098
185,18.191
186,41.385
187,30.919
188,45.282
189,15.731
190,32.835
191,24.027
192,36.296
193,48.540
194,19.117
195,15.150
196,46.462
197,36.447
198,29.372
199,26.112
200,52.679
201,41.965
202,14.233
203,28.231
204,18.016
205,29.307
206,34.985
207,37.706
208,25.776
209,38.421
210,49.252
211,14.770
212,13.905
213,37.247
214,17.420
215,17.707
216,38.739
217,17.655
218,37.963
219,44.536
220,38.747
221,18.889
222,34.252
223,37.451
224,38.826
225,34.357
226,39.550
227,40.034
228,41.441
229,35.864
230,37.571
231,55.222
232,29.707
233,25.505
234,39.980
235,39.375
236,20.645
237,26.996
238,29.180
239,31.050
240,35.757
241,29.470
242,17.844
243,52.737
244,22.746
245,15.531
246,17.545
247,84.718
248,39.919
249,55.161
250,15.625
251,23.761
252,22.784
253,41.858
254,31.850
255,45.668
256,29.975
257,38.149
258,37.270
