Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.0002,20.7162,20.7162,2.67591,55.4348,85.0695,24.1835,2.67591,0.3
0.0004,11.9943,11.9943,5,59.9717,85.0695,24.4366,6.7113,0.566667
0.0006,11.553,11.553,3.17494,36.6802,85.0695,24.2164,3.17494,0.416667
0.0008,20.1917,20.1917,3.35422,67.7272,85.0695,24.2308,3.35422,0.266667
0.001,20.6594,20.6594,2.59762,53.6652,85.0695,24.18,2.59762,0.116667
0.0012,12.2196,12.2196,5,61.0979,85.0695,24.4327,6.70762,0.566667
0.0014,11.4005,11.4005,3.21766,36.683,85.0695,24.2198,3.21766,0.416667
0.0016,20.2039,20.2039,3.33934,67.4676,85.0695,24.2282,3.33934,0.266667
0.0018,19.1775,19.1775,4.27139,81.9144,85.0695,24.2929,4.27139,0.266667
0.002,20.2329,20.2329,3.14413,63.6147,85.0695,24.215,3.14413,0.124546
0.0022,16.1563,16.1563,5,80.7813,85.0695,24.375,5.64309,0.416667
0.0024,17.5302,17.5302,3.97342,69.6548,85.0695,24.2728,3.97342,0.266667
0.0026,19.8472,19.8472,3.62433,71.9327,85.0695,24.2499,3.62433,0.191667
0.0028,18.9625,18.9625,4.39133,83.2707,85.0695,24.3014,4.39133,0.266667
0.003,19.9482,19.9482,3.46821,69.1846,85.0695,24.2374,3.46821,0.150592
0.0032,18.6996,18.6996,4.58158,85.6738,85.0695,24.3129,4.58158,0.292175
0.0034,19.4207,19.4207,3.94235,76.5634,85.0695,24.2716,3.94235,0.191667
0.0036,19.5544,19.5544,3.89759,76.2151,85.0695,24.2661,3.89759,0.207185
0.0038,18.741,18.741,4.4931,84.2052,85.0695,24.304,4.4931,0.266667
0.004,17.4051,17.4051,4.86951,84.7541,85.0695,24.3327,4.86951,0.300592
0.0042,19.4218,19.4218,3.91959,76.1254,85.0695,24.2673,3.91959,0.195445
0.0044,19.4046,19.4046,4.0263,78.1288,85.0695,24.2775,4.0263,0.221096
0.0046,17.1654,17.1654,5,85.8271,85.0695,24.3487,5.09398,0.331769
0.0048,18.0143,18.0143,4.41048,79.4519,85.0695,24.3038,4.41048,0.266667
0.005,16.3588,16.3588,5,81.7939,85.0695,24.3525,5.15431,0.346046
0.0052,15.6471,15.6471,4.65415,72.8241,85.0695,24.3191,4.65415,0.345445
