# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 24.762,9.299,53.439,50.334,172
sample_index,rtt_ms
0,16.851
1,36.943
2,15.294
3,34.305
4,14.944
5,30.953
6,16.832
7,39.188
8,26.071
9,23.256
10,29.239
11,24.302
12,17.352
13,21.521
14,33.202
15,30.101
16,23.961
17,22.151
18,40.155
19,16.913
20,16.211
21,30.330
22,30.238
23,17.794
24,17.791
25,19.243
26,28.204
27,18.912
28,33.774
29,19.189
30,28.829
31,48.348
32,29.490
33,15.788
34,16.772
35,16.221
36,17.987
37,27.984
38,39.778
39,17.954
40,46.694
41,16.120
42,27.871
43,25.835
44,14.757
45,29.908
46,18.430
47,27.521
48,16.855
49,19.638
50,36.818
51,32.984
52,19.886
53,18.072
54,18.982
55,15.913
56,28.659
57,23.010
58,21.334
59,15.855
60,26.725
61,32.679
62,17.954
63,18.971
64,24.865
65,39.920
66,41.861
67,26.871
68,36.457
69,15.840
70,41.912
71,22.223
72,18.592
73,32.063
74,47.740
75,18.709
76,36.226
77,30.616
78,21.931
79,19.874
80,17.934
81,32.299
82,17.274
83,19.269
84,15.291
85,19.209
86,28.974
87,20.342
88,15.443
89,16.947
90,35.235
91,39.600
92,47.695
93,24.510
94,16.396
95,51.821
96,16.624
97,48.501
98,26.382
99,12.785
100,15.351
101,27.685
102,32.152
103,16.045
104,31.345
105,14.919
106,24.248
107,13.185
108,16.066
109,22.741
110,19.813
111,33.967
112,26.211
113,14.254
114,36.745
115,13.786
116,24.297
117,20.368
118,49.727
119,53.439
120,29.553
121,20.891
122,19.213
123,16.097
124,16.144
125,17.522
126,25.486
127,21.297
128,16.427
129,15.955
130,31.017
131,38.650
132,29.528
133,15.785
134,33.024
135,21.660
136,30.454
137,36.277
138,20.613
139,25.076
140,13.274
141,16.003
142,24.208
143,30.650
144,15.853
145,14.235
146,14.888
147,13.486
148,25.303
149,22.293
150,18.940
151,17.196
152,25.087
153,18.356
154,15.546
155,15.782
156,26.803
157,15.777
158,45.330
159,28.906
160,15.548
161,25.558
162,16.359
163,27.240
164,43.407
165,22.090
166,29.142
167,19.391
168,16.826
169,19.102
170,23.042
171,22.444
