Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.0002,20.7162,20.7162,2.67591,55.4348,85.0695,24.1835,2.67591,0.3
0.0004,11.9943,11.9943,5,59.9717,85.0695,24.4366,6.7113,0.566667
0.0006,11.553,11.553,3.17494,36.6802,85.0695,24.2164,3.17494,0.416667
0.0008,20.1917,20.1917,3.35422,67.7272,85.0695,24.2308,3.35422,0.266667
0.001,20.6594,20.6594,2.59762,53.6652,85.0695,24.18,2.59762,0.116667
0.0012,8.40831,8.40831,5,42.0415,85.0695,24.4479,7.37319,0.665507
0.0014,11.8265,11.8265,2.13673,25.2701,85.0695,24.1466,2.13673,0.425489
0.0016,20.5022,20.5022,2.95597,60.604,85.0695,24.2025,2.95597,0.266667
0.0018,19.4484,19.4484,4.08531,79.4527,85.0695,24.2804,4.08531,0.266667
0.002,19.0269,19.0269,4.28524,81.5347,85.0695,24.2953,4.28524,0.239465
0.0022,9.77476,9.77476,5,48.8738,85.0695,24.4047,6.17544,0.515507
0.0024,11.4385,11.4385,3.47119,39.7053,85.0695,24.2327,3.47119,0.490067
0.0026,20.7142,20.7142,2.58302,53.5052,85.0695,24.1774,2.58302,0.189722
0.0028,19.856,19.856,3.70131,73.4933,85.0695,24.2548,3.70131,0.250351
0.003,18.281,18.281,4.76422,87.0948,85.0695,24.3249,4.76422,0.300865
0.0032,8.18913,8.18913,5,40.9456,85.0695,24.3901,5.97079,0.529198
0.0034,13.3668,13.3668,3.2852,43.9125,85.0695,24.2202,3.2852,0.481527
0.0036,19.1074,19.1074,4.45053,85.0382,85.0695,24.3033,4.45053,0.339723
0.0038,15.4515,15.4515,5,77.2577,85.0695,24.3585,5.27952,0.358548
0.004,16.3997,16.3997,4.36961,71.6605,85.0695,24.2974,4.36961,0.331565
0.0042,10.1516,10.1516,5,50.7579,85.0695,24.3922,5.9844,0.532852
0.0044,17.9484,17.9484,2.98188,53.5199,85.0695,24.2046,2.98188,0.331527
0.0046,17.2827,17.2827,5,86.4135,85.0695,24.3645,5.36959,0.39989
0.0048,18.9917,18.9917,3.97193,75.4335,85.0695,24.2743,3.97193,0.208548
0.005,18.1907,18.1907,4.7578,86.5475,85.0695,24.3269,4.7578,0.294996
0.0052,14.015,14.015,5,70.0749,85.0695,24.3603,5.28157,0.385836
