# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 30.564,10.997,105.520,54.282,25000
sample_index,rtt_ms
0,30.386
1,29.372
2,13.937
3,14.418
4,41.703
5,33.937
6,29.770
7,36.317
8,37.678
9,26.820
10,15.957
11,25.751
12,26.959
13,38.096
14,32.023
15,16.498
16,26.267
17,30.466
18,31.140
19,46.916
20,43.212
21,14.020
22,30.746
23,37.212
24,47.824
25,13.322
26,13.858
27,18.246
28,59.630
29,28.523
30,27.007
31,16.297
32,32.039
33,51.514
34,14.175
35,43.472
36,19.584
37,48.248
38,31.136
39,12.803
40,29.406
41,40.503
42,48.766
43,15.949
44,36.047
45,28.226
46,13.817
47,14.264
48,40.677
49,14.815
50,21.793
51,27.277
52,27.341
53,16.962
54,40.666
55,13.628
56,15.408
57,12.751
58,33.776
59,42.483
60,38.271
61,37.025
62,14.639
63,32.671
64,15.464
65,15.065
66,44.482
67,31.721
68,48.435
69,31.272
70,35.288
71,39.914
72,22.918
73,37.715
74,12.831
75,20.809
76,20.702
77,27.788
78,16.325
79,30.567
80,26.561
81,34.487
82,18.592
83,28.955
84,16.086
85,27.164
86,26.113
87,14.510
88,17.865
89,45.059
90,27.388
91,16.610
92,49.300
93,47.374
94,30.880
95,34.667
96,19.611
97,38.252
98,43.445
99,61.387
100,23.808
101,21.577
102,68.806
103,42.694
104,32.103
105,43.259
106,44.864
107,46.159
108,45.568
109,50.600
110,40.015
111,32.769
112,44.615
113,33.653
114,21.609
115,59.168
116,30.528
117,14.449
118,34.359
119,14.932
120,26.119
121,42.081
122,24.180
123,33.263
124,38.908
125,13.804
126,15.665
127,52.193
128,37.196
129,24.425
130,43.300
131,27.606
132,38.694
133,18.455
134,22.816
135,27.302
136,13.572
137,47.674
138,42.011
139,26.049
140,37.579
141,14.587
142,28.380
143,28.662
144,14.628
145,29.629
146,37.289
147,15.467
148,28.570
149,19.282
150,12.349
151,14.617
152,28.124
153,38.113
154,15.418
155,49.677
156,34.232
157,40.388
158,13.777
159,46.038
160,18.221
161,30.450
162,40.590
163,37.800
164,41.685
165,36.023
166,44.590
167,13.239
168,41.243
169,23.235
170,38.029
171,15.727
172,28.045
173,37.309
174,15.401
175,27.746
176,25.418
177,53.720
178,13.043
179,32.918
180,32.121
181,12.713
182,33.718
183,29.038
184,27.466
185,14.672
186,14.566
187,24.880
188,38.811
189,42.425
190,37.097
191,46.125
192,28.288
193,14.208
194,42.445
195,15.015
196,20.842
197,42.691
198,35.136
199,49.161
200,12.687
201,37.693
202,27.995
203,33.068
