Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.029,17.4276,17.4276,4.82881,84.1546,85.0695,24.2412,4.82881,0.3
0.058,10.9502,10.9502,4.97347,54.4604,85.0695,24.1643,4.97347,0.566667
0.087,14.5708,14.5708,4.95425,72.1872,85.0695,24.2108,4.95425,0.416667
0.116,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.145,21.4104,21.4104,1.40852,30.157,85.0695,24.0868,1.40852,0.116667
0.174,10.9485,10.9485,4.96936,54.4071,85.0695,24.1641,4.96936,0.566667
0.203,12.0004,12.0004,4.96722,59.6086,85.0695,24.1779,4.96722,0.522777
0.232,16.7237,16.7237,4.89767,81.9073,85.0695,24.2357,4.89767,0.328815
0.261,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.29,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.319,14.5839,14.5839,4.95331,72.2384,85.0695,24.2108,4.95331,0.416667
0.348,12.8551,12.8551,4.96851,63.8705,85.0695,24.1887,4.96851,0.488662
0.377,18.584,18.584,4.54207,84.4099,85.0695,24.241,4.54207,0.251164
0.406,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.435,16.4289,16.4289,4.91686,80.7787,85.0695,24.2326,4.91686,0.341667
0.464,12.656,12.656,4.96393,62.8233,85.0695,24.1861,4.96393,0.496237
0.493,16.4929,16.4929,4.91101,80.997,85.0695,24.2333,4.91101,0.338662
0.522,19.4069,19.4069,4.07404,79.0647,85.0695,24.2255,4.07404,0.214882
0.551,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.58,19.9105,19.9105,3.62188,72.1133,85.0695,24.2058,3.62188,0.191667
0.609,11.7798,11.7798,4.97162,58.5646,85.0695,24.175,4.97162,0.532395
0.638,19.9742,19.9742,3.55436,70.9956,85.0695,24.2027,3.55436,0.188662
0.667,17.4787,17.4787,4.82171,84.2771,85.0695,24.2415,4.82171,0.297874
0.696,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.725,18.509,18.509,4.57123,84.6087,85.0695,24.2416,4.57123,0.254394
