# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 24.815,10.397,53.707,51.129,172
sample_index,rtt_ms
0,14.581
1,20.508
2,21.615
3,15.460
4,16.039
5,25.206
6,14.950
7,15.003
8,17.613
9,16.308
10,39.585
11,18.117
12,47.726
13,15.303
14,15.332
15,14.240
16,13.690
17,24.805
18,21.245
19,14.663
20,30.014
21,29.297
22,26.843
23,18.677
24,31.652
25,18.335
26,15.382
27,16.384
28,17.808
29,26.748
30,18.752
31,12.740
32,17.724
33,37.989
34,36.444
35,15.509
36,27.853
37,15.686
38,42.930
39,15.082
40,30.132
41,21.562
42,20.767
43,19.846
44,29.636
45,16.230
46,18.415
47,15.725
48,15.029
49,46.749
50,18.654
51,18.194
52,28.656
53,38.752
54,22.694
55,15.562
56,48.909
57,19.416
58,51.756
59,15.753
60,20.003
61,18.608
62,49.690
63,35.939
64,16.598
65,19.965
66,36.847
67,32.946
68,18.860
69,27.780
70,16.864
71,21.826
72,15.797
73,16.103
74,25.814
75,39.049
76,19.999
77,18.205
78,42.105
79,23.147
80,18.670
81,16.932
82,28.883
83,18.861
84,21.550
85,16.800
86,27.756
87,36.024
88,45.369
89,45.192
90,37.331
91,14.410
92,44.551
93,32.547
94,42.809
95,23.077
96,14.350
97,20.673
98,15.719
99,17.416
100,41.277
101,39.916
102,31.516
103,23.912
104,16.664
105,16.957
106,26.762
107,26.295
108,14.839
109,12.766
110,25.085
111,38.779
112,50.872
113,15.570
114,45.481
115,40.979
116,21.948
117,13.223
118,21.812
119,30.011
120,18.167
121,19.716
122,47.348
123,16.379
124,24.194
125,16.390
126,22.996
127,17.409
128,13.389
129,45.288
130,15.402
131,28.157
132,13.216
133,24.927
134,24.010
135,16.030
136,17.582
137,29.508
138,34.591
139,24.088
140,32.430
141,16.506
142,17.099
143,34.631
144,38.010
145,13.902
146,28.707
147,15.631
148,18.460
149,23.759
150,33.657
151,17.410
152,27.520
153,38.915
154,16.027
155,17.251
156,28.864
157,23.556
158,21.378
159,15.794
160,53.707
161,18.060
162,14.651
163,13.353
164,13.857
165,44.803
166,40.175
167,31.629
168,32.387
169,20.372
170,27.294
171,13.520
