Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.0002,20.7162,20.7162,2.67591,55.4348,85.0695,24.1835,2.67591,0.3
0.0004,11.9943,11.9943,5,59.9717,85.0695,24.4366,6.7113,0.566667
0.0006,11.553,11.553,3.17494,36.6802,85.0695,24.2164,3.17494,0.416667
0.0008,20.1917,20.1917,3.35422,67.7272,85.0695,24.2308,3.35422,0.266667
0.001,20.6594,20.6594,2.59762,53.6652,85.0695,24.18,2.59762,0.116667
0.0012,12.2196,12.2196,5,61.0979,85.0695,24.4327,6.70762,0.566667
0.0014,11.4005,11.4005,3.21766,36.683,85.0695,24.2198,3.21766,0.416667
0.0016,20.2039,20.2039,3.33934,67.4676,85.0695,24.2282,3.33934,0.266667
0.0018,19.1775,19.1775,4.27139,81.9144,85.0695,24.2929,4.27139,0.266667
0.002,18.6481,18.6481,4.47883,83.5214,85.0695,24.3035,4.47883,0.254077
0.0022,13.3107,13.3107,5,66.5536,85.0695,24.376,5.58513,0.416667
0.0024,19.0714,19.0714,3.50626,66.8693,85.0695,24.2381,3.50626,0.266667
0.0026,20.0269,20.0269,3.44636,69.0201,85.0695,24.2344,3.44636,0.187587
0.0028,19.3105,19.3105,4.1553,80.2411,85.0695,24.2818,4.1553,0.251202
0.003,17.1889,17.1889,5,85.9444,85.0695,24.3416,5.04591,0.322782
0.0032,18.0731,18.0731,4.42949,80.0546,85.0695,24.3,4.42949,0.266667
0.0034,19.7886,19.7886,3.64248,72.0797,85.0695,24.2506,3.64248,0.171678
0.0036,19.5028,19.5028,3.97062,77.4383,85.0695,24.2692,3.97062,0.225533
0.0038,18.8638,18.8638,4.40597,83.1133,85.0695,24.302,4.40597,0.25569
0.004,17.7404,17.7404,4.80678,85.274,85.0695,24.3263,4.80678,0.291044
0.0042,19.4251,19.4251,3.92206,76.1866,85.0695,24.269,3.92206,0.191667
0.0044,17.5853,17.5853,4.99722,87.8777,85.0695,24.3423,4.99722,0.321678
0.0046,17.4874,17.4874,4.58987,80.2649,85.0695,24.3159,4.58987,0.283912
0.0048,18.2093,18.2093,4.61301,83.9997,85.0695,24.3174,4.61301,0.277548
0.005,18.9003,18.9003,4.2856,80.9991,85.0695,24.2956,4.2856,0.231363
0.0052,16.8206,16.8206,5,84.1032,85.0695,24.349,5.09599,0.330158
