Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.0002,20.7162,20.7162,2.67591,55.4348,85.0695,24.1835,2.67591,0.3
0.0004,11.9943,11.9943,5,59.9717,85.0695,24.4366,6.7113,0.566667
0.0006,11.553,11.553,3.17494,36.6802,85.0695,24.2164,3.17494,0.416667
0.0008,20.1917,20.1917,3.35422,67.7272,85.0695,24.2308,3.35422,0.266667
0.001,20.6594,20.6594,2.59762,53.6652,85.0695,24.18,2.59762,0.116667
0.0012,12.2196,12.2196,5,61.0979,85.0695,24.4327,6.70762,0.566667
0.0014,11.4005,11.4005,3.21766,36.683,85.0695,24.2198,3.21766,0.416667
0.0016,20.2039,20.2039,3.33934,67.4676,85.0695,24.2282,3.33934,0.266667
0.0018,19.1775,19.1775,4.27139,81.9144,85.0695,24.2929,4.27139,0.266667
0.002,18.4148,18.4148,4.59099,84.5421,85.0695,24.3144,4.59099,0.266667
0.0022,13.0866,13.0866,5,65.4329,85.0695,24.3719,5.52772,0.416667
0.0024,19.2316,19.2316,3.49637,67.2408,85.0695,24.2403,3.49637,0.266667
0.0026,19.9814,19.9814,3.49869,69.909,85.0695,24.2383,3.49869,0.191667
0.0028,19.0588,19.0588,4.34113,82.7366,85.0695,24.2977,4.34113,0.266667
0.003,16.2979,16.2979,5,81.4896,85.0695,24.349,5.184,0.341667
0.0032,18.2756,18.2756,4.24284,77.5402,85.0695,24.2896,4.24284,0.266667
0.0034,19.6401,19.6401,3.799,74.6129,85.0695,24.2607,3.799,0.191667
0.0036,18.3936,18.3936,4.6966,86.3875,85.0695,24.3209,4.6966,0.291009
0.0038,18.0865,18.0865,4.6006,83.2089,85.0695,24.3152,4.6006,0.266667
0.004,17.339,17.339,4.84988,84.0919,85.0695,24.333,4.84988,0.302803
0.0042,19.4877,19.4877,3.87403,75.4961,85.0695,24.2641,3.87403,0.191667
0.0044,17.726,17.726,4.95824,87.8897,85.0695,24.3401,4.95824,0.317756
0.0046,16.9255,16.9255,4.72235,79.9284,85.0695,24.3246,4.72235,0.30142
0.0048,18.5132,18.5132,4.45559,82.4874,85.0695,24.3067,4.45559,0.266667
0.005,18.9723,18.9723,4.27413,81.09,85.0695,24.2947,4.27413,0.231418
0.0052,16.4612,16.4612,5,82.3061,85.0695,24.3551,5.18511,0.341667
