# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 25.738,10.837,68.334,57.165,172
sample_index,rtt_ms
0,13.875
1,33.818
2,17.969
3,36.579
4,26.240
5,14.212
6,15.452
7,14.342
8,16.383
9,29.706
10,21.735
11,17.986
12,45.302
13,16.373
14,35.741
15,14.172
16,28.669
17,18.531
18,17.477
19,29.779
20,40.068
21,19.313
22,15.635
23,15.765
24,27.036
25,17.734
26,14.605
27,68.334
28,35.373
29,20.939
30,42.531
31,23.293
32,16.083
33,49.892
34,19.393
35,14.233
36,32.224
37,16.511
38,18.018
39,17.647
40,34.257
41,20.502
42,16.737
43,18.902
44,18.610
45,28.741
46,36.930
47,15.586
48,28.873
49,43.521
50,16.839
51,15.861
52,27.893
53,26.007
54,18.847
55,17.122
56,28.540
57,34.856
58,19.927
59,14.876
60,30.544
61,19.927
62,18.827
63,53.956
64,35.807
65,44.007
66,27.162
67,21.968
68,16.971
69,17.115
70,25.963
71,14.840
72,20.916
73,15.899
74,17.859
75,27.443
76,14.505
77,43.729
78,16.898
79,28.872
80,16.694
81,20.973
82,14.849
83,17.881
84,47.939
85,19.097
86,17.463
87,39.820
88,35.255
89,45.778
90,18.410
91,32.985
92,39.604
93,32.372
94,22.254
95,24.755
96,33.079
97,31.443
98,28.093
99,34.040
100,15.829
101,41.420
102,14.589
103,34.431
104,15.980
105,27.784
106,17.513
107,31.099
108,16.090
109,45.240
110,35.004
111,25.556
112,18.289
113,42.264
114,48.389
115,19.288
116,16.593
117,16.143
118,25.500
119,23.537
120,15.899
121,12.859
122,37.896
123,38.952
124,20.172
125,31.815
126,16.030
127,26.165
128,35.433
129,28.920
130,29.946
131,27.576
132,16.412
133,15.622
134,15.238
135,37.993
136,15.428
137,42.305
138,25.932
139,28.293
140,16.041
141,12.776
142,22.889
143,16.948
144,15.592
145,17.469
146,34.844
147,29.348
148,15.381
149,13.449
150,36.418
151,28.316
152,15.773
153,15.288
154,40.068
155,35.008
156,17.767
157,24.817
158,16.444
159,18.158
160,19.331
161,42.024
162,38.735
163,37.051
164,30.076
165,21.895
166,17.772
167,65.021
168,43.278
169,32.473
170,14.016
171,14.674
