# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 30.477,10.913,97.742,54.941,25000
sample_index,rtt_ms
0,17.597
1,22.164
2,26.962
3,25.566
4,34.925
5,37.990
6,15.734
7,31.119
8,38.900
9,15.766
10,14.250
11,33.861
12,36.022
13,42.841
14,17.838
15,32.540
16,31.711
17,29.054
18,38.005
19,44.855
20,39.089
21,22.559
22,31.711
23,45.237
24,35.776
25,14.011
26,50.917
27,13.541
28,19.777
29,21.246
30,37.258
31,18.537
32,43.447
33,15.904
34,35.020
35,15.283
36,16.909
37,42.077
38,42.540
39,13.941
40,33.526
41,36.360
42,38.503
43,41.434
44,14.144
45,41.519
46,16.484
47,31.060
48,26.083
49,15.909
50,14.276
51,25.156
52,30.417
53,36.456
54,42.516
55,24.704
56,28.115
57,34.425
58,52.544
59,39.399
60,15.052
61,52.344
62,32.413
63,26.340
64,17.945
65,40.677
66,36.341
67,15.194
68,56.516
69,28.950
70,39.236
71,24.360
72,51.030
73,32.287
74,33.463
75,39.199
76,15.936
77,17.092
78,50.099
79,22.873
80,34.846
81,30.758
82,41.170
83,50.678
84,48.688
85,12.649
86,27.040
87,14.484
88,33.682
89,32.492
90,14.653
91,54.277
92,29.184
93,45.033
94,33.661
95,38.322
96,40.982
97,32.512
98,41.377
99,47.981
100,31.677
101,43.060
102,31.251
103,41.685
104,33.222
105,63.812
106,14.864
107,31.708
108,15.651
109,23.936
110,29.357
111,38.814
112,31.363
113,34.594
114,52.850
115,22.858
116,34.025
117,30.513
118,47.783
119,14.301
120,36.757
121,38.435
122,39.121
123,45.087
124,35.707
125,44.708
126,20.590
127,30.724
128,37.229
129,15.738
130,17.864
131,42.619
132,13.543
133,27.168
134,26.933
135,36.377
136,33.173
137,27.921
138,39.531
139,44.847
140,33.560
141,35.220
142,30.317
143,45.737
144,31.385
145,32.397
146,39.456
147,16.682
148,31.596
149,19.141
150,38.656
151,18.593
152,19.435
153,34.616
154,45.149
155,32.799
156,13.973
157,26.188
158,13.584
159,18.158
160,29.007
161,20.844
162,40.972
163,41.716
164,40.389
165,45.748
166,29.747
167,15.573
168,29.084
169,21.173
170,27.002
171,50.062
172,28.311
173,13.282
174,26.611
175,33.335
176,47.023
177,29.913
178,32.554
179,29.258
180,38.603
181,13.312
182,53.025
183,15.558
184,16.122
185,19.034
186,23.734
187,43.156
188,14.992
189,15.272
190,26.964
191,44.683
192,35.453
193,39.608
194,17.029
195,15.441
196,37.089
197,41.707
198,19.727
199,24.407
200,37.338
201,38.268
202,25.727
203,42.387
204,20.397
205,36.335
206,41.885
207,19.909
208,44.636
209,30.741
210,12.936
211,33.624
212,15.717
213,16.175
214,44.789
215,17.285
216,30.646
217,26.275
218,31.418
219,15.654
220,24.718
221,34.822
222,46.943
223,32.632
224,13.284
225,33.046
226,38.304
227,48.778
228,27.124
229,54.393
230,14.925
231,32.764
232,30.776
233,32.539
234,41.838
235,35.545
236,38.123
237,28.947
238,16.897
239,14.443
240,46.570
241,44.613
242,42.506
243,39.681
244,43.864
245,31.820
246,49.313
247,31.652
248,14.233
249,15.817
250,28.913
251,39.645
252,59.368
253,14.550
254,13.620
255,27.887
256,32.715
257,22.852
258,23.513
259,19.818
260,29.314
261,39.528
262,20.518
263,12.817
264,33.087
265,21.516
266,25.773
267,37.167
268,42.797
269,37.522
270,18.293
271,25.019
272,55.462
273,13.871
274,18.821
275,47.210
276,40.988
277,34.222
278,17.367
279,30.510
280,40.186
281,12.956
282,25.019
283,36.875
284,41.569
285,19.694
286,16.434
287,26.532
288,12.395
289,30.226
290,45.283
291,32.284
292,49.313
293,16.978
294,19.047
295,15.577
296,51.509
297,30.177
298,27.472
299,20.038
300,16.155
301,16.359
302,21.150
303,35.775
304,13.349
305,23.465
306,19.523
307,36.316
308,24.101
309,37.645
310,38.755
311,16.837
312,32.374
313,35.861
314,28.076
315,14.174
316,31.080
317,30.577
318,36.248
319,24.576
320,37.227
321,44.977
322,18.236
323,37.209
324,38.931
325,39.436
326,25.563
327,31.809
328,15.372
329,37.169
330,19.643
331,32.792
332,26.712
333,37.395
334,26.943
335,21.281
336,38.499
337,33.866
338,14.474
339,16.698
340,30.491
341,22.455
342,18.542
343,14.921
344,38.361
345,18.855
346,13.698
347,44.913
348,29.565
349,51.140
350,16.587
351,36.785
352,35.499
353,25.983
354,39.946
355,23.105
356,38.082
357,41.495
358,23.547
359,34.083
360,41.103
361,36.963
362,29.811
363,35.246
364,14.488
365,42.568
366,42.301
367,30.967
368,28.695
369,22.918
370,26.721
371,20.754
372,14.980
373,43.480
374,28.356
375,19.856
376,27.924
377,39.323
378,47.426
379,30.572
380,40.311
381,37.529
382,24.190
383,39.619
384,41.335
385,16.525
386,45.314
387,36.513
388,42.932
389,34.600
390,41.313
391,37.067
392,13.688
393,48.953
394,14.003
395,40.284
396,31.493
397,21.712
398,34.147
399,30.415
400,44.214
401,31.315
402,16.889
403,35.782
404,32.669
405,49.352
406,14.652
407,39.058
408,38.753
409,38.497
410,35.750
411,32.855
412,36.906
413,21.738
414,36.079
415,43.553
416,20.861
417,13.925
418,16.918
419,21.863
420,34.671
421,15.660
422,45.641
423,24.808
424,38.517
425,21.977
426,32.058
427,29.419
428,18.013
429,32.467
430,39.192
431,41.001
432,45.449
433,16.211
434,32.172
435,20.810
436,25.651
437,15.654
438,30.102
439,26.460
440,53.661
441,17.572
442,16.393
443,45.392
444,18.283
445,32.320
446,40.970
447,26.590
448,14.404
449,40.115
450,40.934
451,36.286
452,18.222
453,18.147
454,39.704
455,19.071
456,14.930
457,40.317
458,30.401
459,24.014
460,24.202
461,14.797
462,28.758
463,14.709
464,46.759
465,38.849
466,22.822
467,37.826
468,41.209
469,15.552
470,15.402
471,48.496
472,29.623
473,51.596
474,19.149
475,17.017
476,48.035
477,26.901
478,13.147
479,38.137
480,20.384
481,31.737
482,41.205
483,32.922
484,40.519
485,38.901
486,42.886
487,38.320
488,18.079
489,38.842
490,15.878
491,38.765
492,32.870
493,16.691
494,28.782
495,27.576
496,16.694
497,19.223
498,17.934
499,28.829
500,25.867
501,20.364
502,17.010
503,34.531
504,33.111
505,27.162
506,41.318
507,31.556
508,22.546
509,25.912
510,13.761
511,12.811
512,25.407
513,42.350
514,14.819
515,30.764
516,16.546
517,37.871
518,69.525
519,47.332
520,28.449
521,50.414
522,35.023
523,15.273
524,31.177
525,12.487
526,17.383
527,50.026
528,12.709
529,17.291
530,25.824
531,47.394
532,30.449
533,30.883
534,17.307
535,13.322
536,15.639
537,30.919
538,18.667
539,40.385
540,26.845
541,31.697
542,35.382
543,21.908
544,29.117
545,39.081
546,25.763
547,21.690
548,59.993
549,35.638
550,28.841
551,20.443
552,19.708
553,31.000
554,33.508
555,23.524
556,37.307
557,25.827
558,26.216
559,39.885
560,31.638
561,29.806
562,15.627
563,30.824
564,35.611
565,24.777
566,14.211
567,40.088
568,22.572
569,34.799
570,37.696
571,40.550
572,38.525
573,19.104
574,15.435
575,34.536
576,25.822
577,24.193
578,24.923
579,36.377
580,15.167
581,45.553
582,26.257
583,39.503
584,41.046
585,41.914
586,37.810
587,54.167
588,37.528
589,14.990
590,51.725
591,12.656
592,43.779
593,25.857
594,55.351
595,39.015
596,53.627
597,38.370
598,17.991
599,43.732
600,40.398
601,53.476
602,12.791
603,43.385
604,29.168
605,24.542
606,39.897
607,35.471
608,41.151
609,38.307
610,46.107
611,28.422
612,38.597
613,36.331
614,40.459
615,48.322
616,18.807
617,12.660
618,43.031
619,35.633
620,38.816
621,16.463
622,13.623
623,46.624
624,49.041
625,28.101
626,39.414
627,45.833
628,29.623
629,39.032
630,19.493
631,22.406
632,29.247
633,25.404
634,37.859
635,17.130
636,23.502
637,19.898
638,13.413
639,20.399
640,45.506
641,32.958
642,26.626
643,37.980
644,44.356
645,35.843
646,44.237
647,33.308
648,15.290
649,31.750
650,35.342
651,23.432
652,28.205
653,35.303
654,13.527
655,32.069
656,39.458
657,22.823
658,22.215
659,21.505
660,28.532
661,39.296
662,41.520
663,31.460
664,33.318
665,45.821
666,29.853
667,40.310
668,26.963
669,20.283
670,17.302
671,29.994
672,16.204
673,29.231
674,27.426
675,37.400
676,36.276
677,23.784
678,22.971
679,24.423
680,40.118
681,19.261
682,42.119
683,14.154
684,16.135
685,23.484
686,41.665
687,40.723
688,37.584
689,41.852
690,17.628
691,44.576
692,42.150
693,36.747
694,37.373
695,29.815
696,33.004
697,22.477
698,26.396
699,37.392
700,43.780
701,35.857
702,39.085
703,14.910
704,23.436
705,49.952
706,14.048
707,16.607
708,20.863
709,32.005
710,29.356
711,42.116
712,20.304
713,17.391
714,13.990
715,46.207
716,17.803
717,12.621
718,26.450
719,33.841
720,38.298
721,14.965
722,16.212
723,38.095
724,14.989
725,24.507
726,44.534
727,28.642
728,38.594
729,21.775
730,17.578
731,12.577
732,35.268
733,31.534
734,23.896
735,24.467
736,14.492
737,15.574
738,15.375
739,31.664
740,24.160
741,17.556
742,37.589
743,19.904
744,14.246
745,15.064
746,25.461
747,33.663
748,23.366
749,25.884
750,16.341
751,28.816
752,32.228
753,18.905
754,36.791
755,37.253
756,37.838
757,38.711
758,22.611
759,25.908
760,38.596
761,40.189
762,38.408
763,25.286
764,37.978
765,44.830
766,12.414
767,43.405
768,28.784
769,12.965
770,37.031
771,19.593
772,36.571
773,41.519
774,15.278
775,26.444
776,39.093
777,39.954
778,39.029
779,58.508
780,51.467
781,22.420
782,32.037
783,30.434
784,23.871
785,27.787
786,33.651
787,14.289
788,27.928
789,15.572
790,35.321
791,30.064
792,31.454
793,12.990
794,34.059
795,19.586
796,28.030
797,26.720
798,37.115
799,24.197
800,38.099
801,14.875
802,30.605
803,19.434
804,21.409
805,24.597
806,35.507
807,38.684
808,34.597
809,13.228
810,16.241
811,34.246
812,20.488
813,39.317
814,36.403
815,27.349
816,17.534
817,12.949
818,23.715
819,19.494
820,28.760
821,56.835
822,33.745
823,28.561
824,29.340
825,26.876
826,21.851
827,39.957
828,39.331
829,24.301
830,42.128
831,23.210
832,26.610
833,13.945
834,24.891
835,20.474
836,17.595
837,36.773
838,16.203
839,34.687
840,28.537
841,33.619
842,16.509
843,27.389
844,19.991
845,27.798
846,33.536
847,34.289
848,40.008
849,38.636
850,17.042
851,45.647
852,34.663
853,29.607
854,32.584
855,45.112
856,30.737
857,24.869
858,39.872
859,19.052
860,28.380
861,17.684
862,20.425
863,13.833
864,38.164
865,30.847
866,21.837
867,40.822
868,21.972
869,13.095
870,34.339
871,25.637
872,37.854
873,22.273
874,38.907
875,38.724
876,27.472
877,13.977
878,13.565
879,28.499
880,17.933
881,25.920
882,28.631
883,36.802
884,13.474
885,30.243
886,25.567
887,22.413
888,28.631
889,35.287
890,45.181
891,35.418
892,15.688
893,26.753
894,13.975
895,28.250
896,39.891
897,38.629
898,48.660
899,32.540
900,13.516
901,45.327
902,37.530
903,34.180
904,29.728
905,37.287
906,22.948
907,42.700
908,28.766
909,43.291
910,14.061
911,29.000
912,51.030
913,35.758
914,16.685
915,29.940
916,36.780
917,31.962
918,37.233
919,34.057
920,47.536
921,29.693
922,14.759
923,41.353
924,15.763
925,25.686
926,39.267
927,36.702
928,15.675
929,49.110
930,16.750
931,42.649
932,21.640
933,29.809
934,38.313
935,21.125
936,39.022
937,37.744
938,23.901
939,17.146
940,23.797
941,15.796
942,13.269
943,33.170
944,20.275
945,28.991
946,40.018
947,35.741
948,30.478
949,34.687
950,37.751
951,46.631
952,32.199
953,28.822
954,34.826
955,47.734
956,14.341
957,26.810
958,30.445
959,35.045
960,38.213
961,21.495
962,17.993
963,15.988
964,17.789
965,21.965
966,30.768
967,12.754
968,51.573
969,34.575
970,28.068
971,36.309
972,43.467
973,18.577
974,33.479
975,23.868
976,40.181
977,64.153
978,32.852
979,45.617
980,30.486
981,52.906
982,30.464
983,14.405
984,19.006
985,23.912
986,43.907
987,45.017
988,39.854
989,40.617
990,23.034
991,22.217
992,60.894
993,35.926
994,27.685
995,37.094
996,17.669
997,39.430
998,47.993
999,29.619
1000,25.806
1001,44.919
1002,16.588
1003,12.488
1004,40.474
1005,35.951
1006,33.364
1007,31.617
1008,12.642
1009,32.631
1010,36.356
1011,13.384
1012,50.082
1013,32.431
1014,31.647
1015,34.669
1016,19.182
1017,25.156
1018,34.266
1019,24.737
1020,44.340
1021,36.627
1022,36.026
1023,19.884
1024,13.814
1025,33.476
1026,28.489
1027,55.317
1028,29.011
1029,18.065
1030,38.092
1031,19.504
1032,30.020
1033,41.463
1034,21.265
1035,53.636
1036,33.804
1037,50.143
1038,26.761
1039,48.774
1040,14.045
1041,19.794
1042,13.562
1043,26.263
1044,12.030
1045,34.356
1046,32.575
1047,16.433
1048,14.566
1049,39.591
1050,14.660
1051,18.569
1052,14.301
1053,26.009
1054,38.577
1055,12.967
1056,33.650
1057,37.323
1058,49.212
1059,30.858
1060,47.608
1061,14.928
1062,35.246
1063,16.618
1064,46.937
1065,16.136
1066,15.594
1067,39.172
1068,37.182
1069,27.433
1070,19.581
1071,16.574
1072,15.831
1073,20.134
1074,17.222
1075,16.491
1076,34.184
1077,15.554
1078,14.175
1079,13.315
1080,39.782
1081,36.775
1082,36.264
1083,23.647
1084,16.046
1085,24.208
1086,15.436
1087,19.993
1088,29.302
1089,37.780
1090,38.005
1091,24.943
1092,17.913
1093,17.290
1094,13.479
1095,24.831
1096,22.986
1097,23.859
1098,36.860
1099,38.084
1100,39.499
1101,28.615
1102,13.105
1103,33.828
1104,16.552
1105,40.557
1106,39.079
1107,18.372
1108,13.041
1109,24.637
1110,16.419
1111,18.076
1112,43.121
1113,29.734
1114,39.062
1115,23.642
1116,37.378
1117,35.498
1118,39.369
1119,44.593
1120,28.770
1121,16.659
1122,35.227
1123,37.606
1124,16.166
1125,27.759
1126,38.089
1127,15.681
1128,47.669
1129,17.804
1130,34.611
1131,17.352
1132,29.429
1133,34.000
1134,27.185
1135,17.268
1136,31.647
1137,38.758
1138,49.494
1139,26.374
1140,13.500
1141,38.581
1142,34.057
1143,13.715
1144,30.795
1145,24.867
1146,39.661
1147,24.527
1148,31.753
1149,22.464
1150,22.065
1151,39.451
1152,19.281
1153,21.123
1154,15.966
1155,35.052
1156,20.765
1157,45.051
1158,33.875
1159,17.400
1160,15.493
1161,49.222
1162,43.735
1163,15.688
1164,52.698
1165,23.720
1166,30.295
1167,30.169
1168,53.057
1169,39.967
1170,48.838
1171,16.705
1172,29.624
1173,40.494
1174,38.346
1175,17.246
1176,46.811
1177,33.431
1178,43.094
1179,35.691
1180,39.871
1181,41.486
1182,27.328
1183,34.193
1184,39.477
1185,21.528
1186,20.161
1187,18.687
1188,30.982
1189,49.455
1190,37.876
1191,22.421
1192,36.515
1193,44.715
1194,16.055
1195,35.328
1196,24.468
