Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.029,17.4276,17.4276,4.82881,84.1546,85.0695,24.2412,4.82881,0.3
0.058,10.9502,10.9502,4.97347,54.4604,85.0695,24.1643,4.97347,0.566667
0.087,14.5708,14.5708,4.95425,72.1872,85.0695,24.2108,4.95425,0.416667
0.116,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.145,21.4104,21.4104,1.40852,30.157,85.0695,24.0868,1.40852,0.116667
0.174,8.35099,8.35099,4.97772,41.5689,85.0695,24.1308,4.97772,0.673103
0.203,11.5693,11.5693,4.96788,57.4748,85.0695,24.1721,4.96788,0.541274
0.232,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.261,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.29,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.319,11.9976,11.9976,4.97188,59.6504,85.0695,24.178,4.97188,0.523103
0.348,12.9847,12.9847,4.98013,64.6654,85.0695,24.1908,4.98013,0.483533
0.377,19.9105,19.9105,3.62188,72.1133,85.0695,24.2058,3.62188,0.191667
0.406,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.435,16.4289,16.4289,4.91686,80.7787,85.0695,24.2326,4.91686,0.341667
0.464,10.5374,10.5374,4.9747,52.4204,85.0695,24.1589,4.9747,0.583707
0.493,16.6234,16.6234,4.9035,81.5128,85.0695,24.2345,4.9035,0.333533
0.522,16.42,16.42,4.91473,80.6998,85.0695,24.2325,4.91473,0.341667
0.551,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.58,17.7843,17.7843,4.77089,84.8467,85.0695,24.2428,4.77089,0.285107
0.609,8.13897,8.13897,4.97495,40.491,85.0695,24.1279,4.97495,0.682067
0.638,18.9515,18.9515,4.3694,82.8069,85.0695,24.2363,4.3694,0.235177
0.667,19.7761,19.7761,3.7565,74.2888,85.0695,24.212,3.7565,0.197951
0.696,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.725,19.4907,19.4907,4.00847,78.1279,85.0695,24.2229,4.00847,0.211079
