# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 30.834,77.054,1027.931,57.755,172
sample_index,rtt_ms
0,21.358
1,27.195
2,42.853
3,69.617
4,16.112
5,37.461
6,36.027
7,18.097
8,28.148
9,18.216
10,50.485
11,37.134
12,46.217
13,17.687
14,49.339
15,18.147
16,37.393
17,39.656
18,18.495
19,20.703
20,35.152
21,16.409
22,21.048
23,16.857
24,16.016
25,22.156
26,18.516
27,30.032
28,46.295
29,20.586
30,18.750
31,14.790
32,32.108
33,16.027
34,16.865
35,12.406
36,14.110
37,27.799
38,17.737
39,16.662
40,30.318
41,44.302
42,17.983
43,17.107
44,18.873
45,26.010
46,24.849
47,16.715
48,44.811
49,19.791
50,17.795
51,19.967
52,14.880
53,24.926
54,35.770
55,16.980
56,51.809
57,17.968
58,30.933
59,16.537
60,31.098
61,39.549
62,18.929
63,15.865
64,46.072
65,15.091
66,37.043
67,44.487
68,17.767
69,16.587
70,14.807
71,27.005
72,18.899
73,16.620
74,15.948
75,16.922
76,48.830
77,27.738
78,15.650
79,1027.931
80,39.195
81,19.041
82,16.180
83,52.910
84,14.705
85,32.891
86,17.878
87,27.403
88,41.569
89,12.950
90,45.249
91,13.016
92,15.771
93,12.180
94,27.922
95,23.096
96,27.262
97,26.316
98,25.164
99,17.499
100,15.417
101,46.549
102,24.624
103,13.648
104,29.405
105,33.957
106,15.707
107,14.065
108,26.478
109,25.384
110,16.034
111,25.262
112,25.136
113,30.704
114,19.885
115,33.581
116,19.813
117,14.611
118,15.956
119,18.107
120,18.310
121,13.163
122,15.112
123,13.126
124,40.173
125,41.164
126,15.957
127,27.776
128,15.492
129,19.360
130,14.736
131,39.475
132,39.703
133,13.972
134,16.091
135,26.584
136,14.406
137,33.088
138,37.931
139,17.111
140,32.921
141,25.983
142,30.987
143,20.346
144,15.936
145,38.055
146,12.341
147,47.663
148,17.473
149,37.233
150,34.174
151,32.139
152,18.802
153,13.126
154,30.395
155,21.571
156,15.378
157,13.918
158,24.664
159,14.955
160,16.983
161,15.118
162,36.119
163,19.265
164,14.679
165,13.449
166,40.008
167,16.453
168,17.751
169,15.919
170,38.153
171,14.500
