Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.029,17.4276,17.4276,4.82881,84.1546,85.0695,24.2412,4.82881,0.3
0.058,10.9502,10.9502,4.97347,54.4604,85.0695,24.1643,4.97347,0.566667
0.087,14.5708,14.5708,4.95425,72.1872,85.0695,24.2108,4.95425,0.416667
0.116,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.145,21.4104,21.4104,1.40852,30.157,85.0695,24.0868,1.40852,0.116667
0.174,10.9485,10.9485,4.96936,54.4071,85.0695,24.1641,4.96936,0.566667
0.203,14.6065,14.6065,4.94828,72.2773,85.0695,24.2105,4.94828,0.416667
0.232,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.261,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.29,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.319,14.5235,14.5235,4.95783,72.0049,85.0695,24.21,4.95783,0.419797
0.348,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.377,19.9105,19.9105,3.62188,72.1133,85.0695,24.2058,3.62188,0.191667
0.406,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.435,16.4289,16.4289,4.91686,80.7787,85.0695,24.2326,4.91686,0.341667
0.464,16.3131,16.3131,4.91919,80.2473,85.0695,24.2315,4.91919,0.345497
0.493,19.9105,19.9105,3.62188,72.1133,85.0695,24.2058,3.62188,0.191667
0.522,17.8963,17.8963,4.74814,84.974,85.0695,24.2431,4.74814,0.280406
0.551,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.58,16.152,16.152,4.92628,79.5693,85.0695,24.2296,4.92628,0.352692
0.609,12.666,12.666,4.9658,62.8966,85.0695,24.1864,4.9658,0.495497
0.638,16.42,16.42,4.91473,80.6998,85.0695,24.2325,4.91473,0.341667
0.667,17.5896,17.5896,4.80499,84.518,85.0695,24.2421,4.80499,0.293249
0.696,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.725,19.6737,19.6737,3.85209,75.7849,85.0695,24.2162,3.85209,0.202692
